from_label,to_label,from_mhz,to_mhz,ms
Z11,Z11,2405.000,2405.000,9.660
Z11,Z15,2405.000,2425.000,9.715
Z11,Z19,2405.000,2445.000,9.709
Z11,Z23,2405.000,2465.000,9.576
Z11,H1,2405.000,902.500,110.642
Z11,H5,2405.000,906.500,110.382
Z11,H9,2405.000,910.500,110.441
Z11,H13,2405.000,914.500,110.489
Z11,H17,2405.000,918.500,111.444
Z11,H21,2405.000,922.500,110.613
Z11,H25,2405.000,926.500,110.869
Z15,Z11,2425.000,2405.000,9.998
Z15,Z15,2425.000,2425.000,9.644
Z15,Z19,2425.000,2445.000,9.699
Z15,Z23,2425.000,2465.000,9.626
Z15,H1,2425.000,902.500,111.710
Z15,H5,2425.000,906.500,110.626
Z15,H9,2425.000,910.500,111.037
Z15,H13,2425.000,914.500,110.403
Z15,H17,2425.000,918.500,110.529
Z15,H21,2425.000,922.500,111.133
Z15,H25,2425.000,926.500,110.299
Z19,Z11,2445.000,2405.000,9.570
Z19,Z15,2445.000,2425.000,9.493
Z19,Z19,2445.000,2445.000,1.591
Z19,Z23,2445.000,2465.000,9.711
Z19,H1,2445.000,902.500,110.635
Z19,H5,2445.000,906.500,111.489
Z19,H9,2445.000,910.500,110.590
Z19,H13,2445.000,914.500,111.253
Z19,H17,2445.000,918.500,111.262
Z19,H21,2445.000,922.500,110.168
Z19,H25,2445.000,926.500,110.755
Z23,Z11,2465.000,2405.000,9.686
Z23,Z15,2465.000,2425.000,9.693
Z23,Z19,2465.000,2445.000,9.645
Z23,Z23,2465.000,2465.000,2.008
Z23,H1,2465.000,902.500,110.697
Z23,H5,2465.000,906.500,111.531
Z23,H9,2465.000,910.500,110.599
Z23,H13,2465.000,914.500,110.875
Z23,H17,2465.000,918.500,110.355
Z23,H21,2465.000,922.500,112.303
Z23,H25,2465.000,926.500,112.559
H1,Z11,902.500,2405.000,111.181
H1,Z15,902.500,2425.000,110.469
H1,Z19,902.500,2445.000,110.266
H1,Z23,902.500,2465.000,111.580
H1,H1,902.500,902.500,10.028
H1,H5,902.500,906.500,9.645
H1,H9,902.500,910.500,9.757
H1,H13,902.500,914.500,9.734
H1,H17,902.500,918.500,10.095
H1,H21,902.500,922.500,9.831
H1,H25,902.500,926.500,9.664
H5,Z11,906.500,2405.000,110.679
H5,Z15,906.500,2425.000,110.748
H5,Z19,906.500,2445.000,110.558
H5,Z23,906.500,2465.000,109.846
H5,H1,906.500,902.500,9.585
H5,H5,906.500,906.500,9.617
H5,H9,906.500,910.500,9.566
H5,H13,906.500,914.500,9.654
H5,H17,906.500,918.500,9.777
H5,H21,906.500,922.500,9.597
H5,H25,906.500,926.500,10.164
H9,Z11,910.500,2405.000,111.858
H9,Z15,910.500,2425.000,110.714
H9,Z19,910.500,2445.000,111.670
H9,Z23,910.500,2465.000,109.906
H9,H1,910.500,902.500,9.467
H9,H5,910.500,906.500,9.664
H9,H9,910.500,910.500,9.785
H9,H13,910.500,914.500,10.111
H9,H17,910.500,918.500,9.549
H9,H21,910.500,922.500,9.633
H9,H25,910.500,926.500,9.591
H13,Z11,914.500,2405.000,110.566
H13,Z15,914.500,2425.000,110.381
H13,Z19,914.500,2445.000,109.791
H13,Z23,914.500,2465.000,110.315
H13,H1,914.500,902.500,9.765
H13,H5,914.500,906.500,9.764
H13,H9,914.500,910.500,9.694
H13,H13,914.500,914.500,9.581
H13,H17,914.500,918.500,9.737
H13,H21,914.500,922.500,9.668
H13,H25,914.500,926.500,9.483
H17,Z11,918.500,2405.000,111.650
H17,Z15,918.500,2425.000,110.648
H17,Z19,918.500,2445.000,110.718
H17,Z23,918.500,2465.000,110.878
H17,H1,918.500,902.500,9.619
H17,H5,918.500,906.500,9.696
H17,H9,918.500,910.500,9.508
H17,H13,918.500,914.500,9.777
H17,H17,918.500,918.500,1.612
H17,H21,918.500,922.500,9.672
H17,H25,918.500,926.500,9.483
H21,Z11,922.500,2405.000,111.365
H21,Z15,922.500,2425.000,110.221
H21,Z19,922.500,2445.000,110.788
H21,Z23,922.500,2465.000,110.690
H21,H1,922.500,902.500,9.803
H21,H5,922.500,906.500,9.669
H21,H9,922.500,910.500,9.479
H21,H13,922.500,914.500,9.828
H21,H17,922.500,918.500,10.064
H21,H21,922.500,922.500,1.674
H21,H25,922.500,926.500,9.950
H25,Z11,926.500,2405.000,112.563
H25,Z15,926.500,2425.000,111.588
H25,Z19,926.500,2445.000,111.116
H25,Z23,926.500,2465.000,110.506
H25,H1,926.500,902.500,9.679
H25,H5,926.500,906.500,9.681
H25,H9,926.500,910.500,9.959
H25,H13,926.500,914.500,9.789
H25,H17,926.500,918.500,9.751
H25,H21,926.500,922.500,9.706
H25,H25,926.500,926.500,1.571
