from_label,to_label,from_mhz,to_mhz,ms
Z11,Z11,2405.000,2405.000,5.281
Z11,Z15,2405.000,2425.000,5.214
Z11,Z19,2405.000,2445.000,5.352
Z11,Z23,2405.000,2465.000,5.307
Z11,H1,2405.000,902.500,26.343
Z11,H5,2405.000,906.500,26.189
Z11,H9,2405.000,910.500,26.256
Z11,H13,2405.000,914.500,26.242
Z11,H17,2405.000,918.500,26.271
Z11,H21,2405.000,922.500,26.270
Z11,H25,2405.000,926.500,26.209
Z15,Z11,2425.000,2405.000,5.283
Z15,Z15,2425.000,2425.000,5.195
Z15,Z19,2425.000,2445.000,5.328
Z15,Z23,2425.000,2465.000,5.292
Z15,H1,2425.000,902.500,26.178
Z15,H5,2425.000,906.500,26.236
Z15,H9,2425.000,910.500,26.431
Z15,H13,2425.000,914.500,26.426
Z15,H17,2425.000,918.500,26.442
Z15,H21,2425.000,922.500,26.563
Z15,H25,2425.000,926.500,26.524
Z19,Z11,2445.000,2405.000,5.327
Z19,Z15,2445.000,2425.000,5.245
Z19,Z19,2445.000,2445.000,0.910
Z19,Z23,2445.000,2465.000,5.324
Z19,H1,2445.000,902.500,26.092
Z19,H5,2445.000,906.500,26.182
Z19,H9,2445.000,910.500,26.493
Z19,H13,2445.000,914.500,26.369
Z19,H17,2445.000,918.500,26.280
Z19,H21,2445.000,922.500,26.328
Z19,H25,2445.000,926.500,26.355
Z23,Z11,2465.000,2405.000,5.508
Z23,Z15,2465.000,2425.000,5.408
Z23,Z19,2465.000,2445.000,5.349
Z23,Z23,2465.000,2465.000,0.902
Z23,H1,2465.000,902.500,26.339
Z23,H5,2465.000,906.500,26.480
Z23,H9,2465.000,910.500,26.405
Z23,H13,2465.000,914.500,26.693
Z23,H17,2465.000,918.500,26.467
Z23,H21,2465.000,922.500,26.490
Z23,H25,2465.000,926.500,26.381
H1,Z11,902.500,2405.000,26.415
H1,Z15,902.500,2425.000,26.097
H1,Z19,902.500,2445.000,26.190
H1,Z23,902.500,2465.000,26.171
H1,H1,902.500,902.500,5.206
H1,H5,902.500,906.500,5.357
H1,H9,902.500,910.500,5.357
H1,H13,902.500,914.500,5.315
H1,H17,902.500,918.500,5.413
H1,H21,902.500,922.500,5.330
H1,H25,902.500,926.500,5.329
H5,Z11,906.500,2405.000,26.342
H5,Z15,906.500,2425.000,26.207
H5,Z19,906.500,2445.000,26.308
H5,Z23,906.500,2465.000,26.368
H5,H1,906.500,902.500,5.399
H5,H5,906.500,906.500,5.591
H5,H9,906.500,910.500,5.511
H5,H13,906.500,914.500,5.458
H5,H17,906.500,918.500,5.476
H5,H21,906.500,922.500,5.575
H5,H25,906.500,926.500,5.622
H9,Z11,910.500,2405.000,26.390
H9,Z15,910.500,2425.000,26.431
H9,Z19,910.500,2445.000,26.365
H9,Z23,910.500,2465.000,26.261
H9,H1,910.500,902.500,5.321
H9,H5,910.500,906.500,5.416
H9,H9,910.500,910.500,5.502
H9,H13,910.500,914.500,5.496
H9,H17,910.500,918.500,5.620
H9,H21,910.500,922.500,5.306
H9,H25,910.500,926.500,5.311
H13,Z11,914.500,2405.000,26.487
H13,Z15,914.500,2425.000,26.229
H13,Z19,914.500,2445.000,26.473
H13,Z23,914.500,2465.000,26.404
H13,H1,914.500,902.500,5.274
H13,H5,914.500,906.500,5.445
H13,H9,914.500,910.500,5.377
H13,H13,914.500,914.500,5.487
H13,H17,914.500,918.500,5.503
H13,H21,914.500,922.500,5.398
H13,H25,914.500,926.500,5.494
H17,Z11,918.500,2405.000,26.145
H17,Z15,918.500,2425.000,26.107
H17,Z19,918.500,2445.000,26.217
H17,Z23,918.500,2465.000,26.189
H17,H1,918.500,902.500,5.206
H17,H5,918.500,906.500,5.342
H17,H9,918.500,910.500,5.383
H17,H13,918.500,914.500,5.271
H17,H17,918.500,918.500,0.922
H17,H21,918.500,922.500,5.439
H17,H25,918.500,926.500,5.332
H21,Z11,922.500,2405.000,26.182
H21,Z15,922.500,2425.000,26.119
H21,Z19,922.500,2445.000,26.187
H21,Z23,922.500,2465.000,26.157
H21,H1,922.500,902.500,5.368
H21,H5,922.500,906.500,5.490
H21,H9,922.500,910.500,5.370
H21,H13,922.500,914.500,5.294
H21,H17,922.500,918.500,5.358
H21,H21,922.500,922.500,0.893
H21,H25,922.500,926.500,5.287
H25,Z11,926.500,2405.000,26.157
H25,Z15,926.500,2425.000,26.127
H25,Z19,926.500,2445.000,26.198
H25,Z23,926.500,2465.000,26.153
H25,H1,926.500,902.500,5.217
H25,H5,926.500,906.500,5.319
H25,H9,926.500,910.500,5.392
H25,H13,926.500,914.500,5.312
H25,H17,926.500,918.500,5.324
H25,H21,926.500,922.500,5.288
H25,H25,926.500,926.500,1.048
