from_label,to_label,from_mhz,to_mhz,ms
Z11,Z11,2405.000,2405.000,0.297
Z11,Z12,2405.000,2410.000,1.192
Z11,Z13,2405.000,2415.000,1.221
Z11,Z14,2405.000,2420.000,1.157
Z11,Z15,2405.000,2425.000,1.156
Z11,Z16,2405.000,2430.000,1.160
Z11,Z17,2405.000,2435.000,1.160
Z11,Z18,2405.000,2440.000,1.169
Z11,Z19,2405.000,2445.000,1.162
Z11,Z20,2405.000,2450.000,1.280
Z11,Z21,2405.000,2455.000,1.206
Z11,Z22,2405.000,2460.000,1.199
Z11,Z23,2405.000,2465.000,1.177
Z11,Z24,2405.000,2470.000,1.183
Z11,Z25,2405.000,2475.000,1.212
Z11,Z26,2405.000,2480.000,1.343
Z11,H1,2405.000,902.500,1.231
Z11,H2,2405.000,903.500,1.212
Z11,H3,2405.000,904.500,1.244
Z11,H4,2405.000,905.500,1.189
Z11,H5,2405.000,906.500,1.237
Z11,H6,2405.000,907.500,1.190
Z11,H7,2405.000,908.500,1.174
Z11,H8,2405.000,909.500,1.191
Z11,H9,2405.000,910.500,1.159
Z11,H10,2405.000,911.500,1.173
Z11,H11,2405.000,912.500,1.187
Z11,H12,2405.000,913.500,1.190
Z11,H13,2405.000,914.500,1.253
Z11,H14,2405.000,915.500,1.190
Z11,H15,2405.000,916.500,1.159
Z11,H16,2405.000,917.500,1.190
Z11,H17,2405.000,918.500,1.170
Z11,H18,2405.000,919.500,1.264
Z11,H19,2405.000,920.500,1.185
Z11,H20,2405.000,921.500,1.185
Z11,H21,2405.000,922.500,1.167
Z11,H22,2405.000,923.500,1.224
Z11,H23,2405.000,924.500,1.327
Z11,H24,2405.000,925.500,1.213
Z11,H25,2405.000,926.500,1.167
Z11,H26,2405.000,927.500,1.177
Z12,Z11,2410.000,2405.000,0.389
Z12,Z12,2410.000,2410.000,0.325
Z12,Z13,2410.000,2415.000,1.206
Z12,Z14,2410.000,2420.000,1.307
Z12,Z15,2410.000,2425.000,1.216
Z12,Z16,2410.000,2430.000,1.254
Z12,Z17,2410.000,2435.000,1.229
Z12,Z18,2410.000,2440.000,1.258
Z12,Z19,2410.000,2445.000,1.276
Z12,Z20,2410.000,2450.000,1.248
Z12,Z21,2410.000,2455.000,1.284
Z12,Z22,2410.000,2460.000,1.205
Z12,Z23,2410.000,2465.000,1.239
Z12,Z24,2410.000,2470.000,1.202
Z12,Z25,2410.000,2475.000,1.291
Z12,Z26,2410.000,2480.000,1.253
Z12,H1,2410.000,902.500,1.216
Z12,H2,2410.000,903.500,1.239
