from_label,to_label,from_mhz,to_mhz,ms
Z11,Z11,2405.000,2405.000,11.132
Z11,Z15,2405.000,2425.000,10.428
Z11,Z19,2405.000,2445.000,10.428
Z11,Z23,2405.000,2465.000,10.623
Z11,H1,2405.000,902.500,120.008
Z11,H5,2405.000,906.500,119.752
Z11,H9,2405.000,910.500,120.582
Z11,H13,2405.000,914.500,121.207
Z11,H17,2405.000,918.500,122.264
Z11,H21,2405.000,922.500,121.405
Z11,H25,2405.000,926.500,121.028
Z15,Z11,2425.000,2405.000,10.232
Z15,Z15,2425.000,2425.000,10.204
Z15,Z19,2425.000,2445.000,10.453
Z15,Z23,2425.000,2465.000,10.299
Z15,H1,2425.000,902.500,119.998
Z15,H5,2425.000,906.500,121.375
Z15,H9,2425.000,910.500,121.319
Z15,H13,2425.000,914.500,120.387
Z15,H17,2425.000,918.500,119.768
Z15,H21,2425.000,922.500,119.129
Z15,H25,2425.000,926.500,121.056
Z19,Z11,2445.000,2405.000,10.416
Z19,Z15,2445.000,2425.000,10.073
Z19,Z19,2445.000,2445.000,1.678
Z19,Z23,2445.000,2465.000,10.289
Z19,H1,2445.000,902.500,121.350
Z19,H5,2445.000,906.500,120.198
Z19,H9,2445.000,910.500,119.368
Z19,H13,2445.000,914.500,120.498
Z19,H17,2445.000,918.500,120.152
Z19,H21,2445.000,922.500,120.821
Z19,H25,2445.000,926.500,119.600
Z23,Z11,2465.000,2405.000,10.553
Z23,Z15,2465.000,2425.000,10.199
Z23,Z19,2465.000,2445.000,10.240
Z23,Z23,2465.000,2465.000,1.583
Z23,H1,2465.000,902.500,120.618
Z23,H5,2465.000,906.500,119.590
Z23,H9,2465.000,910.500,119.167
Z23,H13,2465.000,914.500,120.506
Z23,H17,2465.000,918.500,119.678
Z23,H21,2465.000,922.500,121.584
Z23,H25,2465.000,926.500,120.821
H1,Z11,902.500,2405.000,119.043
H1,Z15,902.500,2425.000,123.112
H1,Z19,902.500,2445.000,120.014
H1,Z23,902.500,2465.000,120.198
H1,H1,902.500,902.500,10.432
H1,H5,902.500,906.500,10.593
H1,H9,902.500,910.500,10.219
H1,H13,902.500,914.500,10.420
H1,H17,902.500,918.500,10.826
H1,H21,902.500,922.500,10.453
H1,H25,902.500,926.500,10.416
H5,Z11,906.500,2405.000,121.194
H5,Z15,906.500,2425.000,121.177
H5,Z19,906.500,2445.000,121.199
H5,Z23,906.500,2465.000,121.589
H5,H1,906.500,902.500,10.584
H5,H5,906.500,906.500,10.637
H5,H9,906.500,910.500,10.390
H5,H13,906.500,914.500,10.603
H5,H17,906.500,918.500,10.396
H5,H21,906.500,922.500,10.735
H5,H25,906.500,926.500,10.094
H9,Z11,910.500,2405.000,119.205
H9,Z15,910.500,2425.000,117.118
H9,Z19,910.500,2445.000,120.581
H9,Z23,910.500,2465.000,120.156
H9,H1,910.500,902.500,10.589
H9,H5,910.500,906.500,10.583
H9,H9,910.500,910.500,10.386
H9,H13,910.500,914.500,10.885
H9,H17,910.500,918.500,10.631
H9,H21,910.500,922.500,10.412
H9,H25,910.500,926.500,10.560
H13,Z11,914.500,2405.000,120.209
H13,Z15,914.500,2425.000,120.207
H13,Z19,914.500,2445.000,120.134
H13,Z23,914.500,2465.000,119.507
H13,H1,914.500,902.500,10.445
H13,H5,914.500,906.500,10.199
H13,H9,914.500,910.500,10.404
H13,H13,914.500,914.500,10.690
H13,H17,914.500,918.500,10.632
H13,H21,914.500,922.500,10.803
H13,H25,914.500,926.500,11.064
H17,Z11,918.500,2405.000,121.194
H17,Z15,918.500,2425.000,120.823
H17,Z19,918.500,2445.000,121.615
H17,Z23,918.500,2465.000,118.137
H17,H1,918.500,902.500,10.544
H17,H5,918.500,906.500,10.613
H17,H9,918.500,910.500,10.224
H17,H13,918.500,914.500,10.567
H17,H17,918.500,918.500,1.626
H17,H21,918.500,922.500,10.410
H17,H25,918.500,926.500,10.340
H21,Z11,922.500,2405.000,121.428
H21,Z15,922.500,2425.000,119.923
H21,Z19,922.500,2445.000,121.010
H21,Z23,922.500,2465.000,121.103
H21,H1,922.500,902.500,10.234
H21,H5,922.500,906.500,10.208
H21,H9,922.500,910.500,10.194
H21,H13,922.500,914.500,10.036
H21,H17,922.500,918.500,10.405
H21,H21,922.500,922.500,1.609
H21,H25,922.500,926.500,10.689
H25,Z11,926.500,2405.000,121.021
H25,Z15,926.500,2425.000,118.558
H25,Z19,926.500,2445.000,120.582
H25,Z23,926.500,2465.000,120.166
H25,H1,926.500,902.500,10.264
H25,H5,926.500,906.500,10.641
H25,H9,926.500,910.500,10.422
H25,H13,926.500,914.500,10.411
H25,H17,926.500,918.500,11.041
H25,H21,926.500,922.500,10.591
H25,H25,926.500,926.500,1.654
