from_label,to_label,from_mhz,to_mhz,ms
Z11,Z11,2405.000,2405.000,5.277
Z11,Z15,2405.000,2425.000,5.216
Z11,Z19,2405.000,2445.000,5.404
Z11,Z23,2405.000,2465.000,5.415
Z11,H1,2405.000,902.500,26.060
Z11,H5,2405.000,906.500,26.280
Z11,H9,2405.000,910.500,26.216
Z11,H13,2405.000,914.500,26.157
Z11,H17,2405.000,918.500,26.217
Z11,H21,2405.000,922.500,26.180
Z11,H25,2405.000,926.500,26.193
Z15,Z11,2425.000,2405.000,5.273
Z15,Z15,2425.000,2425.000,5.218
Z15,Z19,2425.000,2445.000,5.298
Z15,Z23,2425.000,2465.000,5.311
Z15,H1,2425.000,902.500,26.041
Z15,H5,2425.000,906.500,26.201
Z15,H9,2425.000,910.500,26.393
Z15,H13,2425.000,914.500,26.200
Z15,H17,2425.000,918.500,26.200
Z15,H21,2425.000,922.500,26.161
Z15,H25,2425.000,926.500,26.176
Z19,Z11,2445.000,2405.000,5.354
Z19,Z15,2445.000,2425.000,5.208
Z19,Z19,2445.000,2445.000,0.925
Z19,Z23,2445.000,2465.000,5.289
Z19,H1,2445.000,902.500,26.102
Z19,H5,2445.000,906.500,26.180
Z19,H9,2445.000,910.500,26.268
Z19,H13,2445.000,914.500,26.175
Z19,H17,2445.000,918.500,26.338
Z19,H21,2445.000,922.500,26.175
Z19,H25,2445.000,926.500,26.188
Z23,Z11,2465.000,2405.000,5.287
Z23,Z15,2465.000,2425.000,5.207
Z23,Z19,2465.000,2445.000,5.566
Z23,Z23,2465.000,2465.000,1.036
Z23,H1,2465.000,902.500,26.121
Z23,H5,2465.000,906.500,26.188
Z23,H9,2465.000,910.500,26.243
Z23,H13,2465.000,914.500,26.240
Z23,H17,2465.000,918.500,26.238
Z23,H21,2465.000,922.500,26.171
Z23,H25,2465.000,926.500,26.242
H1,Z11,902.500,2405.000,26.184
H1,Z15,902.500,2425.000,26.071
H1,Z19,902.500,2445.000,26.224
H1,Z23,902.500,2465.000,26.170
H1,H1,902.500,902.500,5.182
H1,H5,902.500,906.500,5.337
H1,H9,902.500,910.500,5.380
H1,H13,902.500,914.500,5.328
H1,H17,902.500,918.500,5.394
H1,H21,902.500,922.500,5.348
H1,H25,902.500,926.500,5.297
H5,Z11,906.500,2405.000,26.152
H5,Z15,906.500,2425.000,26.095
H5,Z19,906.500,2445.000,26.176
H5,Z23,906.500,2465.000,26.176
H5,H1,906.500,902.500,5.170
H5,H5,906.500,906.500,5.326
H5,H9,906.500,910.500,5.360
H5,H13,906.500,914.500,5.338
H5,H17,906.500,918.500,5.368
H5,H21,906.500,922.500,5.323
H5,H25,906.500,926.500,5.329
H9,Z11,910.500,2405.000,26.235
H9,Z15,910.500,2425.000,26.114
H9,Z19,910.500,2445.000,26.209
H9,Z23,910.500,2465.000,26.174
H9,H1,910.500,902.500,5.346
H9,H5,910.500,906.500,5.424
H9,H9,910.500,910.500,5.401
H9,H13,910.500,914.500,5.312
H9,H17,910.500,918.500,5.366
H9,H21,910.500,922.500,5.304
H9,H25,910.500,926.500,5.363
H13,Z11,914.500,2405.000,26.179
H13,Z15,914.500,2425.000,26.096
H13,Z19,914.500,2445.000,26.227
H13,Z23,914.500,2465.000,26.175
H13,H1,914.500,902.500,5.319
H13,H5,914.500,906.500,5.365
H13,H9,914.500,910.500,5.408
H13,H13,914.500,914.500,5.290
H13,H17,914.500,918.500,5.355
H13,H21,914.500,922.500,5.323
H13,H25,914.500,926.500,5.333
H17,Z11,918.500,2405.000,26.174
H17,Z15,918.500,2425.000,26.091
H17,Z19,918.500,2445.000,26.201
H17,Z23,918.500,2465.000,26.118
H17,H1,918.500,902.500,5.210
H17,H5,918.500,906.500,5.327
H17,H9,918.500,910.500,5.386
H17,H13,918.500,914.500,5.306
H17,H17,918.500,918.500,0.989
H17,H21,918.500,922.500,5.323
H17,H25,918.500,926.500,5.357
H21,Z11,922.500,2405.000,26.288
H21,Z15,922.500,2425.000,26.216
H21,Z19,922.500,2445.000,26.169
H21,Z23,922.500,2465.000,26.169
H21,H1,922.500,902.500,5.196
H21,H5,922.500,906.500,5.367
H21,H9,922.500,910.500,5.372
H21,H13,922.500,914.500,5.310
H21,H17,922.500,918.500,5.338
H21,H21,922.500,922.500,0.942
H21,H25,922.500,926.500,5.546
H25,Z11,926.500,2405.000,26.180
H25,Z15,926.500,2425.000,26.195
H25,Z19,926.500,2445.000,26.218
H25,Z23,926.500,2465.000,26.203
H25,H1,926.500,902.500,5.232
H25,H5,926.500,906.500,5.388
H25,H9,926.500,910.500,5.395
H25,H13,926.500,914.500,5.509
H25,H17,926.500,918.500,5.453
H25,H21,926.500,922.500,5.322
H25,H25,926.500,926.500,0.979
