from_label,to_label,from_mhz,to_mhz,ms
H0,H0,902.500,902.500,0.374
H0,Z1,902.500,2405.000,0.360
H0,H2,902.500,903.000,0.487
H0,Z3,902.500,2407.000,0.363
Z1,H0,2405.000,902.500,0.366
Z1,Z1,2405.000,2405.000,0.376
Z1,H2,2405.000,903.000,0.432
Z1,Z3,2405.000,2407.000,0.516
H2,H0,903.000,902.500,0.405
H2,Z1,903.000,2405.000,0.359
H2,H2,903.000,903.000,0.372
H2,Z3,903.000,2407.000,0.407
Z3,H0,2407.000,902.500,0.547
Z3,Z1,2407.000,2405.000,0.533
Z3,H2,2407.000,903.000,0.514
Z3,Z3,2407.000,2407.000,0.347
