from_label,to_label,from_mhz,to_mhz,ms
Z11,Z11,2405.000,2405.000,10.316
Z11,Z12,2405.000,2410.000,10.402
Z11,Z13,2405.000,2415.000,10.207
Z11,Z14,2405.000,2420.000,9.869
Z11,Z15,2405.000,2425.000,9.874
Z11,Z16,2405.000,2430.000,10.253
Z11,Z17,2405.000,2435.000,9.862
Z11,Z18,2405.000,2440.000,11.269
Z11,Z19,2405.000,2445.000,10.240
Z11,Z20,2405.000,2450.000,10.150
Z11,Z21,2405.000,2455.000,9.970
Z11,Z22,2405.000,2460.000,9.860
Z11,Z23,2405.000,2465.000,10.296
Z11,Z24,2405.000,2470.000,10.105
Z11,Z25,2405.000,2475.000,9.973
Z11,Z26,2405.000,2480.000,9.904
Z11,H1,2405.000,902.500,111.807
Z11,H2,2405.000,903.500,112.212
Z11,H3,2405.000,904.500,109.816
Z11,H4,2405.000,905.500,110.571
Z11,H5,2405.000,906.500,111.381
Z11,H6,2405.000,907.500,113.044
Z11,H7,2405.000,908.500,111.726
Z11,H8,2405.000,909.500,111.268
Z11,H9,2405.000,910.500,112.626
Z11,H10,2405.000,911.500,112.673
Z11,H11,2405.000,912.500,110.866
Z11,H12,2405.000,913.500,110.718
Z11,H13,2405.000,914.500,111.042
Z11,H14,2405.000,915.500,111.047
Z11,H15,2405.000,916.500,112.085
Z11,H16,2405.000,917.500,112.124
Z11,H17,2405.000,918.500,111.218
Z11,H18,2405.000,919.500,110.884
Z11,H19,2405.000,920.500,112.056
Z11,H20,2405.000,921.500,111.946
Z11,H21,2405.000,922.500,111.897
Z11,H22,2405.000,923.500,111.965
Z11,H23,2405.000,924.500,111.201
Z11,H24,2405.000,925.500,111.855
Z11,H25,2405.000,926.500,111.527
Z11,H26,2405.000,927.500,112.466
Z12,Z11,2410.000,2405.000,9.879
Z12,Z12,2410.000,2410.000,1.976
Z12,Z13,2410.000,2415.000,9.912
Z12,Z14,2410.000,2420.000,10.049
Z12,Z15,2410.000,2425.000,10.184
Z12,Z16,2410.000,2430.000,10.128
Z12,Z17,2410.000,2435.000,9.893
Z12,Z18,2410.000,2440.000,9.898
Z12,Z19,2410.000,2445.000,10.250
Z12,Z20,2410.000,2450.000,9.881
Z12,Z21,2410.000,2455.000,10.087
Z12,Z22,2410.000,2460.000,10.109
Z12,Z23,2410.000,2465.000,10.088
Z12,Z24,2410.000,2470.000,10.175
Z12,Z25,2410.000,2475.000,10.039
Z12,Z26,2410.000,2480.000,10.083
Z12,H1,2410.000,902.500,111.743
Z12,H2,2410.000,903.500,112.315
Z12,H3,2410.000,904.500,111.513
Z12,H4,2410.000,905.500,112.633
Z12,H5,2410.000,906.500,112.147
Z12,H6,2410.000,907.500,111.473
Z12,H7,2410.000,908.500,112.479
Z12,H8,2410.000,909.500,111.870
Z12,H9,2410.000,910.500,112.165
Z12,H10,2410.000,911.500,111.778
Z12,H11,2410.000,912.500,111.905
