from_label,to_label,from_mhz,to_mhz,ms
Z11,Z11,2405.000,2405.000,5.854
Z11,Z12,2405.000,2410.000,5.931
Z11,Z13,2405.000,2415.000,5.942
Z11,Z14,2405.000,2420.000,5.793
Z11,Z15,2405.000,2425.000,5.856
Z11,Z16,2405.000,2430.000,5.846
Z11,Z17,2405.000,2435.000,5.903
Z11,Z18,2405.000,2440.000,5.862
Z11,Z19,2405.000,2445.000,5.886
Z11,Z20,2405.000,2450.000,5.785
Z11,Z21,2405.000,2455.000,5.912
Z11,Z22,2405.000,2460.000,6.411
Z11,Z23,2405.000,2465.000,5.875
Z11,Z24,2405.000,2470.000,5.897
Z11,Z25,2405.000,2475.000,5.838
Z11,Z26,2405.000,2480.000,5.819
Z11,H1,2405.000,902.500,26.813
Z11,H2,2405.000,903.500,26.753
Z11,H3,2405.000,904.500,26.731
Z11,H4,2405.000,905.500,26.772
Z11,H5,2405.000,906.500,26.901
Z11,H6,2405.000,907.500,27.119
Z11,H7,2405.000,908.500,26.786
Z11,H8,2405.000,909.500,26.781
Z11,H9,2405.000,910.500,26.860
Z11,H10,2405.000,911.500,26.869
Z11,H11,2405.000,912.500,26.704
Z11,H12,2405.000,913.500,26.746
Z11,H13,2405.000,914.500,26.873
Z11,H14,2405.000,915.500,27.001
Z11,H15,2405.000,916.500,26.876
Z11,H16,2405.000,917.500,26.784
Z11,H17,2405.000,918.500,27.087
Z11,H18,2405.000,919.500,26.903
Z11,H19,2405.000,920.500,26.815
Z11,H20,2405.000,921.500,27.157
Z11,H21,2405.000,922.500,26.983
Z11,H22,2405.000,923.500,27.172
Z11,H23,2405.000,924.500,26.780
Z11,H24,2405.000,925.500,27.053
Z11,H25,2405.000,926.500,26.908
Z11,H26,2405.000,927.500,27.303
Z12,Z11,2410.000,2405.000,6.328
Z12,Z12,2410.000,2410.000,1.695
Z12,Z13,2410.000,2415.000,6.184
Z12,Z14,2410.000,2420.000,5.956
Z12,Z15,2410.000,2425.000,5.786
Z12,Z16,2410.000,2430.000,5.867
Z12,Z17,2410.000,2435.000,5.901
Z12,Z18,2410.000,2440.000,5.840
Z12,Z19,2410.000,2445.000,5.927
Z12,Z20,2410.000,2450.000,5.819
Z12,Z21,2410.000,2455.000,5.876
Z12,Z22,2410.000,2460.000,5.851
Z12,Z23,2410.000,2465.000,5.867
Z12,Z24,2410.000,2470.000,5.894
Z12,Z25,2410.000,2475.000,5.922
Z12,Z26,2410.000,2480.000,5.815
Z12,H1,2410.000,902.500,26.864
Z12,H2,2410.000,903.500,27.324
Z12,H3,2410.000,904.500,26.971
Z12,H4,2410.000,905.500,26.969
Z12,H5,2410.000,906.500,26.795
Z12,H6,2410.000,907.500,26.861
Z12,H7,2410.000,908.500,26.754
Z12,H8,2410.000,909.500,26.880
Z12,H9,2410.000,910.500,26.862
Z12,H10,2410.000,911.500,26.868
Z12,H11,2410.000,912.500,26.662
Z12,H12,2410.000,913.500,26.729
Z12,H13,2410.000,914.500,26.724
Z12,H14,2410.000,915.500,26.814
Z12,H15,2410.000,916.500,26.800
Z12,H16,2410.000,917.500,26.961
Z12,H17,2410.000,918.500,26.941
Z12,H18,2410.000,919.500,27.301
Z12,H19,2410.000,920.500,26.777
Z12,H20,2410.000,921.500,26.781
Z12,H21,2410.000,922.500,26.759
