rx_idx,phy_active,frame_event,seq,frag,len,rx_t_ms,swap_ms
0,A,rx,0,0,30,7092.609,1.124
1,B,rx,1,0,30,7102.673,0.760
2,A,rx,2,0,30,7113.970,0.855
3,B,rx,3,0,30,7124.045,1.050
4,A,rx,4,0,30,7135.227,0.916
5,B,rx,5,0,30,7145.301,0.697
6,A,rx,6,0,30,7157.528,1.010
7,B,rx,7,0,30,7167.696,0.668
8,A,rx,8,0,30,7178.947,1.162
9,B,rx,9,0,30,7189.070,0.934
10,A,rx,10,0,30,7200.448,0.766
11,B,rx,11,0,30,7210.317,1.074
12,A,rx,12,0,30,7221.513,0.683
13,B,rx,13,0,30,7231.688,0.712
14,A,rx,14,0,30,7242.963,1.083
15,B,rx,15,0,30,7253.956,0.923
16,A,rx,16,0,30,7264.283,0.619
17,B,rx,17,0,30,7275.268,0.566
18,A,rx,18,0,30,7286.493,0.873
19,B,rx,19,0,30,7297.686,0.944
20,A,rx,20,0,30,7307.958,0.709
21,B,rx,21,0,30,7318.991,0.879
22,A,rx,22,0,30,7329.218,0.552
23,B,rx,23,0,30,7340.295,0.596
24,A,rx,24,0,30,7350.498,0.687
25,B,rx,25,0,30,7361.621,0.529
26,A,rx,26,0,30,7371.966,0.708
27,B,rx,27,0,30,7382.977,0.680
28,A,rx,28,0,30,7393.175,0.937
29,B,rx,29,0,30,7404.363,0.549
30,A,rx,30,0,30,7415.577,0.893
31,B,rx,31,0,30,7426.937,0.628
32,A,rx,32,0,30,7436.903,0.614
33,B,rx,33,0,30,7448.184,0.591
34,A,rx,34,0,30,7458.302,0.586
35,B,rx,35,0,30,7469.348,0.615
36,A,rx,36,0,30,7479.488,0.791
37,B,rx,37,0,30,7490.653,0.584
38,A,rx,38,0,30,7501.019,0.610
39,B,rx,39,0,30,7511.975,0.546
40,A,rx,40,0,30,7522.360,0.556
41,B,rx,41,0,30,7533.370,0.606
42,A,rx,42,0,30,7544.600,0.806
43,B,rx,43,0,30,7555.640,0.672
44,A,rx,44,0,30,7565.967,0.884
45,B,rx,45,0,30,7577.036,0.875
46,A,rx,46,0,30,7587.296,0.547
47,B,rx,47,0,30,7598.427,0.857
48,A,rx,48,0,30,7608.573,0.617
49,B,rx,49,0,30,7619.710,0.577
50,A,rx,50,0,30,7629.989,0.901
51,B,rx,51,0,30,7641.024,0.601
52,A,rx,52,0,30,7651.314,0.911
53,B,rx,53,0,30,7662.333,0.962
54,A,rx,54,0,30,7673.708,0.898
55,B,rx,55,0,30,7684.730,0.941
56,A,rx,56,0,30,7695.065,0.620
57,B,rx,57,0,30,7706.087,0.585
58,A,rx,58,0,30,7716.317,0.881
59,B,rx,59,0,30,7727.403,0.916
60,A,rx,60,0,30,7737.682,0.890
61,B,rx,61,0,30,7748.750,0.564
62,A,rx,62,0,30,7758.927,0.865
63,B,rx,63,0,30,7770.038,0.584
64,A,rx,64,0,30,7780.266,0.506
65,B,rx,65,0,30,7791.457,1.040
66,A,rx,66,0,30,7802.760,1.028
67,B,rx,67,0,30,7813.870,1.164
68,A,rx,68,0,30,7824.139,1.045
69,B,rx,69,0,30,7835.138,1.088
70,A,rx,70,0,30,7845.505,1.167
71,B,rx,71,0,30,7856.437,0.760
72,A,rx,72,0,30,7866.728,1.061
73,B,rx,73,0,30,7877.830,0.988
74,A,rx,74,0,30,7887.950,0.638
75,B,rx,75,0,30,7899.138,0.567
76,A,rx,76,0,30,7909.328,0.596
77,B,rx,77,0,30,7920.345,0.552
78,A,rx,78,0,30,7931.649,0.604
79,B,rx,80,0,30,7952.961,0.584
80,A,rx,81,0,30,7964.310,0.932
81,B,rx,82,0,30,7974.432,0.899
82,A,rx,83,0,30,7985.609,0.643
83,B,rx,84,0,30,7995.759,0.903
84,A,rx,85,0,30,8006.982,0.853
85,B,rx,86,0,30,8017.063,0.882
86,A,rx,87,0,30,8028.274,0.629
87,B,rx,88,0,30,8038.550,0.798
88,A,rx,89,0,30,8050.091,0.867
89,B,rx,90,0,30,8060.635,0.573
90,A,rx,91,0,30,8071.965,0.896
91,B,rx,92,0,30,8082.060,0.553
92,A,rx,93,0,30,8093.216,0.861
93,B,rx,94,0,30,8103.369,0.922
94,A,rx,95,0,30,8114.565,0.577
95,B,rx,96,0,30,8124.651,0.865
96,A,rx,97,0,30,8135.932,0.584
97,B,rx,98,0,30,8146.030,0.595
98,A,rx,99,0,30,8157.310,0.605
99,B,rx,100,0,30,8167.474,0.868
100,A,rx,101,0,30,8178.629,0.581
101,B,rx,102,0,30,8188.764,0.702
102,A,rx,103,0,30,8201.085,0.971
103,B,rx,104,0,30,8211.120,0.574
104,A,rx,105,0,30,8222.385,0.635
105,B,rx,106,0,30,8233.274,0.870
106,A,rx,107,0,30,8243.596,0.762
107,B,rx,108,0,30,8254.609,0.537
108,A,rx,109,0,30,8264.926,0.895
109,B,rx,110,0,30,8276.097,0.923
110,A,rx,111,0,30,8286.372,0.631
111,B,rx,112,0,30,8297.322,0.542
112,A,rx,113,0,30,8307.618,0.575
113,B,rx,114,0,30,8318.687,0.597
114,A,rx,115,0,30,8330.006,0.876
115,B,rx,116,0,30,8341.074,0.590
116,A,rx,117,0,30,8351.324,0.548
117,B,rx,118,0,30,8362.365,0.566
118,A,rx,119,0,30,8372.633,0.577
119,B,rx,120,0,30,8383.771,0.631
120,A,rx,121,0,30,8394.018,0.854
121,B,rx,122,0,30,8405.060,0.889
122,A,rx,123,0,30,8415.384,0.601
123,B,rx,124,0,30,8426.438,0.582
124,A,rx,125,0,30,8436.692,0.572
125,B,rx,126,0,30,8447.817,0.570
126,A,rx,127,0,30,8459.110,0.569
127,B,rx,128,0,30,8470.094,0.561
128,A,rx,129,0,30,8480.308,0.558
129,B,rx,130,0,30,8491.491,0.874
130,A,rx,131,0,30,8501.734,0.928
131,B,rx,132,0,30,8512.726,0.561
132,A,rx,133,0,30,8523.493,0.687
133,B,rx,134,0,30,8534.129,0.770
134,A,rx,135,0,30,8544.333,0.561
135,B,rx,136,0,30,8555.340,0.567
136,A,rx,137,0,30,8565.578,0.521
137,B,rx,138,0,30,8576.671,0.578
138,A,rx,139,0,30,8588.137,0.604
139,B,rx,140,0,30,8599.096,0.541
140,A,rx,141,0,30,8609.299,0.625
141,B,rx,142,0,30,8620.378,0.598
142,A,rx,143,0,30,8630.608,0.570
143,B,rx,144,0,30,8641.840,0.913
144,A,rx,145,0,30,8652.054,0.883
145,B,rx,146,0,30,8663.177,0.924
146,A,rx,147,0,30,8673.390,0.627
