idx,t_rel_s,delta_ms,len,version,payload_prefix
1,5.099899354,NaN,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
2,5.110885920,10.986566,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
3,5.122186372,11.300452,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
4,5.132165925,9.979553,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
5,5.143403959,11.238034,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
6,5.155630733,12.226774,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
7,5.165850325,10.219592,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
8,5.176997185,11.146860,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
9,5.186928699,9.931514,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
10,5.198249678,11.320979,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
11,5.208738075,10.488397,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
12,5.219567799,10.829724,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
13,5.229653194,10.085395,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
14,5.240827592,11.174398,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
15,5.251268842,10.441250,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
16,5.262231745,10.962903,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
17,5.272702909,10.471164,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
18,5.284690221,11.987312,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
19,5.294662477,9.972256,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
20,5.305924330,11.261853,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
21,5.316308998,10.384668,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
22,5.327333340,11.024342,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
23,5.337806748,10.473408,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
24,5.348840357,11.033609,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
25,5.358721758,9.881401,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
26,5.370002229,11.280471,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
27,5.380280150,10.277921,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
28,5.390299117,10.018967,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
29,5.402646373,12.347256,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
30,5.412555540,9.909167,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
31,5.423769701,11.214161,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
32,5.433958584,10.188883,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
33,5.445287982,11.329398,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
34,5.455378192,10.090210,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
35,5.466507098,11.128906,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
36,5.476552025,10.044927,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
37,5.487783462,11.231437,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
38,5.498017792,10.234330,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
39,5.510210706,12.192914,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
40,5.521311532,11.100826,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
41,5.531697327,10.385795,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
42,5.542756735,11.059408,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
43,5.552781357,10.024622,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
44,5.563271118,10.489761,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
45,5.574334846,11.063728,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
46,5.585229351,10.894505,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
47,5.595549689,10.320338,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
48,5.606854580,11.304891,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
49,5.616914512,10.059932,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
50,5.629486971,12.572459,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
51,5.639037784,9.550813,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
52,5.649613770,10.575986,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
53,5.660864214,11.250444,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
54,5.670740833,9.876619,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
55,5.681824760,11.083927,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
56,5.693095459,11.270699,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
57,5.703365388,10.269929,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
58,5.714455830,11.090442,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
59,5.724811885,10.356055,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
60,5.736086563,11.274678,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
61,5.745978851,9.892288,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
62,5.757213104,11.234253,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
63,5.768486823,11.273719,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
64,5.778506653,10.019830,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
65,5.789834656,11.328003,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
66,5.800864290,11.029634,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
67,5.811957326,11.093036,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
68,5.822144506,10.187180,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
69,5.833633359,11.488853,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
70,5.843492463,9.859104,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
71,5.853523242,10.030779,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
72,5.864707783,11.184541,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
73,5.874914933,10.207150,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
74,5.886279840,11.364907,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
75,5.897415949,11.136109,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
76,5.907667815,10.251866,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
77,5.919792224,12.124409,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
78,5.930049037,10.256813,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
79,5.940900478,10.851441,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
80,5.951363401,10.462923,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
81,5.962468619,11.105218,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
82,5.972433094,9.964475,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
83,5.983747480,11.314386,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
84,5.993940918,10.193438,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
85,6.005140496,11.199578,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
86,6.015207303,10.066807,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
87,6.027429567,12.222264,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
88,6.037500508,10.070941,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
89,6.048685470,11.184962,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
90,6.058769598,10.084128,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
91,6.070143498,11.373900,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
92,6.080271779,10.128281,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
93,6.091400288,11.128509,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
94,6.101504217,10.103929,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
95,6.112475362,10.971145,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
96,6.122821985,10.346623,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
97,6.134063683,11.241698,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
98,6.144173462,10.109779,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
99,6.156230168,12.056706,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
100,6.166710511,10.480343,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
101,6.517959220,351.248709,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
102,6.529105703,11.146483,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
103,6.539629017,10.523314,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
104,6.550820172,11.191155,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
105,6.560737408,9.917236,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
106,6.570933364,10.195956,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
107,6.582146138,11.212774,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
108,6.594514147,12.368009,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
109,6.604489352,9.975205,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
110,6.614831110,10.341758,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
111,6.626030934,11.199824,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
112,6.635924634,9.893700,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
113,6.646081114,10.156480,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
114,6.657294557,11.213443,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
115,6.667327061,10.032504,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
116,6.678522133,11.195072,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
117,6.688682526,10.160393,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
118,6.698996667,10.314141,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
119,6.711011422,12.014755,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
120,6.721301215,10.289793,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
121,6.732601996,11.300781,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
122,6.742774770,10.172774,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
123,6.753784345,11.009575,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
124,6.763948255,10.163910,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
125,6.774025903,10.077648,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
126,6.784215215,10.189312,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
127,6.795293306,11.078091,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
128,6.806470794,11.177488,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
129,6.817606976,11.136182,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
130,6.828037237,10.430261,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
131,6.839132564,11.095327,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
132,6.849066757,9.934193,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
133,6.860454240,11.387483,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
134,6.870820805,10.366565,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
135,6.880550008,9.729203,30,v5bis,88000000ffffffffffffa8dd9f4dc5b5
