idx,t_rel_s,delta_ms,len,version,payload_prefix
1,12.753125959,NaN,30,v6,88000000ffffffffffffa8dd9f4dc5b5
2,12.763988862,10.862903,30,v6,88000000ffffffffffffa8dd9f4dc5b5
3,12.774147490,10.158628,30,v6,88000000ffffffffffffa8dd9f4dc5b5
4,12.784438372,10.290882,30,v6,88000000ffffffffffffa8dd9f4dc5b5
5,12.796423493,11.985121,30,v6,88000000ffffffffffffa8dd9f4dc5b5
6,12.807709270,11.285777,30,v6,88000000ffffffffffffa8dd9f4dc5b5
7,12.817773304,10.064034,30,v6,88000000ffffffffffffa8dd9f4dc5b5
8,12.827964461,10.191157,30,v6,88000000ffffffffffffa8dd9f4dc5b5
9,12.839028563,11.064102,30,v6,88000000ffffffffffffa8dd9f4dc5b5
10,12.849451195,10.422632,30,v6,88000000ffffffffffffa8dd9f4dc5b5
11,12.860477443,11.026248,30,v6,88000000ffffffffffffa8dd9f4dc5b5
12,12.870691364,10.213921,30,v6,88000000ffffffffffffa8dd9f4dc5b5
13,12.881607818,10.916454,30,v6,88000000ffffffffffffa8dd9f4dc5b5
14,12.892863273,11.255455,30,v6,88000000ffffffffffffa8dd9f4dc5b5
15,12.903260060,10.396787,30,v6,88000000ffffffffffffa8dd9f4dc5b5
16,12.913356976,10.096916,30,v6,88000000ffffffffffffa8dd9f4dc5b5
17,12.925563779,12.206803,30,v6,88000000ffffffffffffa8dd9f4dc5b5
18,12.935663007,10.099228,30,v6,88000000ffffffffffffa8dd9f4dc5b5
19,12.946864238,11.201231,30,v6,88000000ffffffffffffa8dd9f4dc5b5
20,12.957973102,11.108864,30,v6,88000000ffffffffffffa8dd9f4dc5b5
21,12.968134257,10.161155,30,v6,88000000ffffffffffffa8dd9f4dc5b5
22,12.978415245,10.280988,30,v6,88000000ffffffffffffa8dd9f4dc5b5
23,12.989620502,11.205257,30,v6,88000000ffffffffffffa8dd9f4dc5b5
24,13.001018413,11.397911,30,v6,88000000ffffffffffffa8dd9f4dc5b5
25,13.010876388,9.857975,30,v6,88000000ffffffffffffa8dd9f4dc5b5
26,13.022078773,11.202385,30,v6,88000000ffffffffffffa8dd9f4dc5b5
27,13.033511318,11.432545,30,v6,88000000ffffffffffffa8dd9f4dc5b5
28,13.044498793,10.987475,30,v6,88000000ffffffffffffa8dd9f4dc5b5
29,13.054531057,10.032264,30,v6,88000000ffffffffffffa8dd9f4dc5b5
30,13.065819812,11.288755,30,v6,88000000ffffffffffffa8dd9f4dc5b5
31,13.075941089,10.121277,30,v6,88000000ffffffffffffa8dd9f4dc5b5
32,13.086178635,10.237546,30,v6,88000000ffffffffffffa8dd9f4dc5b5
33,13.097196821,11.018186,30,v6,88000000ffffffffffffa8dd9f4dc5b5
