rx_idx,phy_active,frame_event,seq,frag,len,rx_t_ms,swap_ms
0,A,rx,1317,15,99,2324.313,1.352
1,B,rx,1317,15,99,9034.844,1.136
2,A,rx,1317,15,99,15745.536,1.123
3,B,rx,0,0,30,21570.343,1.106
4,A,rx,1,0,30,21580.467,0.861
5,B,rx,2,0,30,21592.617,0.789
6,A,rx,3,0,30,21602.941,0.553
7,B,rx,4,0,30,21613.854,0.459
8,A,rx,5,0,30,21624.138,0.868
9,B,rx,6,0,30,21635.342,0.958
10,A,rx,7,0,30,21645.507,0.881
11,B,rx,8,0,30,21657.559,0.650
12,A,rx,9,0,30,21667.946,0.863
13,B,rx,10,0,30,21678.945,0.652
14,A,rx,11,0,30,21689.201,0.501
15,B,rx,12,0,30,21700.200,0.545
16,A,rx,13,0,30,21710.589,0.527
17,B,rx,14,0,30,21722.649,0.515
18,A,rx,15,0,30,21732.792,0.544
19,B,rx,16,0,30,21743.935,0.508
20,A,rx,17,0,30,21754.246,0.633
21,B,rx,18,0,30,21765.287,0.562
22,A,rx,19,0,30,21775.531,0.736
23,B,rx,20,0,30,21786.546,0.594
24,A,rx,21,0,30,21796.981,0.969
25,B,rx,22,0,30,21808.016,0.549
26,A,rx,23,0,30,21818.303,0.788
27,B,rx,24,0,30,21829.283,0.495
28,A,rx,25,0,30,21839.618,0.845
29,B,rx,26,0,30,21851.670,0.628
30,A,rx,27,0,30,21861.895,0.544
31,B,rx,28,0,30,21873.067,0.784
32,A,rx,29,0,30,21883.299,0.543
33,B,rx,30,0,30,21894.263,0.516
34,A,rx,31,0,30,21904.777,0.580
35,B,rx,32,0,30,21915.734,0.522
36,A,rx,33,0,30,21925.946,0.505
37,B,rx,34,0,30,21937.142,0.449
38,A,rx,35,0,30,21947.443,0.459
39,B,rx,36,0,30,21958.419,0.506
40,A,rx,37,0,30,21968.699,0.489
41,B,rx,38,0,30,21980.614,0.746
42,A,rx,39,0,30,21991.905,0.559
43,B,rx,40,0,30,22002.247,0.629
44,A,rx,41,0,30,22013.179,0.588
45,B,rx,42,0,30,22023.425,0.598
46,A,rx,43,0,30,22034.524,0.574
47,B,rx,44,0,30,22044.794,0.824
48,A,rx,45,0,30,22055.823,0.556
49,B,rx,46,0,30,22066.221,0.892
50,A,rx,47,0,30,22077.226,0.858
51,B,rx,48,0,30,22088.280,0.542
52,A,rx,49,0,30,22098.613,0.520
53,B,rx,50,0,30,22109.919,0.524
54,A,rx,51,0,30,22120.993,0.497
55,B,rx,52,0,30,22131.445,0.685
56,A,rx,53,0,30,22142.175,0.469
57,B,rx,54,0,30,22152.525,0.815
58,A,rx,55,0,30,22163.617,0.920
59,B,rx,56,0,30,22173.919,0.642
60,A,rx,57,0,30,22184.941,0.964
61,B,rx,58,0,30,22195.113,0.518
62,A,rx,59,0,30,22206.269,0.881
63,B,rx,60,0,30,22216.545,0.779
64,A,rx,61,0,30,22227.626,0.495
65,B,rx,62,0,30,22238.852,0.529
66,A,rx,63,0,30,22249.909,0.850
67,B,rx,64,0,30,22260.203,0.608
68,A,rx,65,0,30,22271.217,0.538
69,B,rx,66,0,30,22281.477,0.583
70,A,rx,67,0,30,22292.563,0.524
71,B,rx,68,0,30,22302.888,0.561
72,A,rx,69,0,30,22313.981,0.900
73,B,rx,70,0,30,22324.261,0.483
74,A,rx,71,0,30,22335.231,0.493
75,B,rx,72,0,30,22345.646,0.481
76,A,rx,73,0,30,22356.657,0.566
77,B,rx,74,0,30,22367.925,0.523
78,A,rx,75,0,30,22378.964,0.507
79,B,rx,76,0,30,22389.175,0.533
80,A,rx,77,0,30,22400.343,0.494
81,B,rx,78,0,30,22410.442,0.522
82,A,rx,79,0,30,22421.580,0.524
83,B,rx,80,0,30,22432.182,0.516
84,A,rx,81,0,30,22442.927,0.546
85,B,rx,82,0,30,22453.159,0.487
86,A,rx,83,0,30,22464.353,0.931
87,B,rx,84,0,30,22474.606,0.501
88,A,rx,85,0,30,22485.621,0.480
89,B,rx,86,0,30,22496.991,0.839
90,A,rx,87,0,30,22508.137,0.908
91,B,rx,88,0,30,22518.346,0.898
92,A,rx,89,0,30,22529.495,0.540
93,B,rx,90,0,30,22539.670,0.749
94,A,rx,91,0,30,22550.721,0.496
95,B,rx,92,0,30,22561.006,0.841
96,A,rx,93,0,30,22571.949,0.884
97,B,rx,94,0,30,22582.631,0.534
98,A,rx,95,0,30,22593.338,0.795
99,B,rx,96,0,30,22603.678,0.527
100,A,rx,97,0,30,22614.700,0.825
101,B,rx,98,0,30,22624.997,0.470
102,A,rx,99,0,30,22637.024,0.514
103,B,rx,100,0,30,22647.404,0.513
104,A,rx,101,0,30,22658.416,0.843
105,B,rx,102,0,30,22668.696,0.719
106,A,rx,103,0,30,22679.766,0.879
107,B,rx,104,0,30,22690.009,0.536
108,A,rx,105,0,30,22701.019,0.544
109,B,rx,106,0,30,22711.342,0.516
