rx_idx,phy,tap,frame_event,len,step,run,tag,wait_us,ts_us,seq,rx_t_ms,swap_ms

499,H,halow_frames_a,rx,100,-1,-1,?,-1,-1,249,94326.632,0.339
500,Z,zigbee_frames,rx,46,0,5,Z,150000,92509295,-1,94425.421,0.401
501,H,halow_frames_a,rx,100,-1,-1,?,-1,-1,250,94583.127,0.336
502,Z,zigbee_frames,rx,46,1,5,Z,150000,92816515,-1,94732.678,0.389
503,H,halow_frames_a,rx,100,-1,-1,?,-1,-1,251,94890.350,0.350
504,Z,zigbee_frames,rx,46,2,5,Z,150000,93123669,-1,95039.917,0.368
505,H,halow_frames_a,rx,100,-1,-1,?,-1,-1,252,95197.540,0.448
506,Z,zigbee_frames,rx,46,3,5,Z,150000,93430974,-1,95347.180,0.357
507,H,halow_frames_a,rx,100,-1,-1,?,-1,-1,253,95505.633,0.327
508,Z,zigbee_frames,rx,46,4,5,Z,150000,93738109,-1,95654.390,0.389
509,H,halow_frames_a,rx,100,-1,-1,?,-1,-1,254,95812.354,0.369
510,Z,zigbee_frames,rx,46,5,5,Z,150000,94045261,-1,95961.698,0.393
511,H,halow_frames_a,rx,100,-1,-1,?,-1,-1,255,96119.349,0.315
512,Z,zigbee_frames,rx,46,6,5,Z,150000,94352523,-1,96268.887,0.389
513,H,halow_frames_a,rx,100,-1,-1,?,-1,-1,256,96426.356,0.425
514,Z,zigbee_frames,rx,46,7,5,Z,150000,94659682,-1,96575.989,0.348
515,H,halow_frames_a,rx,100,-1,-1,?,-1,-1,257,96733.440,0.375
516,Z,zigbee_frames,rx,46,8,5,Z,150000,94966847,-1,96883.150,0.390
517,H,halow_frames_a,rx,100,-1,-1,?,-1,-1,258,97040.714,0.333
518,Z,zigbee_frames,rx,46,9,5,Z,150000,95274237,-1,97190.391,0.415
519,H,halow_frames_a,rx,100,-1,-1,?,-1,-1,259,97347.934,0.365
520,Z,zigbee_frames,rx,46,10,5,Z,150000,95581408,-1,97497.755,0.408
521,H,halow_frames_a,rx,100,-1,-1,?,-1,-1,260,97655.816,0.333
522,Z,zigbee_frames,rx,46,11,5,Z,150000,95888545,-1,97804.930,0.585
523,H,halow_frames_a,rx,100,-1,-1,?,-1,-1,261,97962.460,0.346
524,Z,zigbee_frames,rx,46,12,5,Z,150000,96195691,-1,98111.929,0.429
525,H,halow_frames_a,rx,100,-1,-1,?,-1,-1,262,98269.746,0.321
526,Z,zigbee_frames,rx,46,13,5,Z,150000,96502963,-1,98419.177,0.529
527,H,halow_frames_a,rx,100,-1,-1,?,-1,-1,263,98577.034,0.318
528,Z,zigbee_frames,rx,46,14,5,Z,150000,96810118,-1,98726.458,0.482
529,H,halow_frames_a,rx,100,-1,-1,?,-1,-1,264,98884.028,0.316
530,Z,zigbee_frames,rx,46,15,5,Z,150000,97117261,-1,99033.467,0.381
531,H,halow_frames_a,rx,100,-1,-1,?,-1,-1,265,99191.221,0.471
532,Z,zigbee_frames,rx,46,16,5,Z,150000,97426450,-1,99342.715,0.444
533,H,halow_frames_a,rx,100,-1,-1,?,-1,-1,266,99500.451,0.348
534,Z,zigbee_frames,rx,46,17,5,Z,150000,97733598,-1,99649.729,0.435
535,H,halow_frames_a,rx,100,-1,-1,?,-1,-1,267,99807.452,0.351
536,Z,zigbee_frames,rx,46,18,5,Z,150000,98040749,-1,99957.071,0.538
537,H,halow_frames_a,rx,100,-1,-1,?,-1,-1,268,100114.573,0.324
538,Z,zigbee_frames,rx,46,19,5,Z,150000,98348033,-1,100264.410,0.374
539,H,halow_frames_a,rx,100,-1,-1,?,-1,-1,269,100422.547,0.359
540,Z,zigbee_frames,rx,46,20,5,Z,150000,98655181,-1,100571.460,0.381
541,H,halow_frames_a,rx,100,-1,-1,?,-1,-1,270,100729.047,0.322
542,Z,zigbee_frames,rx,46,21,5,Z,150000,98962349,-1,100878.670,0.389
543,H,halow_frames_a,rx,100,-1,-1,?,-1,-1,271,101036.357,0.436
544,Z,zigbee_frames,rx,46,22,5,Z,150000,99269615,-1,101185.920,0.405
545,H,halow_frames_a,rx,100,-1,-1,?,-1,-1,272,101344.068,0.359
546,Z,zigbee_frames,rx,46,23,5,Z,150000,99576761,-1,101492.966,0.399
547,H,halow_frames_a,rx,100,-1,-1,?,-1,-1,273,101650.589,0.366
548,Z,zigbee_frames,rx,46,24,5,Z,150000,99883899,-1,101800.026,0.378
549,H,halow_frames_a,rx,100,-1,-1,?,-1,-1,274,101957.490,0.460
550,Z,zigbee_frames,rx,46,25,5,Z,150000,100191054,-1,102107.431,0.458
551,H,halow_frames_a,rx,100,-1,-1,?,-1,-1,275,102265.160,0.342
552,Z,zigbee_frames,rx,46,26,5,Z,150000,100498337,-1,102414.689,0.392
553,H,halow_frames_a,rx,100,-1,-1,?,-1,-1,276,102572.938,0.461
554,Z,zigbee_frames,rx,46,27,5,Z,150000,100805486,-1,102721.730,0.406
555,H,halow_frames_a,rx,100,-1,-1,?,-1,-1,277,102879.875,0.350
556,Z,zigbee_frames,rx,46,28,5,Z,150000,101112624,-1,103028.971,0.526
557,H,halow_frames_a,rx,100,-1,-1,?,-1,-1,278,103186.660,0.326
558,Z,zigbee_frames,rx,46,29,5,Z,150000,101419903,-1,103336.200,0.404
559,H,halow_frames_a,rx,100,-1,-1,?,-1,-1,279,103493.998,0.445
560,Z,zigbee_frames,rx,46,30,5,Z,150000,101727053,-1,103643.209,0.404
561,H,halow_frames_a,rx,100,-1,-1,?,-1,-1,280,103801.210,0.353
562,Z,zigbee_frames,rx,46,31,5,Z,150000,102034294,-1,103950.504,0.552
563,H,halow_frames_a,rx,100,-1,-1,?,-1,-1,281,104111.638,0.400
564,Z,zigbee_frames,rx,46,32,5,Z,150000,102341581,-1,104257.928,0.453
565,H,halow_frames_a,rx,100,-1,-1,?,-1,-1,282,104415.467,0.327
566,Z,zigbee_frames,rx,46,33,5,Z,150000,102648745,-1,104565.119,0.365
567,H,halow_frames_a,rx,100,-1,-1,?,-1,-1,283,104722.671,0.318
568,Z,zigbee_frames,rx,46,34,5,Z,150000,102955885,-1,104872.157,0.381
569,H,halow_frames_a,rx,100,-1,-1,?,-1,-1,284,105029.644,0.320
570,Z,zigbee_frames,rx,46,35,5,Z,150000,103263165,-1,105179.428,0.387
571,H,halow_frames_a,rx,100,-1,-1,?,-1,-1,285,105337.367,0.395
572,Z,zigbee_frames,rx,46,36,5,Z,150000,103570323,-1,105486.445,0.408
573,H,halow_frames_a,rx,100,-1,-1,?,-1,-1,286,105644.239,0.383
574,Z,zigbee_frames,rx,46,37,5,Z,150000,103877459,-1,105793.672,0.397
575,H,halow_frames_a,rx,100,-1,-1,?,-1,-1,287,105952.043,0.459
576,Z,zigbee_frames,rx,46,38,5,Z,150000,104184599,-1,106100.938,0.375
577,H,halow_frames_a,rx,100,-1,-1,?,-1,-1,288,106258.728,0.429
578,Z,zigbee_frames,rx,46,39,5,Z,150000,104491868,-1,106408.165,0.402
579,H,halow_frames_a,rx,100,-1,-1,?,-1,-1,289,106565.962,0.366
580,Z,zigbee_frames,rx,46,40,5,Z,150000,104799017,-1,106715.417,0.420
581,H,halow_frames_a,rx,100,-1,-1,?,-1,-1,290,106872.914,0.316
582,Z,zigbee_frames,rx,46,41,5,Z,150000,105106166,-1,107022.435,0.380
583,H,halow_frames_a,rx,100,-1,-1,?,-1,-1,291,107180.013,0.352
584,Z,zigbee_frames,rx,46,42,5,Z,150000,105413440,-1,107329.689,0.375
585,H,halow_frames_a,rx,100,-1,-1,?,-1,-1,292,107487.327,0.312
