rx_idx,phy,tap,frame_event,len,step,run,tag,wait_us,ts_us,seq,rx_t_ms,swap_ms
0,Z,zigbee_frames,rx,46,0,0,90,10000,1075566,-1,13219.732,6.042
1,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,13233.438,0.321
2,Z,zigbee_frames,rx,46,1,0,90,10000,1097882,-1,13242.071,0.660
3,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,13255.583,0.332
4,Z,zigbee_frames,rx,46,2,0,90,10000,1120111,-1,13264.154,1.056
5,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,13277.693,0.391
6,Z,zigbee_frames,rx,46,3,0,90,10000,1142261,-1,13286.300,1.188
7,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,13299.832,0.444
8,Z,zigbee_frames,rx,46,4,0,90,10000,1164373,-1,13308.351,0.708
9,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,13321.944,0.364
10,Z,zigbee_frames,rx,46,5,0,90,10000,1186467,-1,13330.525,1.055
11,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,13344.076,0.356
12,Z,zigbee_frames,rx,46,6,0,90,10000,1208550,-1,13352.641,1.094
13,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,13365.976,0.386
14,Z,zigbee_frames,rx,46,7,0,90,10000,1230629,-1,13374.725,0.707
15,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,13388.112,0.439
16,Z,zigbee_frames,rx,46,8,0,90,10000,1252706,-1,13396.851,0.861
17,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,13410.251,0.482
18,Z,zigbee_frames,rx,46,9,0,90,10000,1274781,-1,13418.843,1.115
19,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,13432.331,0.502
20,Z,zigbee_frames,rx,46,10,0,90,10000,1296856,-1,13440.904,1.094
21,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,13454.455,0.344
22,Z,zigbee_frames,rx,46,11,0,90,10000,1318930,-1,13462.983,0.721
23,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,13476.535,0.487
24,Z,zigbee_frames,rx,46,12,0,90,10000,1341004,-1,13485.132,1.031
25,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,13520.792,0.512
26,Z,zigbee_frames,rx,46,14,0,90,10000,1385153,-1,13529.134,0.627
27,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,13542.895,0.414
28,Z,zigbee_frames,rx,46,15,0,90,10000,1407226,-1,13551.270,1.000
29,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,13565.035,0.529
30,Z,zigbee_frames,rx,46,16,0,90,10000,1429300,-1,13573.380,0.966
31,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,13587.150,0.454
32,Z,zigbee_frames,rx,46,17,0,90,10000,1451374,-1,13595.514,1.024
33,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,13609.246,0.506
34,Z,zigbee_frames,rx,46,18,0,90,10000,1473448,-1,13617.619,0.947
35,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,13631.434,0.325
36,Z,zigbee_frames,rx,46,19,0,90,10000,1495522,-1,13639.537,0.733
37,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,13653.529,0.313
38,Z,zigbee_frames,rx,46,20,0,90,10000,1517596,-1,13661.651,1.046
39,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,13675.414,0.341
40,Z,zigbee_frames,rx,46,21,0,90,10000,1539671,-1,13683.774,0.953
41,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,13697.500,0.434
42,Z,zigbee_frames,rx,46,22,0,90,10000,1561744,-1,13705.876,0.746
43,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,13719.649,0.494
44,Z,zigbee_frames,rx,46,23,0,90,10000,1583818,-1,13727.791,0.731
45,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,13741.811,0.586
46,Z,zigbee_frames,rx,46,24,0,90,10000,1605892,-1,13749.961,1.100
47,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,13763.889,0.481
48,Z,zigbee_frames,rx,46,25,0,90,10000,1627967,-1,13772.042,1.052
49,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,13786.038,0.439
50,Z,zigbee_frames,rx,46,26,0,90,10000,1650040,-1,13794.145,0.592
51,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,13830.264,0.484
52,Z,zigbee_frames,rx,46,28,0,90,10000,1694188,-1,13838.271,0.845
53,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,13852.406,0.474
54,Z,zigbee_frames,rx,46,29,0,90,10000,1716262,-1,13860.337,0.769
55,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,13874.539,0.334
56,Z,zigbee_frames,rx,46,30,0,90,10000,1738336,-1,13882.447,0.660
57,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,13896.608,0.456
58,Z,zigbee_frames,rx,46,31,0,90,10000,1760410,-1,13904.739,0.675
59,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,13918.731,0.488
60,Z,zigbee_frames,rx,46,32,0,90,10000,1782485,-1,13926.541,0.980
61,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,13940.826,0.324
62,Z,zigbee_frames,rx,46,33,0,90,10000,1804558,-1,13948.603,0.652
63,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,13962.987,0.318
64,Z,zigbee_frames,rx,46,34,0,90,10000,1826632,-1,13970.655,0.683
65,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,13984.866,0.487
66,Z,zigbee_frames,rx,46,35,0,90,10000,1848706,-1,13992.841,0.979
67,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,14007.010,0.467
68,Z,zigbee_frames,rx,46,36,0,90,10000,1870780,-1,14014.939,0.918
69,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,14029.140,0.316
70,Z,zigbee_frames,rx,46,37,0,90,10000,1892854,-1,14036.884,0.809
71,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,14051.182,0.478
72,Z,zigbee_frames,rx,46,38,0,90,10000,1914928,-1,14058.994,0.830
73,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,14073.371,0.314
74,Z,zigbee_frames,rx,46,39,0,90,10000,1937002,-1,14081.115,0.920
75,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,14095.451,0.361
76,Z,zigbee_frames,rx,46,40,0,90,10000,1959076,-1,14103.214,0.654
77,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,14139.754,0.479
78,Z,zigbee_frames,rx,46,42,0,90,10000,2003225,-1,14147.284,0.983
79,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,14161.820,0.461
80,Z,zigbee_frames,rx,46,43,0,90,10000,2025299,-1,14169.381,0.756
81,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,14183.933,0.424
82,Z,zigbee_frames,rx,46,44,0,90,10000,2047372,-1,14191.515,0.973
83,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,14206.104,0.465
84,Z,zigbee_frames,rx,46,45,0,90,10000,2069446,-1,14213.608,0.979
