rx_idx,phy,tap,frame_event,len,step,run,tag,wait_us,ts_us,seq,rx_t_ms,swap_ms
0,Z,zigbee_frames,rx,46,0,0,90,150000,1107055,-1,4240.280,1.357
1,H,halow_frames_a,rx,100,-1,-1,-1,-1,-1,0,4402.036,0.354
2,Z,zigbee_frames,rx,46,1,0,90,150000,1415025,-1,4548.145,0.457
3,H,halow_frames_a,rx,100,-1,-1,-1,-1,-1,1,4706.857,0.368
4,Z,zigbee_frames,rx,46,2,0,90,150000,1722060,-1,4855.334,0.463
5,H,halow_frames_a,rx,100,-1,-1,-1,-1,-1,2,5016.790,0.356
6,Z,zigbee_frames,rx,46,3,0,90,150000,2029087,-1,5162.340,0.456
7,H,halow_frames_a,rx,100,-1,-1,-1,-1,-1,3,5319.995,0.496
8,Z,zigbee_frames,rx,46,4,0,90,150000,2336263,-1,5469.508,0.649
9,H,halow_frames_a,rx,100,-1,-1,-1,-1,-1,4,5627.106,0.486
10,Z,zigbee_frames,rx,46,5,0,90,150000,2643332,-1,5776.548,0.434
11,H,halow_frames_a,rx,100,-1,-1,-1,-1,-1,5,5934.432,0.359
12,Z,zigbee_frames,rx,46,6,0,90,150000,2950350,-1,6083.471,0.457
13,H,halow_frames_a,rx,100,-1,-1,-1,-1,-1,6,6240.908,0.335
14,Z,zigbee_frames,rx,46,7,0,90,150000,3257539,-1,6390.680,0.360
15,H,halow_frames_a,rx,100,-1,-1,-1,-1,-1,7,6548.216,0.327
16,Z,zigbee_frames,rx,46,8,0,90,150000,3564591,-1,6697.687,0.393
17,H,halow_frames_a,rx,100,-1,-1,-1,-1,-1,8,6857.601,0.332
18,Z,zigbee_frames,rx,46,9,0,90,150000,3871622,-1,7004.932,0.446
19,H,halow_frames_a,rx,100,-1,-1,-1,-1,-1,9,7162.743,0.315
20,Z,zigbee_frames,rx,46,10,0,90,150000,4178660,-1,7311.941,0.560
21,H,halow_frames_a,rx,100,-1,-1,-1,-1,-1,10,7469.410,0.429
22,Z,zigbee_frames,rx,46,11,0,90,150000,4485857,-1,7619.120,0.465
23,H,halow_frames_a,rx,100,-1,-1,-1,-1,-1,11,7776.639,0.359
24,Z,zigbee_frames,rx,46,12,0,90,150000,4792895,-1,7926.093,0.530
25,H,halow_frames_a,rx,100,-1,-1,-1,-1,-1,12,8084.196,0.458
26,Z,zigbee_frames,rx,46,13,0,90,150000,5099919,-1,8233.063,0.411
27,H,halow_frames_a,rx,100,-1,-1,-1,-1,-1,13,8390.927,0.511
28,Z,zigbee_frames,rx,46,14,0,90,150000,5407295,-1,8540.505,0.406
29,H,halow_frames_a,rx,100,-1,-1,-1,-1,-1,14,8697.994,0.479
30,Z,zigbee_frames,rx,46,15,0,90,150000,5714339,-1,8847.525,0.392
31,H,halow_frames_a,rx,100,-1,-1,-1,-1,-1,15,9005.036,0.337
32,Z,zigbee_frames,rx,46,16,0,90,150000,6021368,-1,9154.460,0.374
33,H,halow_frames_a,rx,100,-1,-1,-1,-1,-1,16,9312.237,0.317
34,Z,zigbee_frames,rx,46,17,0,90,150000,6328546,-1,9461.691,0.584
35,H,halow_frames_a,rx,100,-1,-1,-1,-1,-1,17,9619.106,0.300
36,Z,zigbee_frames,rx,46,18,0,90,150000,6635581,-1,9768.687,0.364
37,H,halow_frames_a,rx,100,-1,-1,-1,-1,-1,18,9926.280,0.434
38,Z,zigbee_frames,rx,46,19,0,90,150000,6942613,-1,10075.877,0.427
39,H,halow_frames_a,rx,100,-1,-1,-1,-1,-1,19,10233.346,0.359
40,Z,zigbee_frames,rx,46,20,0,90,150000,7249746,-1,10382.887,0.370
41,H,halow_frames_a,rx,100,-1,-1,-1,-1,-1,20,10543.558,0.407
42,Z,zigbee_frames,rx,46,21,0,90,150000,7556814,-1,10690.048,0.363
43,H,halow_frames_a,rx,99,-1,-1,-1,-1,-1,1317,10832.975,0.344
44,Z,zigbee_frames,rx,46,22,0,90,150000,7863893,-1,10997.054,0.330
