rx_idx,phy,tap,frame_event,len,step,run,tag,wait_us,ts_us,seq,rx_t_ms,swap_ms
0,Z,zigbee_frames,rx,46,0,0,90,10000,1088771,-1,2694.134,1.768
1,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,2705.808,0.445
2,Z,zigbee_frames,rx,46,1,0,90,10000,1111120,-1,2716.445,0.929
3,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,2727.977,0.274
4,Z,zigbee_frames,rx,46,2,0,90,10000,1133375,-1,2738.536,0.629
5,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,2750.025,0.429
6,Z,zigbee_frames,rx,46,3,0,90,10000,1155556,-1,2760.873,0.692
7,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,2772.199,0.248
8,Z,zigbee_frames,rx,46,4,0,90,10000,1177696,-1,2782.993,0.673
9,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,2794.281,0.273
10,Z,zigbee_frames,rx,46,5,0,90,10000,1199819,-1,2805.086,1.017
11,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,2816.381,0.258
12,Z,zigbee_frames,rx,46,6,0,90,10000,1221932,-1,2827.204,0.608
13,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,2838.517,0.240
14,Z,zigbee_frames,rx,46,7,0,90,10000,1244040,-1,2849.325,0.658
15,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,2860.680,0.328
16,Z,zigbee_frames,rx,46,8,0,90,10000,1266147,-1,2871.476,0.882
17,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,2882.722,0.312
18,Z,zigbee_frames,rx,46,9,0,90,10000,1288253,-1,2893.355,0.573
19,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,2904.891,0.271
20,Z,zigbee_frames,rx,46,10,0,90,10000,1310357,-1,2915.475,1.036
21,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,2926.981,0.393
22,Z,zigbee_frames,rx,46,11,0,90,10000,1332460,-1,2937.593,0.591
23,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,2949.126,0.290
24,Z,zigbee_frames,rx,46,12,0,90,10000,1354564,-1,2959.702,0.661
25,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,2971.260,0.304
26,Z,zigbee_frames,rx,46,13,0,90,10000,1376669,-1,2981.823,0.601
27,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,2993.128,0.254
28,Z,zigbee_frames,rx,46,14,0,90,10000,1398771,-1,3003.963,0.669
29,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,3015.292,0.274
30,Z,zigbee_frames,rx,46,15,0,90,10000,1420875,-1,3026.043,0.633
31,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,3037.393,0.286
32,Z,zigbee_frames,rx,46,16,0,90,10000,1442980,-1,3048.203,0.539
33,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,3059.507,0.263
