rx_idx,phy,tap,frame_event,len,step,run,tag,wait_us,ts_us,seq,rx_t_ms,swap_ms
0,Z,zigbee_frames,rx,46,0,0,90,10000,1076449,-1,4637.638,1.872
1,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,4650.147,0.302
2,Z,zigbee_frames,rx,46,1,0,90,10000,1098798,-1,4659.894,1.054
3,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,4672.235,0.266
4,Z,zigbee_frames,rx,46,2,0,90,10000,1121053,-1,4682.255,0.701
5,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,4694.366,0.312
6,Z,zigbee_frames,rx,46,3,0,90,10000,1143233,-1,4704.355,0.710
7,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,4716.439,0.258
8,Z,zigbee_frames,rx,46,4,0,90,10000,1165374,-1,4726.476,1.081
9,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,4738.643,0.477
10,Z,zigbee_frames,rx,46,5,0,90,10000,1187498,-1,4748.624,1.049
11,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,4760.739,0.416
12,Z,zigbee_frames,rx,46,6,0,90,10000,1209610,-1,4770.710,0.648
13,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,4782.821,0.378
14,Z,zigbee_frames,rx,46,7,0,90,10000,1231717,-1,4792.799,0.987
15,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,4804.929,0.382
16,Z,zigbee_frames,rx,46,8,0,90,10000,1253824,-1,4814.917,0.586
17,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,4827.071,0.265
18,Z,zigbee_frames,rx,46,9,0,90,10000,1275929,-1,4837.081,0.540
19,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,4849.153,0.309
20,Z,zigbee_frames,rx,46,10,0,90,10000,1298034,-1,4859.252,0.937
21,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,4871.066,0.236
22,Z,zigbee_frames,rx,46,11,0,90,10000,1320138,-1,4881.340,0.582
23,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,4893.196,0.263
24,Z,zigbee_frames,rx,46,12,0,90,10000,1342241,-1,4903.490,0.671
25,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,4915.356,0.283
26,Z,zigbee_frames,rx,46,13,0,90,10000,1364345,-1,4925.523,0.572
27,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,4937.438,0.292
28,Z,zigbee_frames,rx,46,14,0,90,10000,1386448,-1,4947.631,0.673
29,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,4959.552,0.265
30,Z,zigbee_frames,rx,46,15,0,90,10000,1408552,-1,4969.739,0.557
31,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,4981.709,0.397
32,Z,zigbee_frames,rx,46,16,0,90,10000,1430657,-1,4991.919,0.596
33,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,5003.840,0.272
34,Z,zigbee_frames,rx,46,17,0,90,10000,1452759,-1,5013.786,0.724
35,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,5025.933,0.274
36,Z,zigbee_frames,rx,46,18,0,90,10000,1474863,-1,5035.908,0.587
37,H,wlan_ah_v6_frames,rx,39,-1,-1,-1,-1,-1,369,5048.013,0.268
