first,second,ifs_ms,ifs_after_second_ms,sent_h,rx_h,sent_z,rx_z,per_h,per_z,per,impossible,swaps,swap_median_ms,swap_to_first_median_ms,swap_to_second_median_ms,swap_max_ms,retune_median_ms
wlan_granular.toml,wlan_granular.toml,2,2,200,200,0,0,0.0000,NaN,0.0000,0,200,0.1957,0.1955,0.1962,1.4423,0.0024
wlan_granular.toml,wlan_granular.toml,1.5,1.5,200,200,0,0,0.0000,NaN,0.0000,0,200,0.1914,0.1919,0.1914,0.3525,0.0023
wlan_granular.toml,wlan_granular.toml,1,1,200,199,0,0,0.0050,NaN,0.0050,0,199,0.1883,0.1883,0.1885,1.3415,0.0021
wlan_granular.toml,wlan_granular.toml,0.8,0.8,200,200,0,0,0.0000,NaN,0.0000,0,200,0.1972,0.1980,0.1962,0.4106,0.0025
wlan_granular.toml,wlan_granular.toml,0.6,0.6,200,200,0,0,0.0000,NaN,0.0000,0,200,0.1908,0.1912,0.1907,1.3476,0.0021
wlan_granular.toml,wlan_granular.toml,0.5,0.5,200,199,0,0,0.0050,NaN,0.0050,0,199,0.1982,0.1945,0.2015,1.4241,0.0022
wlan_granular.toml,wlan_granular.toml,0.4,0.4,200,198,0,0,0.0100,NaN,0.0100,0,198,0.1871,0.1891,0.1849,0.3974,0.0019
wlan_granular.toml,wlan_granular.toml,0.35,0.35,200,189,0,0,0.0550,NaN,0.0550,0,189,0.1934,0.1949,0.1934,0.4017,0.0021
wlan_granular.toml,wlan_granular.toml,0.3,0.3,200,184,0,0,0.0800,NaN,0.0800,0,184,0.1900,0.1892,0.1909,0.4002,0.0022
wlan_granular.toml,wlan_granular.toml,0.25,0.25,200,175,0,0,0.1250,NaN,0.1250,0,175,0.1863,0.1863,0.1869,0.3480,0.0020
wlan_granular.toml,wlan_granular.toml,0.2,0.2,200,174,0,0,0.1300,NaN,0.1300,0,174,0.1808,0.1808,0.1797,0.3449,0.0018
wlan_granular.toml,wlan_granular.toml,0.15,0.15,200,140,0,0,0.3000,NaN,0.3000,0,140,0.1840,0.1869,0.1835,0.3850,0.0019
wlan_granular.toml,wlan_granular.toml,0.1,0.1,200,101,0,0,0.4950,NaN,0.4950,0,101,0.1984,0.1971,0.2002,0.3812,0.0025
wlan_granular.toml,wlan_granular.toml,0.05,0.05,200,100,0,0,0.5000,NaN,0.5000,0,100,0.1861,0.1863,0.1861,0.3628,0.0019
wlan_granular.toml,wlan_granular.toml,0,0,200,100,0,0,0.5000,NaN,0.5000,0,100,0.1885,0.1885,0.1892,0.3490,0.0022
