first,second,ifs_ms,ifs_after_second_ms,sent_h,rx_h,sent_z,rx_z,per_h,per_z,per,impossible,swaps,swap_median_ms,swap_to_first_median_ms,swap_to_second_median_ms,swap_max_ms,retune_median_ms,duplicates,lost_late,lost_listening,queued_median,queued_max,posted_by
wlan_granular_viterbi.toml,wlan_granular_hard.toml,0,0,400,400,0,0,0.0000,NaN,0.0000,0,400,0.0434,0.0440,0.0428,0.1548,0.0009,0,0,0,0,0,halow/hard:200 halow/viterbi:200
wlan_granular_viterbi.toml,wlan_granular_hard.toml,0.02,0.02,400,400,0,0,0.0000,NaN,0.0000,0,400,0.0441,0.0452,0.0433,0.0926,0.0009,0,0,0,0,0,halow/hard:200 halow/viterbi:200
wlan_granular_viterbi.toml,wlan_granular_hard.toml,0.04,0.04,400,399,0,0,0.0025,NaN,0.0025,0,399,0.0439,0.0450,0.0427,0.2499,0.0009,0,1,0,0,0,halow/hard:199 halow/viterbi:200
wlan_granular_viterbi.toml,wlan_granular_hard.toml,0.06,0.06,400,400,0,0,0.0000,NaN,0.0000,0,400,0.0453,0.0464,0.0445,0.1036,0.0009,0,0,0,0,256,halow/hard:200 halow/viterbi:200
wlan_granular_viterbi.toml,wlan_granular_hard.toml,0.08,0.08,400,400,0,0,0.0000,NaN,0.0000,0,400,0.0451,0.0460,0.0442,0.0925,0.0010,0,0,0,0,256,halow/hard:200 halow/viterbi:200
wlan_granular_viterbi.toml,wlan_granular_hard.toml,0.1,0.1,400,400,0,0,0.0000,NaN,0.0000,0,400,0.0447,0.0457,0.0436,0.0807,0.0009,0,0,0,0,0,halow/hard:200 halow/viterbi:200
wlan_granular_viterbi.toml,wlan_granular_hard.toml,0.12,0.12,400,400,0,0,0.0000,NaN,0.0000,0,400,0.0450,0.0461,0.0442,0.1535,0.0009,0,0,0,0,0,halow/hard:200 halow/viterbi:200
wlan_granular_viterbi.toml,wlan_granular_hard.toml,0.14,0.14,400,400,0,0,0.0000,NaN,0.0000,0,400,0.0460,0.0464,0.0451,0.0930,0.0010,0,0,0,0,0,halow/hard:200 halow/viterbi:200
wlan_granular_viterbi.toml,wlan_granular_hard.toml,0.16,0.16,400,400,0,0,0.0000,NaN,0.0000,0,400,0.0439,0.0444,0.0435,0.1003,0.0009,0,0,0,0,0,halow/hard:200 halow/viterbi:200
wlan_granular_viterbi.toml,wlan_granular_hard.toml,0.18,0.18,400,400,0,0,0.0000,NaN,0.0000,0,400,0.0439,0.0445,0.0433,0.1159,0.0009,0,0,0,0,0,halow/hard:200 halow/viterbi:200
wlan_granular_viterbi.toml,wlan_granular_hard.toml,0.2,0.2,400,400,0,0,0.0000,NaN,0.0000,0,400,0.0473,0.0479,0.0464,0.1023,0.0010,0,0,0,0,0,halow/hard:200 halow/viterbi:200
wlan_granular_viterbi.toml,wlan_granular_hard.toml,0.22,0.22,400,400,0,0,0.0000,NaN,0.0000,0,400,0.0465,0.0472,0.0458,0.0917,0.0010,0,0,0,0,0,halow/hard:200 halow/viterbi:200
wlan_granular_viterbi.toml,wlan_granular_hard.toml,0.24,0.24,400,400,0,0,0.0000,NaN,0.0000,0,400,0.0468,0.0475,0.0455,0.1150,0.0010,0,0,0,0,0,halow/hard:200 halow/viterbi:200
wlan_granular_viterbi.toml,wlan_granular_hard.toml,0.26,0.26,400,400,0,0,0.0000,NaN,0.0000,0,400,0.0455,0.0462,0.0447,0.0861,0.0010,0,0,0,0,0,halow/hard:200 halow/viterbi:200
wlan_granular_viterbi.toml,wlan_granular_hard.toml,0.28,0.28,400,400,0,0,0.0000,NaN,0.0000,0,400,0.0472,0.0480,0.0456,0.0924,0.0010,0,0,0,0,0,halow/hard:200 halow/viterbi:200
wlan_granular_viterbi.toml,wlan_granular_hard.toml,0.3,0.3,400,400,0,0,0.0000,NaN,0.0000,0,400,0.0462,0.0472,0.0449,0.1027,0.0010,0,0,0,0,0,halow/hard:200 halow/viterbi:200
wlan_granular_viterbi.toml,wlan_granular_hard.toml,0.32,0.32,400,400,0,0,0.0000,NaN,0.0000,0,400,0.0462,0.0469,0.0452,0.0971,0.0010,0,0,0,0,0,halow/hard:200 halow/viterbi:200
wlan_granular_viterbi.toml,wlan_granular_hard.toml,0.34,0.34,400,400,0,0,0.0000,NaN,0.0000,0,400,0.0467,0.0481,0.0455,0.1007,0.0010,0,0,0,0,0,halow/hard:200 halow/viterbi:200
