first,second,ifs_ms,ifs_after_second_ms,sent_h,rx_h,sent_z,rx_z,per_h,per_z,per,impossible,swaps,swap_median_ms,swap_to_first_median_ms,swap_to_second_median_ms,swap_max_ms,retune_median_ms,duplicates,lost_late,lost_listening,queued_median,queued_max
wlan_simple.toml,wlan_simple.toml,0,0,400,200,0,0,0.5000,NaN,0.5000,0,200,0.1473,0.1483,0.1471,0.3399,0.0013,0,200,0,0,0
wlan_simple.toml,wlan_simple.toml,0.02,0.02,400,200,0,0,0.5000,NaN,0.5000,0,200,0.1481,0.1486,0.1474,0.2082,0.0014,0,200,0,0,0
wlan_simple.toml,wlan_simple.toml,0.04,0.04,400,200,0,0,0.5000,NaN,0.5000,0,200,0.1460,0.1456,0.1464,0.2106,0.0013,0,200,0,0,0
wlan_simple.toml,wlan_simple.toml,0.06,0.06,400,200,0,0,0.5000,NaN,0.5000,0,200,0.1443,0.1444,0.1443,0.2101,0.0012,0,200,0,0,0
wlan_simple.toml,wlan_simple.toml,0.08,0.08,400,200,0,0,0.5000,NaN,0.5000,0,200,0.1465,0.1465,0.1464,0.2084,0.0013,0,200,0,0,0
wlan_simple.toml,wlan_simple.toml,0.1,0.1,400,200,0,0,0.5000,NaN,0.5000,0,200,0.1462,0.1458,0.1476,0.1982,0.0013,0,200,0,0,0
wlan_simple.toml,wlan_simple.toml,0.12,0.12,400,211,0,0,0.4725,NaN,0.4725,0,211,0.1548,0.1544,0.1557,0.2405,0.0017,0,189,0,0,0
wlan_simple.toml,wlan_simple.toml,0.14,0.14,400,275,0,0,0.3125,NaN,0.3125,0,275,0.1486,0.1483,0.1487,0.2161,0.0013,0,125,0,0,0
wlan_simple.toml,wlan_simple.toml,0.16,0.16,400,266,0,0,0.3350,NaN,0.3350,0,266,0.1556,0.1557,0.1552,0.2272,0.0015,0,134,0,0,0
wlan_simple.toml,wlan_simple.toml,0.18,0.18,400,352,0,0,0.1200,NaN,0.1200,0,352,0.1499,0.1498,0.1501,0.1909,0.0014,0,48,0,0,0
wlan_simple.toml,wlan_simple.toml,0.2,0.2,400,393,0,0,0.0175,NaN,0.0175,0,393,0.1459,0.1458,0.1461,0.2150,0.0012,0,7,0,0,0
wlan_simple.toml,wlan_simple.toml,0.22,0.22,400,392,0,0,0.0200,NaN,0.0200,0,392,0.1480,0.1480,0.1481,0.2085,0.0012,0,8,0,0,256
wlan_simple.toml,wlan_simple.toml,0.24,0.24,400,399,0,0,0.0025,NaN,0.0025,0,399,0.1492,0.1490,0.1496,0.5256,0.0013,0,1,0,0,0
wlan_simple.toml,wlan_simple.toml,0.26,0.26,400,399,0,0,0.0025,NaN,0.0025,0,399,0.1484,0.1485,0.1484,0.2107,0.0013,0,1,0,0,0
wlan_simple.toml,wlan_simple.toml,0.28,0.28,400,396,0,0,0.0100,NaN,0.0100,0,396,0.1525,0.1520,0.1527,0.5417,0.0014,0,3,1,0,0
wlan_simple.toml,wlan_simple.toml,0.3,0.3,400,400,0,0,0.0000,NaN,0.0000,0,400,0.1495,0.1493,0.1498,0.2099,0.0013,0,0,0,0,0
wlan_simple.toml,wlan_simple.toml,0.32,0.32,400,398,0,0,0.0050,NaN,0.0050,0,398,0.1472,0.1472,0.1473,0.3626,0.0012,0,2,0,0,0
wlan_simple.toml,wlan_simple.toml,0.34,0.34,400,400,0,0,0.0000,NaN,0.0000,0,400,0.1512,0.1514,0.1510,0.2188,0.0014,0,0,0,0,0
wlan_simple.toml,wlan_simple.toml,0.36,0.36,400,400,0,0,0.0000,NaN,0.0000,0,400,0.1493,0.1493,0.1495,0.2377,0.0014,0,0,0,0,0
wlan_simple.toml,wlan_simple.toml,0.38,0.38,400,400,0,0,0.0000,NaN,0.0000,0,400,0.1486,0.1490,0.1483,0.1896,0.0013,0,0,0,0,0
wlan_simple.toml,wlan_simple.toml,0.4,0.4,400,400,0,0,0.0000,NaN,0.0000,0,400,0.1448,0.1446,0.1451,0.2077,0.0012,0,0,0,0,0
wlan_simple.toml,wlan_simple.toml,0.42,0.42,400,400,0,0,0.0000,NaN,0.0000,0,400,0.1491,0.1490,0.1493,0.2094,0.0013,0,0,0,0,0
wlan_simple.toml,wlan_simple.toml,0.44,0.44,400,400,0,0,0.0000,NaN,0.0000,0,400,0.1467,0.1467,0.1468,0.2158,0.0012,0,0,0,0,0
wlan_simple.toml,wlan_simple.toml,0.46,0.46,400,400,0,0,0.0000,NaN,0.0000,0,400,0.1462,0.1463,0.1460,0.2021,0.0012,0,0,0,0,0
wlan_simple.toml,wlan_simple.toml,0.48,0.48,400,400,0,0,0.0000,NaN,0.0000,0,400,0.1657,0.1648,0.1660,0.2325,0.0015,0,0,0,0,0
wlan_simple.toml,wlan_simple.toml,0.5,0.5,400,398,0,0,0.0050,NaN,0.0050,0,399,0.1521,0.1521,0.1521,0.2096,0.0013,1,1,1,0,256
wlan_simple.toml,wlan_simple.toml,0.6,0.6,400,400,0,0,0.0000,NaN,0.0000,0,400,0.1474,0.1478,0.1472,0.1931,0.0012,0,0,0,0,0
wlan_simple.toml,wlan_simple.toml,0.8,0.8,400,400,0,0,0.0000,NaN,0.0000,0,400,0.1477,0.1472,0.1478,0.3522,0.0013,0,0,0,0,0
wlan_simple.toml,wlan_simple.toml,1,1,400,400,0,0,0.0000,NaN,0.0000,0,400,0.1470,0.1470,0.1474,0.3862,0.0012,0,0,0,0,256
