first,second,ifs_ms,ifs_after_second_ms,sent_h,rx_h,sent_z,rx_z,per_h,per_z,per,impossible,swaps,swap_median_ms,swap_to_first_median_ms,swap_to_second_median_ms,swap_max_ms,retune_median_ms,duplicates,lost_late,lost_listening,queued_median,queued_max
zigbee.toml,wlan_simple.toml,0,0,200,100,200,100,0.5000,0.5000,0.5000,0,200,0.1479,0.0464,0.1689,0.3767,0.0018,0,200,0,0,0
zigbee.toml,wlan_simple.toml,0.02,0.02,200,100,200,100,0.5000,0.5000,0.5000,0,200,0.1422,0.0404,0.1554,0.1965,0.0014,0,200,0,0,0
zigbee.toml,wlan_simple.toml,0.04,0.04,200,100,200,100,0.5000,0.5000,0.5000,0,200,0.1372,0.0408,0.1531,0.1965,0.0014,0,200,0,0,0
zigbee.toml,wlan_simple.toml,0.06,0.06,200,100,200,100,0.5000,0.5000,0.5000,0,200,0.1401,0.0388,0.1511,0.2131,0.0013,0,200,0,0,0
zigbee.toml,wlan_simple.toml,0.08,0.08,200,100,200,100,0.5000,0.5000,0.5000,0,200,0.1420,0.0400,0.1533,0.2243,0.0014,0,200,0,0,0
zigbee.toml,wlan_simple.toml,0.1,0.1,200,104,200,105,0.4800,0.4750,0.4775,0,209,0.1430,0.0390,0.1527,0.2026,0.0013,0,191,0,0,0
zigbee.toml,wlan_simple.toml,0.12,0.12,200,131,200,132,0.3450,0.3400,0.3425,0,263,0.1400,0.0381,0.1514,0.1967,0.0013,0,137,0,0,0
zigbee.toml,wlan_simple.toml,0.14,0.14,200,138,200,138,0.3100,0.3100,0.3100,0,276,0.1399,0.0375,0.1501,0.2385,0.0013,0,124,0,0,0
zigbee.toml,wlan_simple.toml,0.16,0.16,200,196,200,196,0.0200,0.0200,0.0200,0,392,0.1413,0.0385,0.1542,0.2037,0.0013,0,8,0,0,0
zigbee.toml,wlan_simple.toml,0.18,0.18,200,198,200,198,0.0100,0.0100,0.0100,0,396,0.1405,0.0370,0.1521,0.2017,0.0012,0,4,0,0,0
zigbee.toml,wlan_simple.toml,0.2,0.2,200,200,200,200,0.0000,0.0000,0.0000,0,400,0.1387,0.0373,0.1505,0.2119,0.0013,0,0,0,0,0
zigbee.toml,wlan_simple.toml,0.22,0.22,200,200,200,200,0.0000,0.0000,0.0000,0,400,0.1400,0.0376,0.1517,0.2082,0.0013,0,0,0,0,0
zigbee.toml,wlan_simple.toml,0.24,0.24,200,199,200,199,0.0050,0.0050,0.0050,0,398,0.1419,0.0409,0.1600,0.2288,0.0015,0,2,0,0,0
zigbee.toml,wlan_simple.toml,0.26,0.26,200,200,200,200,0.0000,0.0000,0.0000,0,400,0.1427,0.0412,0.1596,0.2219,0.0015,0,0,0,0,0
zigbee.toml,wlan_simple.toml,0.28,0.28,200,200,200,200,0.0000,0.0000,0.0000,0,400,0.1407,0.0406,0.1565,0.1928,0.0014,0,0,0,0,256
zigbee.toml,wlan_simple.toml,0.3,0.3,200,200,200,200,0.0000,0.0000,0.0000,0,400,0.1405,0.0376,0.1514,0.2119,0.0013,0,0,0,0,0
zigbee.toml,wlan_simple.toml,0.32,0.32,200,200,200,200,0.0000,0.0000,0.0000,0,400,0.1393,0.0368,0.1493,0.2106,0.0013,0,0,0,0,0
zigbee.toml,wlan_simple.toml,0.34,0.34,200,200,200,200,0.0000,0.0000,0.0000,0,400,0.1429,0.0409,0.1559,0.1933,0.0014,0,0,0,0,0
zigbee.toml,wlan_simple.toml,0.36,0.36,200,200,200,200,0.0000,0.0000,0.0000,0,400,0.1386,0.0383,0.1533,0.2315,0.0013,0,0,0,0,0
zigbee.toml,wlan_simple.toml,0.38,0.38,200,200,200,200,0.0000,0.0000,0.0000,0,400,0.1435,0.0423,0.1617,0.2368,0.0016,0,0,0,0,0
zigbee.toml,wlan_simple.toml,0.4,0.4,200,200,200,200,0.0000,0.0000,0.0000,0,400,0.1393,0.0390,0.1515,0.2255,0.0014,0,0,0,0,0
zigbee.toml,wlan_simple.toml,0.42,0.42,200,200,200,200,0.0000,0.0000,0.0000,0,400,0.1345,0.0425,0.1595,0.2050,0.0016,0,0,0,0,0
zigbee.toml,wlan_simple.toml,0.44,0.44,200,200,200,200,0.0000,0.0000,0.0000,0,400,0.1379,0.0396,0.1536,0.1994,0.0014,0,0,0,0,0
zigbee.toml,wlan_simple.toml,0.46,0.46,200,200,200,200,0.0000,0.0000,0.0000,0,400,0.1373,0.0390,0.1494,0.2430,0.0014,0,0,0,0,0
zigbee.toml,wlan_simple.toml,0.48,0.48,200,200,200,200,0.0000,0.0000,0.0000,0,400,0.1412,0.0399,0.1567,0.2049,0.0014,0,0,0,0,0
zigbee.toml,wlan_simple.toml,0.5,0.5,200,200,200,200,0.0000,0.0000,0.0000,0,400,0.1383,0.0404,0.1544,0.2537,0.0015,0,0,0,0,0
zigbee.toml,wlan_simple.toml,0.6,0.6,200,200,200,200,0.0000,0.0000,0.0000,0,400,0.1410,0.0401,0.1542,0.2106,0.0014,0,0,0,0,0
zigbee.toml,wlan_simple.toml,0.8,0.8,200,200,200,200,0.0000,0.0000,0.0000,0,400,0.1349,0.0375,0.1486,0.3021,0.0013,0,0,0,0,0
zigbee.toml,wlan_simple.toml,1,1,200,200,200,200,0.0000,0.0000,0.0000,0,400,0.1389,0.0404,0.1568,0.2245,0.0014,0,0,0,0,0
