first,second,ifs_ms,ifs_after_second_ms,sent_h,rx_h,sent_z,rx_z,per_h,per_z,per,impossible,swaps,swap_median_ms,swap_to_first_median_ms,swap_to_second_median_ms,swap_max_ms,retune_median_ms
zigbee.toml,zigbee.toml,0,0,0,0,400,390,NaN,0.0250,0.0250,0,390,0.0408,0.0397,0.0416,0.2588,0.0017
zigbee.toml,zigbee.toml,0.02,0.02,0,0,400,384,NaN,0.0400,0.0400,0,384,0.0453,0.0457,0.0451,0.1007,0.0021
zigbee.toml,zigbee.toml,0.04,0.04,0,0,400,386,NaN,0.0350,0.0350,0,386,0.0426,0.0430,0.0422,0.0989,0.0019
zigbee.toml,zigbee.toml,0.06,0.06,0,0,400,395,NaN,0.0125,0.0125,0,395,0.0410,0.0406,0.0415,0.1062,0.0017
zigbee.toml,zigbee.toml,0.08,0.08,0,0,400,394,NaN,0.0150,0.0150,0,394,0.0417,0.0411,0.0422,0.1019,0.0017
zigbee.toml,zigbee.toml,0.1,0.1,0,0,400,390,NaN,0.0250,0.0250,0,390,0.0413,0.0411,0.0414,0.0973,0.0016
zigbee.toml,zigbee.toml,0.12,0.12,0,0,400,387,NaN,0.0325,0.0325,0,387,0.0429,0.0438,0.0420,0.0995,0.0020
zigbee.toml,zigbee.toml,0.14,0.14,0,0,400,397,NaN,0.0075,0.0075,0,397,0.0423,0.0424,0.0420,0.0962,0.0018
zigbee.toml,zigbee.toml,0.16,0.16,0,0,400,391,NaN,0.0225,0.0225,0,391,0.0412,0.0418,0.0410,0.1849,0.0017
zigbee.toml,zigbee.toml,0.18,0.18,0,0,400,397,NaN,0.0075,0.0075,0,397,0.0403,0.0405,0.0402,0.0842,0.0016
zigbee.toml,zigbee.toml,0.2,0.2,0,0,400,398,NaN,0.0050,0.0050,0,398,0.0396,0.0399,0.0394,0.1052,0.0016
zigbee.toml,zigbee.toml,0.22,0.22,0,0,400,395,NaN,0.0125,0.0125,0,395,0.0408,0.0406,0.0411,0.1340,0.0017
zigbee.toml,zigbee.toml,0.24,0.24,0,0,400,397,NaN,0.0075,0.0075,0,397,0.0403,0.0397,0.0409,0.1131,0.0017
zigbee.toml,zigbee.toml,0.26,0.26,0,0,400,400,NaN,0.0000,0.0000,0,400,0.0419,0.0423,0.0418,0.1131,0.0019
zigbee.toml,zigbee.toml,0.28,0.28,0,0,400,395,NaN,0.0125,0.0125,0,395,0.0417,0.0419,0.0412,0.2419,0.0018
zigbee.toml,zigbee.toml,0.3,0.3,0,0,400,396,NaN,0.0100,0.0100,0,396,0.0415,0.0411,0.0416,0.1686,0.0017
zigbee.toml,zigbee.toml,0.32,0.32,0,0,400,399,NaN,0.0025,0.0025,0,399,0.0416,0.0422,0.0410,0.1027,0.0017
zigbee.toml,zigbee.toml,0.34,0.34,0,0,400,397,NaN,0.0075,0.0075,0,397,0.0423,0.0423,0.0424,0.1376,0.0019
zigbee.toml,zigbee.toml,0.36,0.36,0,0,400,398,NaN,0.0050,0.0050,0,398,0.0408,0.0408,0.0405,0.4563,0.0017
zigbee.toml,zigbee.toml,0.38,0.38,0,0,400,399,NaN,0.0025,0.0025,0,399,0.0407,0.0407,0.0410,0.1116,0.0018
zigbee.toml,zigbee.toml,0.4,0.4,0,0,400,399,NaN,0.0025,0.0025,0,399,0.0404,0.0408,0.0400,0.0911,0.0018
zigbee.toml,zigbee.toml,0.42,0.42,0,0,400,398,NaN,0.0050,0.0050,0,398,0.0427,0.0437,0.0422,0.0959,0.0018
zigbee.toml,zigbee.toml,0.44,0.44,0,0,400,400,NaN,0.0000,0.0000,0,400,0.0415,0.0415,0.0414,0.2417,0.0019
zigbee.toml,zigbee.toml,0.46,0.46,0,0,400,399,NaN,0.0025,0.0025,0,399,0.0420,0.0424,0.0413,0.1145,0.0017
zigbee.toml,zigbee.toml,0.48,0.48,0,0,400,400,NaN,0.0000,0.0000,0,400,0.0420,0.0423,0.0413,0.1005,0.0019
zigbee.toml,zigbee.toml,0.5,0.5,0,0,400,400,NaN,0.0000,0.0000,0,400,0.0434,0.0425,0.0441,0.0955,0.0020
zigbee.toml,zigbee.toml,0.6,0.6,0,0,400,399,NaN,0.0025,0.0025,0,399,0.0410,0.0410,0.0410,0.2438,0.0018
zigbee.toml,zigbee.toml,0.8,0.8,0,0,400,398,NaN,0.0050,0.0050,0,398,0.0434,0.0445,0.0428,1.3856,0.0020
zigbee.toml,zigbee.toml,1,1,0,0,400,400,NaN,0.0000,0.0000,0,400,0.0454,0.0455,0.0452,0.0987,0.0021
