rx_idx,phy_active,frame_event,seq,frag,len,rx_t_ms,swap_ms
0,A,rx,0,0,30,3680.756,3.399
1,B,rx,1,0,30,3684.217,1.999
2,A,rx,4,0,30,3687.808,1.752
3,B,rx,7,0,30,3692.956,1.806
4,A,rx,10,0,30,3698.476,2.256
5,B,rx,13,0,30,3703.476,1.737
6,A,rx,15,0,30,3707.085,2.330
7,B,rx,17,0,30,3711.120,2.528
8,A,rx,20,0,30,3715.810,1.514
9,B,rx,22,0,30,3719.644,2.161
10,A,rx,24,0,30,3723.629,1.890
11,B,rx,27,0,30,3728.642,1.668
12,A,rx,30,0,30,3733.723,2.294
13,B,rx,32,0,30,3737.495,2.296
14,A,rx,35,0,30,3742.154,2.239
15,B,rx,38,0,30,3747.808,1.666
16,A,rx,41,0,30,3753.494,1.944
17,B,rx,43,0,30,3756.452,1.588
18,A,rx,45,0,30,3760.103,1.676
19,B,rx,47,0,30,3763.522,1.647
20,A,rx,49,0,30,3768.125,1.771
21,B,rx,51,0,30,3771.929,1.982
22,A,rx,54,0,30,3776.789,1.947
23,B,rx,56,0,30,3780.488,2.277
24,A,rx,59,0,30,3785.450,1.951
25,B,rx,61,0,30,3789.033,1.640
26,A,rx,63,0,30,3792.711,2.328
27,B,rx,64,0,30,3796.002,1.976
28,A,rx,65,0,30,3798.064,2.699
29,B,rx,69,0,30,3803.132,1.682
30,A,rx,71,0,30,3806.928,1.993
31,B,rx,73,0,30,3810.397,1.509
32,A,rx,75,0,30,3814.918,1.946
33,B,rx,78,0,30,3819.994,2.423
34,A,rx,80,0,30,3824.115,1.895
35,B,rx,83,0,30,3829.233,2.314
36,A,rx,85,0,30,3832.869,2.251
37,B,rx,88,0,30,3837.627,2.182
38,A,rx,91,0,30,3843.403,2.135
39,B,rx,94,0,30,3848.427,1.670
40,A,rx,97,0,30,3853.552,1.974
41,B,rx,99,0,30,3857.190,1.863
42,A,rx,101,0,30,3860.783,2.307
43,B,rx,104,0,30,3865.648,2.243
44,A,rx,106,0,30,3869.439,1.722
45,B,rx,108,0,30,3872.728,1.491
46,A,rx,110,0,30,3876.292,2.071
47,B,rx,112,0,30,3879.446,2.221
48,A,rx,115,0,30,3885.080,2.085
49,B,rx,118,0,30,3890.128,1.766
50,A,rx,120,0,30,3893.652,2.078
51,B,rx,122,0,30,3898.331,1.610
52,A,rx,124,0,30,3901.524,2.159
53,B,rx,126,0,30,3905.417,2.136
54,A,rx,129,0,30,3910.269,1.723
55,B,rx,131,0,30,3913.958,2.147
56,A,rx,134,0,30,3919.277,1.664
57,B,rx,136,0,30,3923.041,1.590
58,A,rx,138,0,30,3926.212,2.112
59,B,rx,141,0,30,3931.627,1.736
60,A,rx,144,0,30,3936.919,1.615
61,B,rx,146,0,30,3940.387,1.753
62,A,rx,148,0,30,3943.898,1.778
63,B,rx,151,0,30,3949.002,1.618
64,A,rx,153,0,30,3952.561,1.555
65,B,rx,155,0,30,3956.208,2.086
66,A,rx,158,0,30,3961.180,1.886
67,B,rx,160,0,30,3964.754,1.608
68,A,rx,162,0,30,3968.290,1.548
69,B,rx,164,0,30,3971.631,1.480
70,A,rx,166,0,30,3974.824,1.879
71,B,rx,168,0,30,3978.970,1.995
72,A,rx,170,0,30,3982.089,2.158
73,B,rx,173,0,30,3987.747,2.318
74,A,rx,174,0,30,3991.345,1.625
