rx_idx,phy_active,frame_event,step,run,tag,wait_ms,ts_us,rx_t_ms,swap_ms
0,Z,timeout,-1,-1,?,-1,-1,800.025,126.128
1,H,rx,-1,-1,?,-1,-1,973.002,124.723
2,Z,timeout,-1,-1,?,-1,-1,1897.777,124.387
3,H,rx,-1,-1,?,-1,-1,2155.641,124.546
4,Z,timeout,-1,-1,?,-1,-1,3080.230,124.825
5,H,rx,-1,-1,?,-1,-1,3339.875,124.644
6,Z,timeout,-1,-1,?,-1,-1,4264.560,124.819
7,H,rx,-1,-1,?,-1,-1,4522.268,124.729
8,Z,timeout,-1,-1,?,-1,-1,5447.045,124.569
9,H,rx,-1,-1,?,-1,-1,5704.693,124.676
10,Z,timeout,-1,-1,?,-1,-1,6629.416,124.571
11,H,rx,-1,-1,?,-1,-1,6887.756,124.838
