rx_idx,phy,tap,frame_event,len,step,run,tag,wait_us,ts_us,seq,rx_t_ms,swap_ms
0,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,298.423,1.462
1,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,302.179,1.200
2,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,305.983,1.321
3,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,309.845,1.394
4,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,313.712,1.391
5,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,317.618,1.368
6,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,321.441,2.449
7,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,325.299,1.404
8,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,329.157,1.357
9,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,333.108,2.381
10,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,336.903,1.309
11,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,340.776,1.218
12,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,344.668,1.363
13,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,348.447,1.425
14,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,352.344,1.794
15,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,356.179,1.149
16,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,360.028,1.131
17,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,361.994,1.133
18,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,365.775,1.104
19,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,367.763,1.323
20,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,371.673,2.061
21,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,375.459,1.304
22,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,379.372,1.524
23,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,383.175,2.271
24,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,387.176,1.129
25,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,390.929,1.109
26,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,392.935,1.157
27,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,396.740,1.097
28,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,400.579,1.340
29,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,404.438,1.337
30,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,408.318,1.244
31,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,412.165,1.137
32,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,414.154,1.261
33,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,417.930,1.160
34,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,419.986,1.994
35,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,423.717,1.338
36,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,427.833,1.140
37,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,431.437,1.988
38,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,435.434,1.261
39,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,439.188,1.395
40,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,443.064,1.201
41,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,446.884,1.396
42,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,450.739,1.183
43,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,454.666,1.314
44,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,458.460,1.999
45,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,462.402,1.463
46,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,466.213,1.201
47,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,470.063,1.104
48,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,472.006,1.185
49,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,475.886,1.223
50,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,479.661,1.105
51,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,481.634,1.641
52,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,485.478,1.137
53,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,487.704,1.103
54,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,491.293,2.255
55,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,495.134,1.168
56,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,499.037,1.183
57,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,502.893,1.199
58,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,506.722,1.464
59,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,510.588,1.339
60,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,514.421,2.081
61,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,518.293,1.091
62,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,520.278,1.074
63,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,522.137,1.215
64,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,526.054,1.112
65,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,527.971,1.524
66,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,531.781,1.153
67,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,533.776,1.075
68,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,535.676,1.100
69,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,537.592,1.507
70,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,541.497,1.157
71,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,545.312,1.170
72,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,549.219,2.052
73,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,553.103,2.060
74,H,wlan_ah_v6_frames,rx,30,-1,-1,-1,-1,-1,158,556.881,1.153
