ifs_ms,sent_H,rx_H,per_H_pct,sent_Z,rx_Z,per_Z_pct,swaps,avg_swap_ms,overruns,wall_s
4.0,500,500,0.0,500,500,0.0,1000,0.4838,0,7.38
3.9,500,500,0.0,500,500,0.0,1000,0.4838,0,7.28
3.8,500,500,0.0,500,500,0.0,1000,0.4787,0,7.18
3.7,500,500,0.0,500,500,0.0,1000,0.5212,0,7.08
3.6,500,500,0.0,500,500,0.0,1000,0.5012,0,6.98
3.5,500,500,0.0,500,500,0.0,1000,0.5122,0,6.88
3.4,500,499,0.2,500,499,0.2,998,0.5166,0,6.78
3.3,500,500,0.0,500,500,0.0,1000,0.5179,0,6.68
3.2,500,500,0.0,500,500,0.0,1000,0.5243,0,6.58
3.1,500,500,0.0,500,500,0.0,1000,0.5175,0,6.48
3.0,500,500,0.0,500,500,0.0,1000,0.5503,0,6.38
2.9,500,500,0.0,500,500,0.0,1000,0.5568,0,6.28
2.8,500,500,0.0,500,500,0.0,1000,0.5777,0,6.18
2.7,500,500,0.0,500,500,0.0,1000,0.5175,0,6.08
2.6,500,500,0.0,500,500,0.0,1000,0.5294,0,5.98
2.5,500,500,0.0,500,500,0.0,1000,0.5223,0,5.88
2.4,500,500,0.0,500,500,0.0,1000,0.495,0,5.78
2.3,500,500,0.0,500,500,0.0,1000,0.5439,0,5.68
2.2,500,500,0.0,500,500,0.0,1000,0.5264,0,5.58
2.1,500,499,0.2,500,499,0.2,998,0.5124,0,5.48
2.0,500,500,0.0,500,500,0.0,1000,0.5122,0,5.38
1.9,500,500,0.0,500,500,0.0,1000,0.5471,0,5.28
1.8,500,499,0.2,500,499,0.2,998,0.4963,0,5.18
1.7,500,499,0.2,500,499,0.2,998,0.5069,0,5.08
1.6,500,500,0.0,500,500,0.0,1000,0.5225,0,4.98
1.5,500,499,0.2,500,499,0.2,998,0.5959,0,4.88
1.4,500,500,0.0,500,500,0.0,1000,0.5431,0,4.78
1.3,500,498,0.4,500,498,0.4,996,0.5323,0,4.68
1.2,500,497,0.6,500,497,0.6,994,0.5112,0,4.58
1.1,500,500,0.0,500,500,0.0,1000,0.5178,0,4.48
1.0,500,500,0.0,500,500,0.0,1000,0.4995,0,4.38
0.9,500,498,0.4,500,498,0.4,996,0.5218,0,4.28
0.8,500,500,0.0,500,500,0.0,1000,0.5097,0,4.18
0.7,500,500,0.0,500,500,0.0,1000,0.504,0,4.08
0.6,500,496,0.8,500,496,0.8,992,0.5057,0,3.98
0.5,500,498,0.4,500,498,0.4,996,0.5044,0,3.88
0.4,500,499,0.2,500,499,0.2,998,0.5012,0,3.78
0.3,500,497,0.6,500,497,0.6,994,0.4996,0,3.68
0.2,500,462,7.6,500,462,7.6,924,0.481,0,3.58
0.1,500,363,27.4,500,363,27.4,726,0.4917,0,3.48
0.0,500,292,41.6,500,291,41.8,583,0.4827,0,3.38
