ifs_ms,sent_H,rx_H,per_H_pct,sent_Z,rx_Z,per_Z_pct,swaps,avg_swap_ms,overruns,wall_s
4.0,1000,1000,0.0,0,0,nan,1000,0.6706,0,7.04
3.9,1000,1000,0.0,0,0,nan,1000,0.675,0,6.94
3.8,1000,1000,0.0,0,0,nan,1000,0.6967,0,6.84
3.7,1000,1000,0.0,0,0,nan,1000,0.7436,0,6.74
3.6,1000,1000,0.0,0,0,nan,1000,0.7303,0,6.64
3.5,1000,1000,0.0,0,0,nan,1000,0.7427,0,6.54
3.4,1000,1000,0.0,0,0,nan,1000,0.7413,0,6.44
3.3,1000,1000,0.0,0,0,nan,1000,0.7279,0,6.34
3.2,1000,1000,0.0,0,0,nan,1000,0.7394,0,6.24
3.1,1000,1000,0.0,0,0,nan,1000,0.728,0,6.14
3.0,1000,1000,0.0,0,0,nan,1000,0.7315,0,6.04
2.9,1000,1000,0.0,0,0,nan,1000,0.7178,0,5.94
2.8,1000,1000,0.0,0,0,nan,1000,0.7279,0,5.84
2.7,1000,1000,0.0,0,0,nan,1000,0.7353,0,5.74
2.6,1000,1000,0.0,0,0,nan,1000,0.7242,0,5.64
2.5,1000,1000,0.0,0,0,nan,1000,0.7127,0,5.54
2.4,1000,1000,0.0,0,0,nan,1000,0.7166,0,5.44
2.3,1000,1000,0.0,0,0,nan,1000,0.7073,0,5.34
2.2,1000,1000,0.0,0,0,nan,1000,0.7027,0,5.24
2.1,1000,1000,0.0,0,0,nan,1000,0.7048,0,5.14
2.0,1000,1000,0.0,0,0,nan,1000,0.6932,0,5.04
1.9,1000,1000,0.0,0,0,nan,1000,0.6969,0,4.94
1.8,1000,1000,0.0,0,0,nan,1000,0.696,0,4.84
1.7,1000,1000,0.0,0,0,nan,1000,0.6836,0,4.74
1.6,1000,1000,0.0,0,0,nan,1000,0.6786,0,4.64
1.5,1000,1000,0.0,0,0,nan,1000,0.6899,0,4.54
1.4,1000,999,0.1,0,0,nan,999,0.6712,0,4.44
1.3,1000,999,0.1,0,0,nan,999,0.6623,0,4.34
1.2,1000,999,0.1,0,0,nan,999,0.6714,0,4.24
1.1,1000,1000,0.0,0,0,nan,1000,0.649,0,4.14
1.0,1000,1000,0.0,0,0,nan,1000,0.6505,0,4.04
0.9,1000,1000,0.0,0,0,nan,1000,0.6528,0,3.94
0.8,1000,999,0.1,0,0,nan,999,0.652,0,3.84
0.7,1000,1000,0.0,0,0,nan,1000,0.6501,0,3.74
0.6,1000,999,0.1,0,0,nan,999,0.6516,0,3.64
0.5,1000,997,0.3,0,0,nan,997,0.6441,0,3.54
0.4,1000,991,0.9,0,0,nan,991,0.6491,0,3.44
0.3,1000,883,11.7,0,0,nan,883,0.6544,0,3.34
0.2,1000,781,21.9,0,0,nan,781,0.6748,0,3.24
0.1,1000,592,40.8,0,0,nan,592,0.6608,0,3.14
0.0,1000,501,49.9,0,0,nan,501,0.6602,0,3.04
