ifs_ms,sent_H,rx_H,per_H_pct,sent_Z,rx_Z,per_Z_pct,swaps,avg_swap_ms,overruns,wall_s
4.0,0,0,nan,1000,1000,0.0,1000,0.2398,0,7.72
3.9,0,0,nan,1000,1000,0.0,1000,0.2405,0,7.62
3.8,0,0,nan,1000,1000,0.0,1000,0.2341,0,7.52
3.7,0,0,nan,1000,1000,0.0,1000,0.2384,0,7.42
3.6,0,0,nan,1000,1000,0.0,1000,0.2388,0,7.32
3.5,0,0,nan,1000,1000,0.0,1000,0.2425,0,7.22
3.4,0,0,nan,1000,1000,0.0,1000,0.2382,0,7.11
3.3,0,0,nan,1000,1000,0.0,1000,0.2379,0,7.02
3.2,0,0,nan,1000,1000,0.0,1000,0.2434,0,6.92
3.1,0,0,nan,1000,1000,0.0,1000,0.2396,0,6.82
3.0,0,0,nan,1000,1000,0.0,1000,0.2414,0,6.72
2.9,0,0,nan,1000,1000,0.0,1000,0.2424,0,6.62
2.8,0,0,nan,1000,1000,0.0,1000,0.2579,0,6.52
2.7,0,0,nan,1000,1000,0.0,1000,0.2525,0,6.42
2.6,0,0,nan,1000,1000,0.0,1000,0.2604,0,6.32
2.5,0,0,nan,1000,1000,0.0,1000,0.2558,0,6.22
2.4,0,0,nan,1000,1000,0.0,1000,0.2476,0,6.12
2.3,0,0,nan,1000,1000,0.0,1000,0.2506,0,6.02
2.2,0,0,nan,1000,1000,0.0,1000,0.2533,0,5.92
2.1,0,0,nan,1000,1000,0.0,1000,0.2573,0,5.82
2.0,0,0,nan,1000,1000,0.0,1000,0.2537,0,5.72
1.9,0,0,nan,1000,1000,0.0,1000,0.2558,0,5.62
1.8,0,0,nan,1000,1000,0.0,1000,0.2518,0,5.52
1.7,0,0,nan,1000,1000,0.0,1000,0.2503,0,5.42
1.6,0,0,nan,1000,1000,0.0,1000,0.2501,0,5.32
1.5,0,0,nan,1000,1000,0.0,1000,0.2515,0,5.22
1.4,0,0,nan,1000,1000,0.0,1000,0.244,0,5.12
1.3,0,0,nan,1000,1000,0.0,1000,0.2485,0,5.02
1.2,0,0,nan,1000,1000,0.0,1000,0.2436,0,4.92
1.1,0,0,nan,1000,1000,0.0,1000,0.2447,0,4.82
1.0,0,0,nan,1000,1000,0.0,1000,0.2425,0,4.72
0.9,0,0,nan,1000,1000,0.0,1000,0.2622,0,4.62
0.8,0,0,nan,1000,1000,0.0,1000,0.2476,0,4.52
0.7,0,0,nan,1000,1000,0.0,1000,0.2616,0,4.42
0.6,0,0,nan,1000,1000,0.0,1000,0.2409,0,4.32
0.5,0,0,nan,1000,1000,0.0,1000,0.234,0,4.22
0.4,0,0,nan,1000,1000,0.0,1000,0.2327,0,4.12
0.3,0,0,nan,1000,1000,0.0,1000,0.2335,0,4.02
0.2,0,0,nan,1000,999,0.1,999,0.2283,0,3.92
0.1,0,0,nan,1000,994,0.6,994,0.2288,0,3.82
0.0,0,0,nan,1000,999,0.1,999,0.2234,0,3.72
