ifs_ms,sent_H,rx_H,per_H_pct,sent_Z,rx_Z,per_Z_pct,swaps,avg_swap_ms,overruns,wall_s
1.2,500,500,0.0,500,500,0.0,1000,0.4795,0,4.58
1.18,500,500,0.0,500,500,0.0,1000,0.4746,0,4.56
1.16,500,500,0.0,500,500,0.0,1000,0.4842,0,4.54
1.14,500,500,0.0,500,500,0.0,1000,0.4716,0,4.52
1.12,500,500,0.0,500,500,0.0,1000,0.4824,0,4.5
1.1,500,500,0.0,500,500,0.0,1000,0.4814,0,4.48
1.08,500,500,0.0,500,500,0.0,1000,0.4817,0,4.46
1.06,500,500,0.0,500,500,0.0,1000,0.4753,0,4.44
1.04,500,500,0.0,500,500,0.0,1000,0.4825,0,4.42
1.02,500,500,0.0,500,500,0.0,1000,0.4719,0,4.4
1.0,500,500,0.0,500,500,0.0,1000,0.4728,0,4.38
0.98,500,499,0.2,500,499,0.2,998,0.4821,0,4.36
0.96,500,499,0.2,500,499,0.2,998,0.4783,0,4.34
0.94,500,500,0.0,500,500,0.0,1000,0.4801,0,4.32
0.92,500,500,0.0,500,500,0.0,1000,0.4816,0,4.3
0.9,500,499,0.2,500,499,0.2,998,0.485,0,4.28
0.88,500,500,0.0,500,500,0.0,1000,0.4818,0,4.26
0.86,500,500,0.0,500,500,0.0,1000,0.4697,0,4.24
0.84,500,499,0.2,500,499,0.2,998,0.4707,0,4.22
0.82,500,500,0.0,500,500,0.0,1000,0.4855,0,4.2
0.8,500,500,0.0,500,500,0.0,1000,0.4749,0,4.18
0.78,500,498,0.4,500,498,0.4,996,0.4828,0,4.16
0.76,500,500,0.0,500,500,0.0,1000,0.4796,0,4.14
0.74,500,500,0.0,500,500,0.0,1000,0.4785,0,4.12
0.72,500,500,0.0,500,500,0.0,1000,0.4752,0,4.1
0.7,500,499,0.2,500,499,0.2,998,0.4759,0,4.08
0.68,500,500,0.0,500,500,0.0,1000,0.4731,0,4.06
0.66,500,498,0.4,500,498,0.4,996,0.472,0,4.04
0.64,500,498,0.4,500,498,0.4,996,0.4816,0,4.02
0.62,500,499,0.2,500,499,0.2,998,0.4691,0,4.0
0.6,500,500,0.0,500,500,0.0,1000,0.4646,0,3.98
0.58,500,499,0.2,500,499,0.2,998,0.4841,0,3.96
0.56,500,499,0.2,500,499,0.2,998,0.4738,0,3.94
0.54,500,498,0.4,500,498,0.4,996,0.4842,0,3.92
0.52,500,494,1.2,500,494,1.2,988,0.5172,0,3.9
0.5,500,499,0.2,500,499,0.2,998,0.4827,0,3.88
0.48,500,497,0.6,500,497,0.6,994,0.4689,0,3.86
0.46,500,499,0.2,500,499,0.2,998,0.4723,0,3.84
0.44,500,499,0.2,500,499,0.2,998,0.4753,0,3.82
0.42,500,500,0.0,500,500,0.0,1000,0.4775,0,3.8
0.4,500,500,0.0,500,500,0.0,1000,0.4641,0,3.78
0.38,500,500,0.0,500,500,0.0,1000,0.4754,0,3.76
0.36,500,500,0.0,500,500,0.0,1000,0.4879,0,3.74
0.34,500,496,0.8,500,496,0.8,992,0.481,0,3.72
0.32,500,495,1.0,500,495,1.0,990,0.4666,0,3.7
0.3,500,498,0.4,500,498,0.4,996,0.4645,0,3.68
0.28,500,498,0.4,500,498,0.4,996,0.4665,0,3.66
0.26,500,494,1.2,500,494,1.2,988,0.4678,0,3.64
0.24,500,493,1.4,500,493,1.4,986,0.4648,0,3.62
0.22,500,490,2.0,500,490,2.0,980,0.4768,0,3.6
0.2,500,474,5.2,500,474,5.2,948,0.4694,0,3.58
0.18,500,456,8.8,500,456,8.8,912,0.4795,0,3.56
0.16,500,432,13.6,500,432,13.6,864,0.4837,0,3.54
0.14,500,410,18.0,500,410,18.0,820,0.4791,0,3.52
0.12,500,402,19.6,500,402,19.6,804,0.4697,0,3.5
0.1,500,391,21.8,500,390,22.0,781,0.4691,0,3.48
0.08,500,389,22.2,500,389,22.2,778,0.466,0,3.46
0.06,500,363,27.4,500,362,27.6,725,0.4786,0,3.44
0.04,500,353,29.4,500,353,29.4,706,0.4663,0,3.42
0.02,500,316,36.8,500,316,36.8,632,0.4955,0,3.4
0.0,500,282,43.6,500,282,43.6,564,0.4824,0,3.38
