ifs_ms,sent_H,rx_H,per_H_pct,sent_Z,rx_Z,per_Z_pct,swaps,avg_swap_ms,overruns,wall_s
1.2,1000,999,0.1,0,0,nan,999,0.6765,0,4.24
1.18,1000,999,0.1,0,0,nan,999,0.6896,0,4.22
1.16,1000,1000,0.0,0,0,nan,1000,0.6785,0,4.2
1.14,1000,1000,0.0,0,0,nan,1000,0.6866,0,4.18
1.12,1000,998,0.2,0,0,nan,998,0.6871,0,4.16
1.1,1000,1000,0.0,0,0,nan,1000,0.6931,0,4.14
1.08,1000,999,0.1,0,0,nan,999,0.7161,0,4.12
1.06,1000,1000,0.0,0,0,nan,1000,0.6961,0,4.1
1.04,1000,1000,0.0,0,0,nan,1000,0.6765,0,4.08
1.02,1000,999,0.1,0,0,nan,999,0.6946,0,4.06
1.0,1000,999,0.1,0,0,nan,999,0.677,0,4.04
0.98,1000,1000,0.0,0,0,nan,1000,0.6742,0,4.02
0.96,1000,998,0.2,0,0,nan,998,0.6774,0,4.0
0.94,1000,1000,0.0,0,0,nan,1000,0.6885,0,3.98
0.92,1000,999,0.1,0,0,nan,999,0.6985,0,3.96
0.9,1000,999,0.1,0,0,nan,999,0.6843,0,3.94
0.88,1000,1000,0.0,0,0,nan,1000,0.6784,0,3.92
0.86,1000,1000,0.0,0,0,nan,1000,0.6719,0,3.9
0.84,1000,999,0.1,0,0,nan,999,0.6752,0,3.88
0.82,1000,998,0.2,0,0,nan,998,0.6817,0,3.86
0.8,1000,1000,0.0,0,0,nan,1000,0.6914,0,3.84
0.78,1000,997,0.3,0,0,nan,997,0.6878,0,3.82
0.76,1000,999,0.1,0,0,nan,999,0.6756,0,3.8
0.74,1000,1000,0.0,0,0,nan,1000,0.6755,0,3.78
0.72,1000,997,0.3,0,0,nan,997,0.6732,0,3.76
0.7,1000,999,0.1,0,0,nan,999,0.6782,0,3.74
0.68,1000,997,0.3,0,0,nan,997,0.6737,0,3.72
0.66,1000,997,0.3,0,0,nan,997,0.678,0,3.7
0.64,1000,995,0.5,0,0,nan,995,0.6713,0,3.68
0.62,1000,999,0.1,0,0,nan,999,0.6698,0,3.66
0.6,1000,999,0.1,0,0,nan,999,0.675,0,3.64
0.58,1000,998,0.2,0,0,nan,998,0.6752,0,3.62
0.56,1000,995,0.5,0,0,nan,995,0.6739,0,3.6
0.54,1000,997,0.3,0,0,nan,997,0.6697,0,3.58
0.52,1000,994,0.6,0,0,nan,994,0.6715,0,3.56
0.5,1000,997,0.3,0,0,nan,997,0.6712,0,3.54
0.48,1000,994,0.6,0,0,nan,994,0.6893,0,3.52
0.46,1000,989,1.1,0,0,nan,989,0.6855,0,3.5
0.44,1000,985,1.5,0,0,nan,985,0.6723,0,3.48
0.42,1000,989,1.1,0,0,nan,989,0.6615,0,3.46
0.4,1000,978,2.2,0,0,nan,978,0.6661,0,3.44
0.38,1000,964,3.6,0,0,nan,964,0.6659,0,3.42
0.36,1000,943,5.7,0,0,nan,943,0.6753,0,3.4
0.34,1000,913,8.7,0,0,nan,913,0.6713,0,3.38
0.32,1000,862,13.8,0,0,nan,862,0.6856,0,3.36
0.3,1000,863,13.7,0,0,nan,863,0.6707,0,3.34
0.28,1000,831,16.9,0,0,nan,831,0.68,0,3.32
0.26,1000,829,17.1,0,0,nan,829,0.6678,0,3.3
0.24,1000,826,17.4,0,0,nan,826,0.6674,0,3.28
0.22,1000,784,21.6,0,0,nan,784,0.6781,0,3.26
0.2,1000,788,21.2,0,0,nan,788,0.6692,0,3.24
0.18,1000,757,24.3,0,0,nan,757,0.6665,0,3.22
0.16,1000,734,26.6,0,0,nan,734,0.6714,0,3.2
0.14,1000,689,31.1,0,0,nan,689,0.6821,0,3.18
0.12,1000,635,36.5,0,0,nan,635,0.671,0,3.16
0.1,1000,574,42.6,0,0,nan,574,0.6727,0,3.14
0.08,1000,522,47.8,0,0,nan,522,0.6813,0,3.12
0.06,1000,503,49.7,0,0,nan,503,0.6791,0,3.1
0.04,1000,502,49.8,0,0,nan,502,0.6818,0,3.08
0.02,1000,502,49.8,0,0,nan,502,0.6706,0,3.06
0.0,1000,500,50.0,0,0,nan,500,0.6689,0,3.04
