ifs_ms,sent_H,rx_H,per_H_pct,sent_Z,rx_Z,per_Z_pct,swaps,avg_swap_ms,overruns,wall_s
1.2,0,0,nan,1000,1000,0.0,1000,0.2453,0,4.92
1.18,0,0,nan,1000,1000,0.0,1000,0.2457,0,4.9
1.16,0,0,nan,1000,1000,0.0,1000,0.2455,0,4.88
1.14,0,0,nan,1000,1000,0.0,1000,0.2438,0,4.86
1.12,0,0,nan,1000,1000,0.0,1000,0.2558,0,4.84
1.1,0,0,nan,1000,1000,0.0,1000,0.2462,0,4.82
1.08,0,0,nan,1000,1000,0.0,1000,0.2434,0,4.8
1.06,0,0,nan,1000,1000,0.0,1000,0.2472,0,4.78
1.04,0,0,nan,1000,1000,0.0,1000,0.2456,0,4.76
1.02,0,0,nan,1000,1000,0.0,1000,0.246,0,4.74
1.0,0,0,nan,1000,1000,0.0,1000,0.2472,0,4.72
0.98,0,0,nan,1000,1000,0.0,1000,0.2501,0,4.7
0.96,0,0,nan,1000,1000,0.0,1000,0.2455,0,4.68
0.94,0,0,nan,1000,1000,0.0,1000,0.2488,0,4.66
0.92,0,0,nan,1000,1000,0.0,1000,0.256,0,4.64
0.9,0,0,nan,1000,1000,0.0,1000,0.2494,0,4.62
0.88,0,0,nan,1000,1000,0.0,1000,0.2522,0,4.6
0.86,0,0,nan,1000,1000,0.0,1000,0.2533,0,4.58
0.84,0,0,nan,1000,999,0.1,999,0.2523,0,4.56
0.82,0,0,nan,1000,1000,0.0,1000,0.2509,0,4.54
0.8,0,0,nan,1000,1000,0.0,1000,0.2531,0,4.52
0.78,0,0,nan,1000,1000,0.0,1000,0.256,0,4.5
0.76,0,0,nan,1000,1000,0.0,1000,0.247,0,4.48
0.74,0,0,nan,1000,1000,0.0,1000,0.2566,0,4.46
0.72,0,0,nan,1000,1000,0.0,1000,0.2649,0,4.44
0.7,0,0,nan,1000,1000,0.0,1000,0.2544,0,4.42
0.68,0,0,nan,1000,1000,0.0,1000,0.246,0,4.4
0.66,0,0,nan,1000,1000,0.0,1000,0.2509,0,4.38
0.64,0,0,nan,1000,1000,0.0,1000,0.2508,0,4.36
0.62,0,0,nan,1000,1000,0.0,1000,0.249,0,4.34
0.6,0,0,nan,1000,1000,0.0,1000,0.2602,0,4.32
0.58,0,0,nan,1000,1000,0.0,1000,0.2568,0,4.3
0.56,0,0,nan,1000,1000,0.0,1000,0.2469,0,4.28
0.54,0,0,nan,1000,1000,0.0,1000,0.2494,0,4.26
0.52,0,0,nan,1000,1000,0.0,1000,0.2557,0,4.24
0.5,0,0,nan,1000,1000,0.0,1000,0.249,0,4.22
0.48,0,0,nan,1000,1000,0.0,1000,0.2474,0,4.2
0.46,0,0,nan,1000,999,0.1,999,0.2637,0,4.18
0.44,0,0,nan,1000,1000,0.0,1000,0.2503,0,4.16
0.42,0,0,nan,1000,999,0.1,999,0.2483,0,4.14
0.4,0,0,nan,1000,999,0.1,999,0.2607,0,4.12
0.38,0,0,nan,1000,1000,0.0,1000,0.2499,0,4.1
0.36,0,0,nan,1000,1000,0.0,1000,0.2421,0,4.08
0.34,0,0,nan,1000,1000,0.0,1000,0.2509,0,4.06
0.32,0,0,nan,1000,999,0.1,999,0.2611,0,4.04
0.3,0,0,nan,1000,999,0.1,999,0.2551,0,4.02
0.28,0,0,nan,1000,999,0.1,999,0.2555,0,4.0
0.26,0,0,nan,1000,999,0.1,999,0.2496,0,3.98
0.24,0,0,nan,1000,998,0.2,998,0.2503,0,3.96
0.22,0,0,nan,1000,998,0.2,998,0.2407,0,3.94
0.2,0,0,nan,1000,1000,0.0,1000,0.2427,0,3.92
0.18,0,0,nan,1000,998,0.2,998,0.2503,0,3.9
0.16,0,0,nan,1000,998,0.2,998,0.2672,0,3.88
0.14,0,0,nan,1000,996,0.4,996,0.2523,0,3.86
0.12,0,0,nan,1000,1000,0.0,1000,0.244,0,3.84
0.1,0,0,nan,1000,998,0.2,998,0.2494,0,3.82
0.08,0,0,nan,1000,999,0.1,999,0.2454,0,3.8
0.06,0,0,nan,1000,998,0.2,998,0.2405,0,3.78
0.04,0,0,nan,1000,1000,0.0,1000,0.2454,0,3.76
0.02,0,0,nan,1000,994,0.6,994,0.2562,0,3.74
0.0,0,0,nan,1000,998,0.2,998,0.2468,0,3.72
