ifs_ms,sent_H,rx_H,per_H_pct,sent_Z,rx_Z,per_Z_pct,swaps,avg_swap_ms,overruns,wall_s
1.2,500,500,0.0,500,500,0.0,1000,0.4741,0,4.58
1.18,500,500,0.0,500,500,0.0,1000,0.4722,0,4.56
1.16,500,500,0.0,500,500,0.0,1000,0.5006,0,4.54
1.14,500,500,0.0,500,500,0.0,1000,0.4735,0,4.52
1.12,500,500,0.0,500,500,0.0,1000,0.4888,0,4.5
1.1,500,498,0.4,500,498,0.4,996,0.4855,0,4.48
1.08,500,500,0.0,500,500,0.0,1000,0.492,0,4.46
1.06,500,498,0.4,500,498,0.4,996,0.4835,0,4.44
1.04,500,500,0.0,500,500,0.0,1000,0.4756,0,4.42
1.02,500,499,0.2,500,499,0.2,998,0.473,0,4.4
1.0,500,498,0.4,500,498,0.4,996,0.4759,0,4.38
0.98,500,498,0.4,500,498,0.4,996,0.5153,0,4.36
0.96,500,495,1.0,500,495,1.0,990,0.4936,0,4.34
0.94,500,495,1.0,500,495,1.0,990,0.5037,0,4.32
0.92,500,485,3.0,500,485,3.0,970,0.5185,0,4.3
0.9,500,495,1.0,500,495,1.0,990,0.497,0,4.28
0.88,500,482,3.6,500,482,3.6,964,0.5126,0,4.26
0.86,500,480,4.0,500,480,4.0,960,0.5055,0,4.24
0.84,500,494,1.2,500,494,1.2,988,0.4851,0,4.22
0.82,500,489,2.2,500,489,2.2,978,0.4884,0,4.2
0.8,500,467,6.6,500,467,6.6,934,0.4946,0,4.18
0.78,500,456,8.8,500,456,8.8,912,0.491,0,4.16
0.76,500,440,12.0,500,440,12.0,880,0.4942,0,4.14
0.74,500,431,13.8,500,431,13.8,862,0.4872,0,4.12
0.72,500,402,19.6,500,402,19.6,804,0.4893,0,4.1
0.7,500,396,20.8,500,396,20.8,792,0.4924,0,4.08
0.68,500,391,21.8,500,391,21.8,782,0.4925,0,4.06
0.66,500,383,23.4,500,383,23.4,766,0.5005,0,4.04
0.64,500,380,24.0,500,380,24.0,760,0.497,0,4.02
0.62,500,382,23.6,500,382,23.6,764,0.4938,0,4.0
0.6,500,364,27.2,500,364,27.2,728,0.5185,0,3.98
0.58,500,357,28.6,500,357,28.6,714,0.5198,0,3.96
0.56,500,355,29.0,500,355,29.0,710,0.5068,0,3.94
0.54,500,342,31.6,500,342,31.6,684,0.5113,0,3.92
0.52,500,326,34.8,500,326,34.8,652,0.507,0,3.9
0.5,500,325,35.0,500,325,35.0,650,0.5017,0,3.88
0.48,500,297,40.6,500,297,40.6,594,0.5159,0,3.86
0.46,500,293,41.4,500,293,41.4,586,0.509,0,3.84
0.44,500,281,43.8,500,281,43.8,562,0.5146,0,3.82
0.42,500,257,48.6,500,257,48.6,514,0.5194,0,3.8
0.4,500,246,50.8,500,246,50.8,492,0.5724,0,3.78
0.38,500,249,50.2,500,249,50.2,498,0.551,0,3.76
0.36,500,248,50.4,500,248,50.4,496,0.5089,0,3.74
0.34,500,249,50.2,500,249,50.2,498,0.4918,0,3.72
0.32,500,249,50.2,500,249,50.2,498,0.4985,0,3.7
0.3,500,250,50.0,500,250,50.0,500,0.4848,0,3.68
0.28,500,249,50.2,500,249,50.2,498,0.4902,0,3.66
0.26,500,246,50.8,500,246,50.8,492,0.4894,0,3.64
0.24,500,247,50.6,500,247,50.6,494,0.4847,0,3.62
0.22,500,237,52.6,500,237,52.6,474,0.4727,0,3.6
0.2,500,218,56.4,500,218,56.4,436,0.5028,0,3.58
0.18,500,211,57.8,500,211,57.8,422,0.4898,0,3.56
0.16,500,211,57.8,500,211,57.8,422,0.4862,0,3.54
0.14,500,199,60.2,500,199,60.2,398,0.5045,0,3.52
0.12,500,185,63.0,500,184,63.2,369,0.4952,0,3.5
0.1,500,172,65.6,500,172,65.6,344,0.5211,0,3.48
0.08,500,168,66.4,500,168,66.4,336,0.4921,0,3.46
0.06,500,167,66.6,500,167,66.6,334,0.5225,0,3.44
0.04,500,167,66.6,500,167,66.6,334,0.5049,0,3.42
0.02,500,167,66.6,500,167,66.6,334,0.4949,0,3.4
0.0,500,167,66.6,500,167,66.6,334,0.4882,0,3.38
