ifs_ms,sent_H,rx_H,per_H_pct,sent_Z,rx_Z,per_Z_pct,swaps,avg_swap_ms,overruns,wall_s
1.2,1000,1000,0.0,0,0,nan,1000,0.6808,0,4.25
1.18,1000,999,0.1,0,0,nan,999,0.6794,0,4.22
1.16,1000,996,0.4,0,0,nan,996,0.6845,0,4.2
1.14,1000,996,0.4,0,0,nan,996,0.6774,0,4.18
1.12,1000,997,0.3,0,0,nan,997,0.6805,0,4.16
1.1,1000,999,0.1,0,0,nan,999,0.6817,0,4.14
1.08,1000,993,0.7,0,0,nan,993,0.6638,0,4.12
1.06,1000,996,0.4,0,0,nan,996,0.6777,0,4.1
1.04,1000,996,0.4,0,0,nan,996,0.6764,0,4.08
1.02,1000,995,0.5,0,0,nan,995,0.6844,0,4.06
1.0,1000,997,0.3,0,0,nan,997,0.6787,0,4.04
0.98,1000,991,0.9,0,0,nan,991,0.6796,0,4.02
0.96,1000,991,0.9,0,0,nan,991,0.6837,0,4.0
0.94,1000,986,1.4,0,0,nan,986,0.678,0,3.98
0.92,1000,981,1.9,0,0,nan,981,0.6826,0,3.96
0.9,1000,951,4.9,0,0,nan,951,0.6773,0,3.94
0.88,1000,931,6.9,0,0,nan,931,0.6844,0,3.92
0.86,1000,909,9.1,0,0,nan,909,0.6917,0,3.9
0.84,1000,868,13.2,0,0,nan,868,0.6718,0,3.88
0.82,1000,757,24.3,0,0,nan,757,0.7293,0,3.86
0.8,1000,784,21.6,0,0,nan,784,0.6844,0,3.84
0.78,1000,758,24.2,0,0,nan,758,0.7,0,3.82
0.76,1000,762,23.8,0,0,nan,762,0.6957,0,3.8
0.74,1000,729,27.1,0,0,nan,729,0.7071,0,3.78
0.72,1000,755,24.5,0,0,nan,755,0.686,0,3.76
0.7,1000,749,25.1,0,0,nan,749,0.6903,0,3.74
0.68,1000,679,32.1,0,0,nan,679,0.733,0,3.72
0.66,1000,701,29.9,0,0,nan,701,0.7047,0,3.7
0.64,1000,690,31.0,0,0,nan,690,0.6955,0,3.68
0.62,1000,694,30.6,0,0,nan,694,0.6813,0,3.66
0.6,1000,664,33.6,0,0,nan,664,0.691,0,3.64
0.58,1000,659,34.1,0,0,nan,659,0.68,0,3.62
0.56,1000,605,39.5,0,0,nan,605,0.6836,0,3.6
0.54,1000,553,44.7,0,0,nan,553,0.7008,0,3.58
0.52,1000,522,47.8,0,0,nan,522,0.6925,0,3.56
0.5,1000,503,49.7,0,0,nan,503,0.7048,0,3.54
0.48,1000,500,50.0,0,0,nan,500,0.6913,0,3.52
0.46,1000,500,50.0,0,0,nan,500,0.6882,0,3.5
0.44,1000,501,49.9,0,0,nan,501,0.6954,0,3.48
0.42,1000,502,49.8,0,0,nan,502,0.6885,0,3.46
0.4,1000,501,49.9,0,0,nan,501,0.6974,0,3.44
0.38,1000,500,50.0,0,0,nan,500,0.6851,0,3.42
0.36,1000,500,50.0,0,0,nan,500,0.6825,0,3.4
0.34,1000,501,49.9,0,0,nan,501,0.6992,0,3.38
0.32,1000,501,49.9,0,0,nan,501,0.6895,0,3.36
0.3,1000,501,49.9,0,0,nan,501,0.6849,0,3.34
0.28,1000,500,50.0,0,0,nan,500,0.6761,0,3.32
0.26,1000,501,49.9,0,0,nan,501,0.6883,0,3.3
0.24,1000,500,50.0,0,0,nan,500,0.6949,0,3.28
0.22,1000,500,50.0,0,0,nan,500,0.6873,0,3.26
0.2,1000,500,50.0,0,0,nan,500,0.6954,0,3.24
0.18,1000,498,50.2,0,0,nan,498,0.6744,0,3.22
0.16,1000,498,50.2,0,0,nan,498,0.6799,0,3.2
0.14,1000,494,50.6,0,0,nan,494,0.6959,0,3.18
0.12,1000,496,50.4,0,0,nan,496,0.6805,0,3.16
0.1,1000,494,50.6,0,0,nan,494,0.6768,0,3.14
0.08,1000,484,51.6,0,0,nan,484,0.6907,0,3.12
0.06,1000,465,53.5,0,0,nan,465,0.6825,0,3.1
0.04,1000,448,55.2,0,0,nan,448,0.6703,0,3.08
0.02,1000,431,56.9,0,0,nan,431,0.7056,0,3.06
0.0,1000,430,57.0,0,0,nan,430,0.695,0,3.04
