ifs_ms,sent_H,rx_H,per_H_pct,sent_Z,rx_Z,per_Z_pct,swaps,avg_swap_ms,overruns,wall_s
1.2,0,0,nan,1000,999,0.1,999,0.2478,0,4.95
1.18,0,0,nan,1000,1000,0.0,1000,0.2473,0,4.9
1.16,0,0,nan,1000,1000,0.0,1000,0.2467,0,4.88
1.14,0,0,nan,1000,1000,0.0,1000,0.2459,0,4.86
1.12,0,0,nan,1000,1000,0.0,1000,0.2468,0,4.84
1.1,0,0,nan,1000,1000,0.0,1000,0.2482,0,4.82
1.08,0,0,nan,1000,1000,0.0,1000,0.2454,0,4.8
1.06,0,0,nan,1000,1000,0.0,1000,0.2496,0,4.78
1.04,0,0,nan,1000,1000,0.0,1000,0.246,0,4.76
1.02,0,0,nan,1000,1000,0.0,1000,0.2466,0,4.74
1.0,0,0,nan,1000,1000,0.0,1000,0.2468,0,4.72
0.98,0,0,nan,1000,1000,0.0,1000,0.2469,0,4.7
0.96,0,0,nan,1000,1000,0.0,1000,0.2449,0,4.68
0.94,0,0,nan,1000,999,0.1,999,0.2434,0,4.66
0.92,0,0,nan,1000,1000,0.0,1000,0.2446,0,4.64
0.9,0,0,nan,1000,1000,0.0,1000,0.2449,0,4.62
0.88,0,0,nan,1000,1000,0.0,1000,0.2454,0,4.6
0.86,0,0,nan,1000,1000,0.0,1000,0.2394,0,4.58
0.84,0,0,nan,1000,1000,0.0,1000,0.2485,0,4.56
0.82,0,0,nan,1000,1000,0.0,1000,0.2479,0,4.54
0.8,0,0,nan,1000,1000,0.0,1000,0.2458,0,4.52
0.78,0,0,nan,1000,1000,0.0,1000,0.2418,0,4.5
0.76,0,0,nan,1000,1000,0.0,1000,0.2391,0,4.48
0.74,0,0,nan,1000,1000,0.0,1000,0.2447,0,4.46
0.72,0,0,nan,1000,999,0.1,999,0.2445,0,4.44
0.7,0,0,nan,1000,1000,0.0,1000,0.2509,0,4.42
0.68,0,0,nan,1000,1000,0.0,1000,0.242,0,4.4
0.66,0,0,nan,1000,999,0.1,999,0.2471,0,4.38
0.64,0,0,nan,1000,1000,0.0,1000,0.2457,0,4.36
0.62,0,0,nan,1000,1000,0.0,1000,0.2435,0,4.34
0.6,0,0,nan,1000,1000,0.0,1000,0.2369,0,4.32
0.58,0,0,nan,1000,1000,0.0,1000,0.2494,0,4.3
0.56,0,0,nan,1000,1000,0.0,1000,0.2383,0,4.28
0.54,0,0,nan,1000,1000,0.0,1000,0.2415,0,4.26
0.52,0,0,nan,1000,1000,0.0,1000,0.2491,0,4.24
0.5,0,0,nan,1000,1000,0.0,1000,0.2449,0,4.22
0.48,0,0,nan,1000,1000,0.0,1000,0.2398,0,4.2
0.46,0,0,nan,1000,1000,0.0,1000,0.2443,0,4.18
0.44,0,0,nan,1000,999,0.1,999,0.2462,0,4.16
0.42,0,0,nan,1000,1000,0.0,1000,0.2446,0,4.14
0.4,0,0,nan,1000,1000,0.0,1000,0.2473,0,4.12
0.38,0,0,nan,1000,1000,0.0,1000,0.2439,0,4.1
0.36,0,0,nan,1000,1000,0.0,1000,0.2376,0,4.08
0.34,0,0,nan,1000,999,0.1,999,0.2423,0,4.06
0.32,0,0,nan,1000,999,0.1,999,0.2362,0,4.04
0.3,0,0,nan,1000,998,0.2,998,0.2457,0,4.02
0.28,0,0,nan,1000,998,0.2,998,0.2432,0,4.0
0.26,0,0,nan,1000,997,0.3,997,0.2449,0,3.98
0.24,0,0,nan,1000,997,0.3,997,0.2415,0,3.96
0.22,0,0,nan,1000,999,0.1,999,0.2429,0,3.94
0.2,0,0,nan,1000,999,0.1,999,0.2424,0,3.92
0.18,0,0,nan,1000,998,0.2,998,0.2431,0,3.9
0.16,0,0,nan,1000,999,0.1,999,0.24,0,3.88
0.14,0,0,nan,1000,994,0.6,994,0.2389,0,3.86
0.12,0,0,nan,1000,993,0.7,993,0.2394,0,3.84
0.1,0,0,nan,1000,973,2.7,973,0.2434,0,3.82
0.08,0,0,nan,1000,946,5.4,946,0.2383,0,3.8
0.06,0,0,nan,1000,855,14.5,855,0.2451,0,3.78
0.04,0,0,nan,1000,827,17.3,827,0.2419,0,3.76
0.02,0,0,nan,1000,772,22.8,772,0.2452,0,3.74
0.0,0,0,nan,1000,760,24.0,760,0.2367,0,3.72
