ifs_ms,sent_H,rx_H,per_H_pct,sent_Z,rx_Z,per_Z_pct,swaps,avg_swap_ms,overruns,wall_s
4.0,500,500,0.0,500,500,0.0,1000,0.5147,0,7.38
3.9,500,500,0.0,500,500,0.0,1000,0.5126,0,7.28
3.8,500,500,0.0,500,500,0.0,1000,0.5007,0,7.18
3.7,500,500,0.0,500,500,0.0,1000,0.5357,0,7.08
3.6,500,500,0.0,500,500,0.0,1000,0.5115,0,6.98
3.5,500,500,0.0,500,500,0.0,1000,0.5135,0,6.88
3.4,500,500,0.0,500,500,0.0,1000,0.4853,0,6.78
3.3,500,500,0.0,500,500,0.0,1000,0.4901,0,6.68
3.2,500,500,0.0,500,500,0.0,1000,0.4902,0,6.58
3.1,500,500,0.0,500,500,0.0,1000,0.4811,0,6.48
3.0,500,500,0.0,500,500,0.0,1000,0.5069,0,6.38
2.9,500,500,0.0,500,500,0.0,1000,0.497,0,6.28
2.8,500,500,0.0,500,500,0.0,1000,0.5218,0,6.18
2.7,500,500,0.0,500,500,0.0,1000,0.5089,0,6.08
2.6,500,500,0.0,500,500,0.0,1000,0.5126,0,5.98
2.5,500,500,0.0,500,500,0.0,1000,0.4959,0,5.88
2.4,500,500,0.0,500,500,0.0,1000,0.4921,0,5.78
2.3,500,500,0.0,500,500,0.0,1000,0.4773,0,5.68
2.2,500,500,0.0,500,500,0.0,1000,0.4813,0,5.58
2.1,500,500,0.0,500,500,0.0,1000,0.4928,0,5.48
2.0,500,500,0.0,500,500,0.0,1000,0.5298,0,5.38
1.9,500,500,0.0,500,500,0.0,1000,0.5212,0,5.28
1.8,500,500,0.0,500,500,0.0,1000,0.5229,0,5.18
1.7,500,500,0.0,500,500,0.0,1000,0.5148,0,5.08
1.6,500,500,0.0,500,500,0.0,1000,0.5099,0,4.98
1.5,500,500,0.0,500,500,0.0,1000,0.5032,0,4.88
1.4,500,500,0.0,500,500,0.0,1000,0.4842,0,4.78
1.3,500,500,0.0,500,500,0.0,1000,0.4802,0,4.68
1.2,500,498,0.4,500,498,0.4,996,0.4722,0,4.58
1.1,500,500,0.0,500,500,0.0,1000,0.4754,0,4.48
1.0,500,498,0.4,500,498,0.4,996,0.4761,0,4.38
0.9,500,495,1.0,500,495,1.0,990,0.4723,0,4.28
0.8,500,490,2.0,500,490,2.0,980,0.4757,0,4.18
0.7,500,394,21.2,500,394,21.2,788,0.4841,0,4.08
0.6,500,390,22.0,500,390,22.0,780,0.4742,0,3.98
0.5,500,332,33.6,500,332,33.6,664,0.4887,0,3.88
0.4,500,260,48.0,500,260,48.0,520,0.4779,0,3.78
0.3,500,249,50.2,500,249,50.2,498,0.483,0,3.68
0.2,500,223,55.4,500,223,55.4,446,0.4901,0,3.58
0.1,500,174,65.2,500,173,65.4,347,0.4829,0,3.48
0.0,500,168,66.4,500,167,66.6,335,0.4787,0,3.38
