ifs_ms,sent_H,rx_H,per_H_pct,sent_Z,rx_Z,per_Z_pct,swaps,avg_swap_ms,overruns,wall_s
4.0,1000,1000,0.0,0,0,nan,1000,0.6955,0,7.04
3.9,1000,1000,0.0,0,0,nan,1000,0.7091,0,6.94
3.8,1000,1000,0.0,0,0,nan,1000,0.7061,0,6.84
3.7,1000,1000,0.0,0,0,nan,1000,0.6952,0,6.74
3.6,1000,1000,0.0,0,0,nan,1000,0.709,0,6.64
3.5,1000,1000,0.0,0,0,nan,1000,0.711,0,6.54
3.4,1000,1000,0.0,0,0,nan,1000,0.7108,0,6.44
3.3,1000,1000,0.0,0,0,nan,1000,0.6977,0,6.34
3.2,1000,1000,0.0,0,0,nan,1000,0.7065,0,6.24
3.1,1000,1000,0.0,0,0,nan,1000,0.7098,0,6.14
3.0,1000,1000,0.0,0,0,nan,1000,0.6999,0,6.04
2.9,1000,1000,0.0,0,0,nan,1000,0.7052,0,5.94
2.8,1000,998,0.2,0,0,nan,998,0.7112,0,5.84
2.7,1000,1000,0.0,0,0,nan,1000,0.7038,0,5.74
2.6,1000,1000,0.0,0,0,nan,1000,0.7032,0,5.64
2.5,1000,1000,0.0,0,0,nan,1000,0.7062,0,5.54
2.4,1000,1000,0.0,0,0,nan,1000,0.7138,0,5.44
2.3,1000,1000,0.0,0,0,nan,1000,0.702,0,5.34
2.2,1000,1000,0.0,0,0,nan,1000,0.6955,0,5.24
2.1,1000,1000,0.0,0,0,nan,1000,0.7106,0,5.14
2.0,1000,1000,0.0,0,0,nan,1000,0.7184,0,5.04
1.9,1000,999,0.1,0,0,nan,999,0.7034,0,4.94
1.8,1000,1000,0.0,0,0,nan,1000,0.6905,0,4.84
1.7,1000,1000,0.0,0,0,nan,1000,0.6815,0,4.74
1.6,1000,1000,0.0,0,0,nan,1000,0.683,0,4.64
1.5,1000,1000,0.0,0,0,nan,1000,0.6812,0,4.54
1.4,1000,998,0.2,0,0,nan,998,0.6867,0,4.44
1.3,1000,999,0.1,0,0,nan,999,0.6839,0,4.34
1.2,1000,999,0.1,0,0,nan,999,0.6737,0,4.24
1.1,1000,994,0.6,0,0,nan,994,0.6849,0,4.14
1.0,1000,991,0.9,0,0,nan,991,0.676,0,4.04
0.9,1000,963,3.7,0,0,nan,963,0.6802,0,3.94
0.8,1000,778,22.2,0,0,nan,778,0.6813,0,3.84
0.7,1000,752,24.8,0,0,nan,752,0.6854,0,3.74
0.6,1000,669,33.1,0,0,nan,669,0.6917,0,3.64
0.5,1000,507,49.3,0,0,nan,507,0.6789,0,3.54
0.4,1000,501,49.9,0,0,nan,501,0.6939,0,3.44
0.3,1000,501,49.9,0,0,nan,501,0.6798,0,3.34
0.2,1000,500,50.0,0,0,nan,500,0.6786,0,3.24
0.1,1000,492,50.8,0,0,nan,492,0.692,0,3.14
0.0,1000,435,56.5,0,0,nan,435,0.6675,0,3.04
