ifs_ms,sent_H,rx_H,per_H_pct,sent_Z,rx_Z,per_Z_pct,swaps,avg_swap_ms,overruns,wall_s
4.0,0,0,nan,1000,1000,0.0,1000,0.2577,0,7.72
3.9,0,0,nan,1000,1000,0.0,1000,0.2613,0,7.62
3.8,0,0,nan,1000,1000,0.0,1000,0.2654,0,7.51
3.7,0,0,nan,1000,1000,0.0,1000,0.2638,0,7.42
3.6,0,0,nan,1000,1000,0.0,1000,0.2645,0,7.32
3.5,0,0,nan,1000,1000,0.0,1000,0.2613,0,7.21
3.4,0,0,nan,1000,1000,0.0,1000,0.2635,0,7.12
3.3,0,0,nan,1000,1000,0.0,1000,0.2557,0,7.02
3.2,0,0,nan,1000,1000,0.0,1000,0.2849,0,6.92
3.1,0,0,nan,1000,1000,0.0,1000,0.2776,0,6.81
3.0,0,0,nan,1000,1000,0.0,1000,0.2764,0,6.72
2.9,0,0,nan,1000,1000,0.0,1000,0.2709,0,6.62
2.8,0,0,nan,1000,1000,0.0,1000,0.2662,0,6.51
2.7,0,0,nan,1000,1000,0.0,1000,0.2805,0,6.42
2.6,0,0,nan,1000,1000,0.0,1000,0.2803,0,6.32
2.5,0,0,nan,1000,1000,0.0,1000,0.2662,0,6.22
2.4,0,0,nan,1000,1000,0.0,1000,0.2615,0,6.12
2.3,0,0,nan,1000,1000,0.0,1000,0.2595,0,6.02
2.2,0,0,nan,1000,1000,0.0,1000,0.2604,0,5.92
2.1,0,0,nan,1000,1000,0.0,1000,0.2631,0,5.82
2.0,0,0,nan,1000,1000,0.0,1000,0.2602,0,5.72
1.9,0,0,nan,1000,1000,0.0,1000,0.26,0,5.62
1.8,0,0,nan,1000,1000,0.0,1000,0.2632,0,5.52
1.7,0,0,nan,1000,1000,0.0,1000,0.2679,0,5.42
1.6,0,0,nan,1000,1000,0.0,1000,0.2824,0,5.32
1.5,0,0,nan,1000,1000,0.0,1000,0.263,0,5.22
1.4,0,0,nan,1000,1000,0.0,1000,0.2592,0,5.12
1.3,0,0,nan,1000,999,0.1,999,0.2764,0,5.02
1.2,0,0,nan,1000,1000,0.0,1000,0.2544,0,4.92
1.1,0,0,nan,1000,1000,0.0,1000,0.265,0,4.82
1.0,0,0,nan,1000,1000,0.0,1000,0.2723,0,4.72
0.9,0,0,nan,1000,1000,0.0,1000,0.2829,0,4.62
0.8,0,0,nan,1000,999,0.1,999,0.2886,0,4.52
0.7,0,0,nan,1000,1000,0.0,1000,0.2657,0,4.42
0.6,0,0,nan,1000,999,0.1,999,0.2654,0,4.32
0.5,0,0,nan,1000,998,0.2,998,0.2641,0,4.22
0.4,0,0,nan,1000,999,0.1,999,0.2649,0,4.12
0.3,0,0,nan,1000,988,1.2,988,0.3188,0,4.02
0.2,0,0,nan,1000,997,0.3,997,0.2668,0,3.92
0.1,0,0,nan,1000,949,5.1,949,0.255,0,3.82
0.0,0,0,nan,1000,703,29.7,703,0.2539,0,3.72
