swap_idx,from,to,read_toml,disconnect,retune_radio,park_selectors,load_plugins,build_read_toml,build_create_blocks,build_connect,build_bridge_ports,start_runtime,reconnect,terminate_spawn,unpark_selectors,build_and_start,total,t_ms
0,Z,H,0.0734,0.0009,0.0002,0.0001,0.0004,0.0434,0.0121,0.0418,0.0223,0.0194,0.0005,0.0238,0.0001,0.1411,0.2410,251.462
1,H,Z,0.0937,0.0015,0.0002,0.0002,0.0007,0.0763,0.0227,0.0851,0.0383,0.0205,0.0021,0.0191,0.0001,0.2452,0.3634,301.842
2,Z,H,0.0672,0.0007,0.0002,0.0001,0.0004,0.0421,0.0122,0.0448,0.0203,0.0207,0.0012,0.0205,0.0001,0.1419,0.2328,352.086
3,H,Z,0.0640,0.0008,0.0002,0.0000,0.0004,0.0420,0.0114,0.0444,0.0182,0.0156,0.0039,0.0198,0.0001,0.1333,0.2229,402.321
4,Z,H,0.0896,0.0014,0.0002,0.0001,0.0009,0.0592,0.0175,0.0741,0.0445,0.0197,0.0068,0.0291,0.0001,0.2171,0.3462,452.680
5,H,Z,0.0623,0.0008,0.0002,0.0001,0.0006,0.0444,0.0141,0.0414,0.0162,0.0245,0.0004,0.0156,0.0001,0.1422,0.2229,502.916
6,Z,H,0.1178,0.0025,0.0006,0.0004,0.0016,0.0693,0.0245,0.0940,0.0405,0.0318,0.0007,0.0301,0.0002,0.2635,0.4182,553.348
7,H,Z,0.1076,0.0020,0.0007,0.0003,0.0013,0.0632,0.0304,0.0760,0.0388,0.0296,0.0006,0.0352,0.0002,0.2410,0.3899,603.755
8,Z,H,0.1281,0.0025,0.0005,0.0003,0.0017,0.0688,0.0245,0.0906,0.0467,0.0273,0.0020,0.0264,0.0003,0.2610,0.4240,654.195
9,H,Z,0.0748,0.0013,0.0004,0.0002,0.0010,0.0480,0.0188,0.0586,0.0192,0.0231,0.0074,0.0242,0.0001,0.1696,0.2797,704.487
10,Z,H,0.0763,0.0015,0.0005,0.0002,0.0009,0.0454,0.0181,0.0676,0.0217,0.0201,0.0034,0.0222,0.0001,0.1749,0.2806,754.783
11,H,Z,0.0710,0.0010,0.0002,0.0001,0.0009,0.0421,0.0133,0.0418,0.0199,0.0216,0.0010,0.0206,0.0000,0.1404,0.2359,805.031
12,Z,H,0.0568,0.0007,0.0002,0.0001,0.0006,0.0429,0.0120,0.0449,0.0185,0.0166,0.0012,0.0162,0.0001,0.1365,0.2128,855.255
13,H,Z,0.0592,0.0009,0.0002,0.0001,0.0007,0.0404,0.0120,0.0348,0.0220,0.0170,0.0021,0.0156,0.0001,0.1280,0.2073,905.471
14,Z,H,0.0611,0.0008,0.0002,0.0001,0.0004,0.0391,0.0121,0.0391,0.0283,0.0200,0.0002,0.0159,0.0001,0.1403,0.2194,955.708
15,H,Z,0.0738,0.0011,0.0002,0.0002,0.0005,0.0444,0.0149,0.0423,0.0180,0.0194,0.0028,0.0168,0.0001,0.1408,0.2370,1005.956
16,Z,H,0.0723,0.0008,0.0002,0.0001,0.0005,0.0441,0.0125,0.0485,0.0192,0.0184,0.0039,0.0220,0.0001,0.1448,0.2449,1056.212
17,H,Z,0.0908,0.0020,0.0006,0.0002,0.0013,0.0647,0.0239,0.0583,0.0253,0.0322,0.0018,0.0239,0.0001,0.2079,0.3298,1106.562
18,Z,H,0.1343,0.0024,0.0004,0.0004,0.0014,0.0762,0.0254,0.0961,0.0411,0.0240,0.0078,0.0421,0.0002,0.2654,0.4555,1157.034
19,H,Z,0.0750,0.0015,0.0005,0.0001,0.0008,0.0451,0.0185,0.0521,0.0228,0.0228,0.0008,0.0375,0.0001,0.1639,0.2810,1207.332
20,Z,H,0.0633,0.0009,0.0003,0.0001,0.0006,0.0432,0.0135,0.0406,0.0200,0.0191,0.0079,0.0169,0.0001,0.1383,0.2288,1257.573
21,H,Z,0.0602,0.0007,0.0002,0.0001,0.0005,0.0413,0.0126,0.0400,0.0172,0.0205,0.0014,0.0178,0.0001,0.1339,0.2153,1307.799
22,Z,H,0.0627,0.0007,0.0001,0.0001,0.0004,0.0408,0.0109,0.0423,0.0207,0.0234,0.0004,0.0239,0.0000,0.1404,0.2292,1358.041
23,H,Z,0.0892,0.0014,0.0004,0.0003,0.0010,0.0576,0.0217,0.0623,0.0306,0.0246,0.0003,0.0221,0.0000,0.1995,0.3150,1408.371
24,Z,H,0.0698,0.0008,0.0002,0.0001,0.0006,0.0391,0.0128,0.0462,0.0201,0.0199,0.0002,0.0183,0.0001,0.1397,0.2303,1458.613
25,H,Z,0.0969,0.0014,0.0002,0.0002,0.0007,0.0639,0.0172,0.0727,0.0445,0.0212,0.0004,0.0162,0.0001,0.2219,0.3385,1508.972
26,Z,H,0.0908,0.0017,0.0003,0.0002,0.0010,0.0580,0.0202,0.0765,0.0398,0.0213,0.0046,0.0205,0.0000,0.2183,0.3381,1559.322
