ifs_ms,sent_H,rx_H,per_H_pct,sent_Z,rx_Z,per_Z_pct,swaps,avg_swap_ms,overruns,wall_s
4.0,500,500,0.0,500,500,0.0,1000,0.4761,0,7.38
3.9,500,500,0.0,500,500,0.0,1000,0.4736,0,7.28
3.8,500,500,0.0,500,500,0.0,1000,0.4712,0,7.18
3.7,500,500,0.0,500,500,0.0,1000,0.5017,0,7.08
3.6,500,500,0.0,500,500,0.0,1000,0.5175,0,6.98
3.5,500,500,0.0,500,500,0.0,1000,0.5191,0,6.88
3.4,500,500,0.0,500,500,0.0,1000,0.5125,0,6.78
3.3,500,500,0.0,500,500,0.0,1000,0.5125,0,6.68
3.2,500,500,0.0,500,500,0.0,1000,0.5072,0,6.58
3.1,500,500,0.0,500,500,0.0,1000,0.5073,0,6.48
3.0,500,500,0.0,500,500,0.0,1000,0.5095,0,6.38
2.9,500,500,0.0,500,500,0.0,1000,0.5057,0,6.28
2.8,500,500,0.0,500,500,0.0,1000,0.5068,0,6.18
2.7,500,500,0.0,500,500,0.0,1000,0.5065,0,6.08
2.6,500,499,0.2,500,499,0.2,998,0.4973,0,5.98
2.5,500,500,0.0,500,500,0.0,1000,0.502,0,5.88
2.4,500,500,0.0,500,500,0.0,1000,0.4989,0,5.78
2.3,500,500,0.0,500,500,0.0,1000,0.5049,0,5.68
2.2,500,500,0.0,500,500,0.0,1000,0.502,0,5.58
2.1,500,500,0.0,500,500,0.0,1000,0.5022,0,5.48
2.0,500,500,0.0,500,500,0.0,1000,0.5029,0,5.38
1.9,500,500,0.0,500,500,0.0,1000,0.5057,0,5.28
1.8,500,499,0.2,500,499,0.2,998,0.4931,0,5.18
1.7,500,500,0.0,500,500,0.0,1000,0.4944,0,5.08
1.6,500,500,0.0,500,500,0.0,1000,0.4908,0,4.98
1.5,500,500,0.0,500,500,0.0,1000,0.4911,0,4.88
1.4,500,500,0.0,500,500,0.0,1000,0.4846,0,4.78
1.3,500,499,0.2,500,499,0.2,998,0.4802,0,4.68
1.2,500,500,0.0,500,500,0.0,1000,0.4781,0,4.58
1.1,500,500,0.0,500,500,0.0,1000,0.4796,0,4.48
1.0,500,500,0.0,500,500,0.0,1000,0.4777,0,4.38
0.9,500,496,0.8,500,496,0.8,992,0.4737,0,4.28
0.8,500,485,3.0,500,485,3.0,970,0.4676,0,4.18
0.7,500,430,14.0,500,430,14.0,860,0.4669,0,4.08
0.6,500,368,26.4,500,368,26.4,736,0.4721,0,3.98
0.5,500,347,30.6,500,347,30.6,694,0.4706,0,3.88
0.4,500,276,44.8,500,276,44.8,552,0.4765,0,3.78
0.3,500,250,50.0,500,250,50.0,500,0.4809,0,3.68
0.2,500,241,51.8,500,241,51.8,482,0.4668,0,3.58
0.1,500,184,63.2,500,184,63.2,368,0.4729,0,3.48
0.0,500,167,66.6,500,167,66.6,334,0.4815,0,3.38
