ifs_ms,sent_H,rx_H,per_H_pct,sent_Z,rx_Z,per_Z_pct,swaps,avg_swap_ms,overruns,wall_s
4.0,1000,1000,0.0,0,0,nan,1000,0.6818,0,7.04
3.9,1000,1000,0.0,0,0,nan,1000,0.6864,0,6.94
3.8,1000,1000,0.0,0,0,nan,1000,0.6791,0,6.84
3.7,1000,1000,0.0,0,0,nan,1000,0.6721,0,6.74
3.6,1000,1000,0.0,0,0,nan,1000,0.6892,0,6.64
3.5,1000,1000,0.0,0,0,nan,1000,0.68,0,6.54
3.4,1000,1000,0.0,0,0,nan,1000,0.6923,0,6.44
3.3,1000,1000,0.0,0,0,nan,1000,0.6793,0,6.34
3.2,1000,1000,0.0,0,0,nan,1000,0.6861,0,6.24
3.1,1000,1000,0.0,0,0,nan,1000,0.6696,0,6.14
3.0,1000,1000,0.0,0,0,nan,1000,0.6836,0,6.04
2.9,1000,1000,0.0,0,0,nan,1000,0.6704,0,5.94
2.8,1000,1000,0.0,0,0,nan,1000,0.6854,0,5.84
2.7,1000,1000,0.0,0,0,nan,1000,0.6892,0,5.74
2.6,1000,1000,0.0,0,0,nan,1000,0.6729,0,5.64
2.5,1000,1000,0.0,0,0,nan,1000,0.6908,0,5.54
2.4,1000,1000,0.0,0,0,nan,1000,0.7035,0,5.44
2.3,1000,1000,0.0,0,0,nan,1000,0.7072,0,5.34
2.2,1000,1000,0.0,0,0,nan,1000,0.716,0,5.24
2.1,1000,1000,0.0,0,0,nan,1000,0.7208,0,5.14
2.0,1000,1000,0.0,0,0,nan,1000,0.7032,0,5.04
1.9,1000,1000,0.0,0,0,nan,1000,0.7133,0,4.94
1.8,1000,1000,0.0,0,0,nan,1000,0.6986,0,4.84
1.7,1000,1000,0.0,0,0,nan,1000,0.696,0,4.74
1.6,1000,1000,0.0,0,0,nan,1000,0.6959,0,4.64
1.5,1000,1000,0.0,0,0,nan,1000,0.6885,0,4.54
1.4,1000,1000,0.0,0,0,nan,1000,0.6967,0,4.44
1.3,1000,1000,0.0,0,0,nan,1000,0.6729,0,4.34
1.2,1000,1000,0.0,0,0,nan,1000,0.6726,0,4.24
1.1,1000,997,0.3,0,0,nan,997,0.6678,0,4.14
1.0,1000,994,0.6,0,0,nan,994,0.6547,0,4.04
0.9,1000,981,1.9,0,0,nan,981,0.66,0,3.94
0.8,1000,827,17.3,0,0,nan,827,0.6574,0,3.84
0.7,1000,750,25.0,0,0,nan,750,0.6596,0,3.74
0.6,1000,690,31.0,0,0,nan,690,0.6657,0,3.64
0.5,1000,536,46.4,0,0,nan,536,0.6654,0,3.54
0.4,1000,501,49.9,0,0,nan,501,0.6771,0,3.44
0.3,1000,501,49.9,0,0,nan,501,0.6789,0,3.34
0.2,1000,499,50.1,0,0,nan,499,0.6743,0,3.24
0.1,1000,496,50.4,0,0,nan,496,0.668,0,3.14
0.0,1000,431,56.9,0,0,nan,431,0.6643,0,3.04
