ifs_ms,sent_H,rx_H,per_H_pct,sent_Z,rx_Z,per_Z_pct,swaps,avg_swap_ms,overruns,wall_s
10.0,500,500,0.0,500,500,0.0,1000,1.21,0,11.34
9.9,500,500,0.0,500,500,0.0,1000,1.2112,0,11.23
9.8,500,500,0.0,500,500,0.0,1000,1.2056,0,11.13
9.7,500,500,0.0,500,500,0.0,1000,1.3023,0,11.04
9.6,500,500,0.0,500,500,0.0,1000,1.3779,0,10.94
9.5,500,500,0.0,500,500,0.0,1000,1.1576,0,10.83
9.4,500,500,0.0,500,500,0.0,1000,1.1465,0,10.74
9.3,500,500,0.0,500,500,0.0,1000,1.1643,0,10.64
9.2,500,500,0.0,500,500,0.0,1000,1.1646,0,10.54
9.1,500,500,0.0,500,500,0.0,1000,1.2443,0,10.43
9.0,500,500,0.0,500,500,0.0,1000,1.1567,0,10.33
8.9,500,500,0.0,500,500,0.0,1000,1.1705,0,10.23
8.8,500,500,0.0,500,500,0.0,1000,1.1578,0,10.14
8.7,500,500,0.0,500,500,0.0,1000,1.1661,0,10.04
8.6,500,500,0.0,500,500,0.0,1000,1.1626,0,9.94
8.5,500,500,0.0,500,500,0.0,1000,1.1838,0,9.83
8.4,500,500,0.0,500,500,0.0,1000,1.1557,0,9.74
8.3,500,500,0.0,500,500,0.0,1000,1.317,0,9.64
8.2,500,500,0.0,500,500,0.0,1000,1.2556,0,9.53
8.1,500,500,0.0,500,500,0.0,1000,1.4059,0,9.44
8.0,500,483,3.4,500,483,3.4,966,1.8888,106751,9.35
7.9,500,499,0.2,500,499,0.2,998,1.5594,0,9.24
7.8,500,500,0.0,500,500,0.0,1000,1.2279,0,9.13
7.7,500,500,0.0,500,500,0.0,1000,1.2406,0,9.04
7.6,500,500,0.0,500,500,0.0,1000,1.2736,0,8.94
7.5,500,500,0.0,500,500,0.0,1000,1.4201,0,8.84
7.4,500,500,0.0,500,500,0.0,1000,1.3546,0,8.74
7.3,500,500,0.0,500,500,0.0,1000,1.2759,0,8.64
7.2,500,500,0.0,500,500,0.0,1000,1.2766,0,8.53
7.1,500,500,0.0,500,500,0.0,1000,1.3391,0,8.44
7.0,500,500,0.0,500,500,0.0,1000,1.2147,0,8.34
6.9,500,500,0.0,500,500,0.0,1000,1.2669,0,8.24
6.8,500,500,0.0,500,500,0.0,1000,1.2196,0,8.14
6.7,500,500,0.0,500,500,0.0,1000,1.2444,0,8.03
6.6,500,500,0.0,500,500,0.0,1000,1.2262,0,7.94
6.5,500,500,0.0,500,500,0.0,1000,1.2236,0,7.84
6.4,500,500,0.0,500,500,0.0,1000,1.2173,0,7.74
6.3,500,500,0.0,500,500,0.0,1000,1.2118,0,7.63
6.2,500,500,0.0,500,500,0.0,1000,1.2166,0,7.54
6.1,500,500,0.0,500,500,0.0,1000,1.2199,0,7.44
6.0,500,500,0.0,500,500,0.0,1000,1.2557,0,7.34
5.9,500,500,0.0,500,500,0.0,1000,1.2696,0,7.24
5.8,500,500,0.0,500,500,0.0,1000,1.2624,0,7.14
5.7,500,500,0.0,500,500,0.0,1000,1.2393,0,7.04
5.6,500,500,0.0,500,500,0.0,1000,1.2532,0,6.94
5.5,500,500,0.0,500,500,0.0,1000,1.2115,0,6.83
5.4,500,500,0.0,500,500,0.0,1000,1.2347,0,6.73
5.3,500,500,0.0,500,500,0.0,1000,1.2906,0,6.64
5.2,500,500,0.0,500,500,0.0,1000,1.2427,0,6.54
5.1,500,500,0.0,500,500,0.0,1000,1.2509,0,6.44
5.0,500,500,0.0,500,500,0.0,1000,1.272,0,6.34
4.9,500,500,0.0,500,500,0.0,1000,1.2341,0,6.24
4.8,500,500,0.0,500,500,0.0,1000,1.2162,0,6.14
4.7,500,500,0.0,500,500,0.0,1000,1.1894,0,6.04
4.6,500,500,0.0,500,500,0.0,1000,1.1992,0,5.94
4.5,500,500,0.0,500,500,0.0,1000,1.1738,0,5.84
4.4,500,500,0.0,500,500,0.0,1000,1.2199,0,5.74
4.3,500,500,0.0,500,500,0.0,1000,1.2122,0,5.64
4.2,500,500,0.0,500,500,0.0,1000,1.2133,0,5.54
4.1,500,500,0.0,500,500,0.0,1000,1.186,0,5.44
4.0,500,500,0.0,500,500,0.0,1000,1.2355,0,5.34
3.9,500,500,0.0,500,500,0.0,1000,1.266,0,5.24
3.8,500,499,0.2,500,499,0.2,998,1.2163,0,5.14
3.7,500,499,0.2,500,499,0.2,998,1.2059,0,5.04
3.6,500,500,0.0,500,500,0.0,1000,1.2215,0,4.94
3.5,500,499,0.2,500,499,0.2,998,1.1239,0,4.84
3.4,500,500,0.0,500,500,0.0,1000,1.1585,0,4.74
3.3,500,500,0.0,500,500,0.0,1000,1.1054,0,4.64
3.2,500,500,0.0,500,500,0.0,1000,1.1009,0,4.54
3.1,500,493,1.4,500,493,1.4,986,1.2109,0,4.44
3.0,500,498,0.4,500,498,0.4,996,1.1109,0,4.34
2.9,500,495,1.0,500,495,1.0,990,1.1017,0,4.24
2.8,500,487,2.6,500,487,2.6,974,1.0955,0,4.14
2.7,500,482,3.6,500,482,3.6,964,1.1077,0,4.04
2.6,500,479,4.2,500,479,4.2,958,1.1149,0,3.94
2.5,500,463,7.4,500,463,7.4,926,1.1218,0,3.84
2.4,500,467,6.6,500,467,6.6,934,1.1068,0,3.74
2.3,500,449,10.2,500,449,10.2,898,1.1484,0,3.64
2.2,500,448,10.4,500,448,10.4,896,1.1377,0,3.54
2.1,500,436,12.8,500,436,12.8,872,1.1247,0,3.44
2.0,500,438,12.4,500,438,12.4,876,1.112,0,3.34
1.9,500,382,23.6,500,382,23.6,764,1.1624,0,3.24
1.8,500,370,26.0,500,370,26.0,740,1.1348,0,3.14
1.7,500,352,29.6,500,352,29.6,704,1.0904,0,3.04
1.6,500,256,48.8,500,256,48.8,512,1.0979,0,2.94
1.5,500,291,41.8,500,291,41.8,582,1.1334,0,2.84
1.4,500,228,54.4,500,228,54.4,456,1.3014,0,2.74
1.3,500,207,58.6,500,207,58.6,414,1.1177,0,2.64
1.2,500,210,58.0,500,210,58.0,420,1.1468,0,2.54
1.1,500,201,59.8,500,201,59.8,402,1.1133,0,2.44
1.0,500,188,62.4,500,188,62.4,376,1.1305,0,2.34
0.9,500,177,64.6,500,177,64.6,354,1.1304,0,2.24
0.8,500,171,65.8,500,171,65.8,342,1.1391,0,2.15
0.7,500,171,65.8,500,170,66.0,341,1.1356,0,2.04
0.6,500,170,66.0,500,169,66.2,339,1.1466,0,1.94
0.5,500,167,66.6,500,167,66.6,334,1.1903,0,1.84
0.4,500,166,66.8,500,166,66.8,332,1.1437,0,1.74
0.3,500,167,66.6,500,166,66.8,333,1.1656,0,1.64
0.2,500,163,67.4,500,163,67.4,326,1.1475,0,1.54
0.1,500,161,67.8,500,161,67.8,322,1.1696,0,1.44
