ifs_ms,sent_H,rx_H,per_H_pct,sent_Z,rx_Z,per_Z_pct,swaps,avg_swap_ms,overruns,wall_s
10.0,500,498,0.4,500,498,0.4,996,1.3597,0,13.38
9.9,500,497,0.6,500,497,0.6,994,1.3665,0,13.28
9.8,500,499,0.2,500,499,0.2,998,1.3874,0,13.18
9.7,500,496,0.8,500,496,0.8,992,1.403,0,13.08
9.6,500,499,0.2,500,499,0.2,998,1.3325,0,12.98
9.5,500,495,1.0,500,495,1.0,990,1.3304,0,12.88
9.4,500,494,1.2,500,494,1.2,988,1.3227,0,12.78
9.3,500,498,0.4,500,498,0.4,996,1.3345,0,12.68
9.2,500,496,0.8,500,496,0.8,992,1.3286,0,12.58
9.1,500,495,1.0,500,495,1.0,990,1.358,0,12.48
9.0,500,497,0.6,500,497,0.6,994,1.3459,0,12.39
8.9,500,495,1.0,500,495,1.0,990,1.3797,0,12.29
8.8,500,491,1.8,500,491,1.8,982,1.3046,0,12.18
8.7,500,496,0.8,500,496,0.8,992,1.3297,0,12.09
8.6,500,492,1.6,500,492,1.6,984,1.3719,0,11.99
8.5,500,493,1.4,500,493,1.4,986,1.3364,0,11.88
8.4,500,500,0.0,500,500,0.0,1000,1.4215,0,11.78
8.3,500,494,1.2,500,494,1.2,988,1.415,0,11.68
8.2,500,495,1.0,500,495,1.0,990,1.382,0,11.58
8.1,500,497,0.6,500,497,0.6,994,1.3384,0,11.48
8.0,500,497,0.6,500,497,0.6,994,1.3185,0,11.38
7.9,500,494,1.2,500,494,1.2,988,1.3697,0,11.29
7.8,500,493,1.4,500,493,1.4,986,1.398,0,11.18
7.7,500,493,1.4,500,493,1.4,986,1.3208,0,11.08
7.6,500,494,1.2,500,494,1.2,988,1.3067,0,10.98
7.5,500,491,1.8,500,491,1.8,982,1.3031,0,10.89
7.4,500,494,1.2,500,494,1.2,988,1.3197,0,10.78
7.3,500,496,0.8,500,496,0.8,992,1.3078,0,10.68
7.2,500,498,0.4,500,498,0.4,996,1.3106,0,10.59
7.1,500,495,1.0,500,495,1.0,990,1.3191,0,10.48
7.0,500,495,1.0,500,495,1.0,990,1.306,0,10.38
6.9,500,499,0.2,500,499,0.2,998,1.2961,0,10.29
6.8,500,497,0.6,500,497,0.6,994,1.3798,0,10.19
6.7,500,496,0.8,500,496,0.8,992,1.3646,0,10.08
6.6,500,496,0.8,500,496,0.8,992,1.3447,0,9.99
6.5,500,494,1.2,500,494,1.2,988,1.3574,0,9.89
6.4,500,496,0.8,500,496,0.8,992,1.4244,0,9.79
6.3,500,495,1.0,500,495,1.0,990,1.4544,0,9.69
6.2,500,498,0.4,500,498,0.4,996,1.4447,0,9.58
6.1,500,492,1.6,500,492,1.6,984,1.4194,0,9.49
6.0,500,493,1.4,500,493,1.4,986,1.4786,0,9.39
5.9,500,499,0.2,500,499,0.2,998,1.4705,0,9.29
5.8,500,499,0.2,500,499,0.2,998,1.3857,0,9.18
5.7,500,498,0.4,500,498,0.4,996,1.3453,0,9.09
5.6,500,499,0.2,500,499,0.2,998,1.3417,0,8.99
5.5,500,496,0.8,500,496,0.8,992,1.3159,0,8.89
5.4,500,491,1.8,500,491,1.8,982,1.3662,0,8.78
5.3,500,499,0.2,500,499,0.2,998,1.3549,0,8.69
5.2,500,492,1.6,500,492,1.6,984,1.304,0,8.59
5.1,500,498,0.4,500,498,0.4,996,1.3558,0,8.49
5.0,500,492,1.6,500,492,1.6,984,1.3816,0,8.39
4.9,500,497,0.6,500,497,0.6,994,1.3468,0,8.29
4.8,500,494,1.2,500,494,1.2,988,1.3474,0,8.19
4.7,500,497,0.6,500,497,0.6,994,1.4496,0,8.09
4.6,500,496,0.8,500,496,0.8,992,1.365,0,7.99
4.5,500,497,0.6,500,497,0.6,994,1.3186,0,7.89
4.4,500,499,0.2,500,499,0.2,998,1.3186,0,7.79
4.3,500,494,1.2,500,494,1.2,988,1.3207,0,7.69
4.2,500,498,0.4,500,498,0.4,996,1.3283,0,7.59
4.1,500,495,1.0,500,495,1.0,990,1.349,0,7.49
4.0,500,495,1.0,500,495,1.0,990,1.4718,0,7.39
3.9,500,498,0.4,500,498,0.4,996,1.373,0,7.29
3.8,500,497,0.6,500,497,0.6,994,1.3934,0,7.19
3.7,500,497,0.6,500,497,0.6,994,1.3964,0,7.09
3.6,500,494,1.2,500,494,1.2,988,1.4276,0,6.99
3.5,500,494,1.2,500,494,1.2,988,1.3691,0,6.89
3.4,500,496,0.8,500,496,0.8,992,1.4052,0,6.79
3.3,500,495,1.0,500,495,1.0,990,1.3232,0,6.69
3.2,500,492,1.6,500,492,1.6,984,1.4318,0,6.59
3.1,500,491,1.8,500,491,1.8,982,1.4929,0,6.49
3.0,500,489,2.2,500,489,2.2,978,1.4914,0,6.39
2.9,500,493,1.4,500,493,1.4,986,1.3788,0,6.29
2.8,500,497,0.6,500,497,0.6,994,1.3407,0,6.19
2.7,500,497,0.6,500,497,0.6,994,1.3296,0,6.09
2.6,500,493,1.4,500,493,1.4,986,1.3223,0,5.99
2.5,500,488,2.4,500,488,2.4,976,1.3264,0,5.89
2.4,500,487,2.6,500,487,2.6,974,1.3072,0,5.79
2.3,500,490,2.0,500,490,2.0,980,1.291,0,5.69
2.2,500,479,4.2,500,479,4.2,958,1.309,0,5.59
2.1,500,469,6.2,500,469,6.2,938,1.3003,0,5.49
2.0,500,379,24.2,500,379,24.2,758,1.3816,0,5.39
1.9,500,306,38.8,500,304,39.2,610,1.5935,0,5.3
1.8,500,344,31.2,500,344,31.2,688,1.4039,0,5.19
1.7,500,283,43.4,500,283,43.4,566,1.556,0,5.09
1.6,500,301,39.8,500,301,39.8,602,1.4241,0,4.99
1.5,500,276,44.8,500,276,44.8,552,1.3876,0,4.89
1.4,500,256,48.8,500,256,48.8,512,1.2924,0,4.79
1.3,500,250,50.0,500,250,50.0,500,1.2994,0,4.69
