ifs_ms,sent_H,rx_H,per_H_pct,sent_Z,rx_Z,per_Z_pct,swaps,avg_swap_ms,overruns,wall_s
10.0,1000,992,0.8,0,0,nan,992,1.4632,0,13.04
9.9,1000,987,1.3,0,0,nan,987,1.4711,0,12.94
9.8,1000,985,1.5,0,0,nan,985,1.4423,0,12.84
9.7,1000,988,1.2,0,0,nan,988,1.4612,0,12.74
9.6,1000,989,1.1,0,0,nan,989,1.4877,0,12.64
9.5,1000,990,1.0,0,0,nan,990,1.4322,0,12.54
9.4,1000,990,1.0,0,0,nan,990,1.4183,0,12.44
9.3,1000,983,1.7,0,0,nan,983,1.4665,0,12.34
9.2,1000,984,1.6,0,0,nan,984,1.4233,0,12.24
9.1,1000,992,0.8,0,0,nan,992,1.4739,0,12.14
9.0,1000,991,0.9,0,0,nan,991,1.4797,0,12.04
8.9,1000,983,1.7,0,0,nan,983,1.4685,0,11.94
8.8,1000,985,1.5,0,0,nan,985,1.4515,0,11.84
8.7,1000,986,1.4,0,0,nan,986,1.4316,0,11.74
8.6,1000,989,1.1,0,0,nan,989,1.429,0,11.64
8.5,1000,989,1.1,0,0,nan,989,1.4563,0,11.54
8.4,1000,992,0.8,0,0,nan,992,1.4602,0,11.44
8.3,1000,983,1.7,0,0,nan,983,1.4665,0,11.34
8.2,1000,989,1.1,0,0,nan,989,1.4427,0,11.24
8.1,1000,988,1.2,0,0,nan,988,1.4633,0,11.14
8.0,1000,989,1.1,0,0,nan,989,1.4314,0,11.04
7.9,1000,990,1.0,0,0,nan,990,1.4632,0,10.94
7.8,1000,988,1.2,0,0,nan,988,1.468,0,10.84
7.7,1000,992,0.8,0,0,nan,992,1.4617,0,10.74
7.6,1000,985,1.5,0,0,nan,985,1.453,0,10.64
7.5,1000,990,1.0,0,0,nan,990,1.4698,0,10.54
7.4,1000,992,0.8,0,0,nan,992,1.4417,0,10.44
7.3,1000,988,1.2,0,0,nan,988,1.4207,0,10.34
7.2,1000,986,1.4,0,0,nan,986,1.4595,0,10.24
7.1,1000,989,1.1,0,0,nan,989,1.425,0,10.14
7.0,1000,987,1.3,0,0,nan,987,1.4709,0,10.04
6.9,1000,990,1.0,0,0,nan,990,1.4987,0,9.94
6.8,1000,990,1.0,0,0,nan,990,1.5524,0,9.84
6.7,1000,989,1.1,0,0,nan,989,1.5366,0,9.74
6.6,1000,986,1.4,0,0,nan,986,1.464,0,9.64
6.5,1000,990,1.0,0,0,nan,990,1.4628,0,9.54
6.4,1000,988,1.2,0,0,nan,988,1.4918,0,9.44
6.3,1000,982,1.8,0,0,nan,982,1.4751,0,9.34
6.2,1000,982,1.8,0,0,nan,982,1.4672,0,9.24
6.1,1000,993,0.7,0,0,nan,993,1.4552,0,9.14
6.0,1000,985,1.5,0,0,nan,985,1.4661,0,9.04
5.9,1000,990,1.0,0,0,nan,990,1.4853,0,8.94
5.8,1000,987,1.3,0,0,nan,987,1.4281,0,8.84
5.7,1000,989,1.1,0,0,nan,989,1.4762,0,8.74
5.6,1000,993,0.7,0,0,nan,993,1.4131,0,8.64
5.5,1000,988,1.2,0,0,nan,988,1.4364,0,8.54
5.4,1000,987,1.3,0,0,nan,987,1.4181,0,8.45
5.3,1000,989,1.1,0,0,nan,989,1.4159,0,8.35
5.2,1000,995,0.5,0,0,nan,995,1.4127,0,8.25
5.1,1000,987,1.3,0,0,nan,987,1.417,0,8.15
5.0,1000,994,0.6,0,0,nan,994,1.4062,0,8.04
4.9,1000,991,0.9,0,0,nan,991,1.3796,0,7.94
4.8,1000,990,1.0,0,0,nan,990,1.4361,0,7.84
4.7,1000,988,1.2,0,0,nan,988,1.4366,0,7.74
4.6,1000,982,1.8,0,0,nan,982,1.4213,0,7.65
4.5,1000,984,1.6,0,0,nan,984,1.4308,0,7.55
4.4,1000,992,0.8,0,0,nan,992,1.4334,0,7.44
4.3,1000,988,1.2,0,0,nan,988,1.4327,0,7.35
4.2,1000,989,1.1,0,0,nan,989,1.4349,0,7.24
4.1,1000,993,0.7,0,0,nan,993,1.4297,0,7.15
4.0,1000,986,1.4,0,0,nan,986,1.4502,0,7.04
3.9,1000,991,0.9,0,0,nan,991,1.485,0,6.95
3.8,1000,989,1.1,0,0,nan,989,1.4262,0,6.84
3.7,1000,986,1.4,0,0,nan,986,1.4573,0,6.74
3.6,1000,995,0.5,0,0,nan,995,1.3935,0,6.64
3.5,1000,986,1.4,0,0,nan,986,1.4295,0,6.54
3.4,1000,986,1.4,0,0,nan,986,1.408,0,6.45
3.3,1000,990,1.0,0,0,nan,990,1.4132,0,6.35
3.2,1000,989,1.1,0,0,nan,989,1.4316,0,6.25
3.1,1000,991,0.9,0,0,nan,991,1.436,0,6.14
3.0,1000,994,0.6,0,0,nan,994,1.4361,0,6.05
