ifs_ms,sent_H,rx_H,per_H_pct,sent_Z,rx_Z,per_Z_pct,swaps,avg_swap_ms,overruns,wall_s
10.0,500,491,1.8,500,491,1.8,982,1.0029,0,13.38
9.9,500,493,1.4,500,493,1.4,986,0.9894,0,13.28
9.8,500,496,0.8,500,496,0.8,992,1.0135,0,13.18
9.7,500,497,0.6,500,497,0.6,994,1.035,0,13.08
9.6,500,494,1.2,500,494,1.2,988,1.0011,0,12.98
9.5,500,494,1.2,500,494,1.2,988,1.0199,0,12.88
9.4,500,493,1.4,500,493,1.4,986,0.9793,0,12.78
9.3,500,494,1.2,500,494,1.2,988,1.0072,0,12.68
9.2,500,495,1.0,500,495,1.0,990,0.987,0,12.58
9.1,500,495,1.0,500,495,1.0,990,0.9895,0,12.48
9.0,500,498,0.4,500,498,0.4,996,0.9927,0,12.38
8.9,500,494,1.2,500,494,1.2,988,0.982,0,12.28
8.8,500,494,1.2,500,494,1.2,988,0.9728,0,12.18
8.7,500,493,1.4,500,493,1.4,986,1.0017,0,12.08
8.6,500,492,1.6,500,492,1.6,984,0.9803,0,11.98
8.5,500,490,2.0,500,490,2.0,980,0.9692,0,11.88
8.4,500,493,1.4,500,493,1.4,986,0.9902,0,11.78
8.3,500,493,1.4,500,493,1.4,986,0.9855,0,11.68
8.2,500,493,1.4,500,493,1.4,986,1.0042,0,11.58
8.1,500,498,0.4,500,498,0.4,996,0.9942,0,11.48
8.0,500,498,0.4,500,498,0.4,996,0.9792,0,11.38
7.9,500,497,0.6,500,497,0.6,994,0.9702,0,11.28
7.8,500,493,1.4,500,493,1.4,986,0.9857,0,11.18
7.7,500,493,1.4,500,493,1.4,986,0.9907,0,11.09
7.6,500,493,1.4,500,493,1.4,986,0.9771,0,10.99
7.5,500,493,1.4,500,493,1.4,986,0.9841,0,10.88
7.4,500,493,1.4,500,493,1.4,986,0.999,0,10.79
7.3,500,491,1.8,500,491,1.8,982,0.984,0,10.68
7.2,500,497,0.6,500,497,0.6,994,0.9538,0,10.58
7.1,500,491,1.8,500,491,1.8,982,0.9805,0,10.48
7.0,500,498,0.4,500,498,0.4,996,0.9852,0,10.38
6.9,500,495,1.0,500,495,1.0,990,0.9839,0,10.28
6.8,500,495,1.0,500,495,1.0,990,0.9877,0,10.18
6.7,500,497,0.6,500,497,0.6,994,0.9883,0,10.08
