ifs_ms,sent_H,rx_H,per_H_pct,sent_Z,rx_Z,per_Z_pct,swaps,avg_swap_ms,overruns,wall_s
10.0,0,0,nan,1000,1000,0.0,1000,0.5464,0,13.72
9.9,0,0,nan,1000,1000,0.0,1000,0.5473,0,13.62
9.8,0,0,nan,1000,1000,0.0,1000,0.5536,0,13.52
9.7,0,0,nan,1000,1000,0.0,1000,0.5695,0,13.42
9.6,0,0,nan,1000,1000,0.0,1000,0.5469,0,13.31
9.5,0,0,nan,1000,1000,0.0,1000,0.5518,0,13.22
9.4,0,0,nan,1000,1000,0.0,1000,0.5453,0,13.12
9.3,0,0,nan,1000,1000,0.0,1000,0.5452,0,13.02
9.2,0,0,nan,1000,1000,0.0,1000,0.5483,0,12.92
9.1,0,0,nan,1000,1000,0.0,1000,0.5388,0,12.82
9.0,0,0,nan,1000,1000,0.0,1000,0.5596,0,12.72
8.9,0,0,nan,1000,1000,0.0,1000,0.5395,0,12.62
8.8,0,0,nan,1000,1000,0.0,1000,0.5528,0,12.52
8.7,0,0,nan,1000,1000,0.0,1000,0.5278,0,12.42
8.6,0,0,nan,1000,1000,0.0,1000,0.5445,0,12.31
8.5,0,0,nan,1000,1000,0.0,1000,0.5319,0,12.22
8.4,0,0,nan,1000,1000,0.0,1000,0.5445,0,12.11
8.3,0,0,nan,1000,1000,0.0,1000,0.5414,0,12.02
8.2,0,0,nan,1000,1000,0.0,1000,0.5459,0,11.92
8.1,0,0,nan,1000,1000,0.0,1000,0.5479,0,11.82
8.0,0,0,nan,1000,1000,0.0,1000,0.5394,0,11.72
7.9,0,0,nan,1000,1000,0.0,1000,0.5493,0,11.62
7.8,0,0,nan,1000,1000,0.0,1000,0.544,0,11.52
7.7,0,0,nan,1000,1000,0.0,1000,0.5507,0,11.42
7.6,0,0,nan,1000,1000,0.0,1000,0.538,0,11.32
7.5,0,0,nan,1000,1000,0.0,1000,0.5488,0,11.22
7.4,0,0,nan,1000,1000,0.0,1000,0.5514,0,11.12
7.3,0,0,nan,1000,1000,0.0,1000,0.5692,0,11.02
7.2,0,0,nan,1000,1000,0.0,1000,0.5646,0,10.92
7.1,0,0,nan,1000,1000,0.0,1000,0.5519,0,10.82
7.0,0,0,nan,1000,1000,0.0,1000,0.5366,0,10.72
6.9,0,0,nan,1000,1000,0.0,1000,0.5449,0,10.62
6.8,0,0,nan,1000,1000,0.0,1000,0.5345,0,10.52
6.7,0,0,nan,1000,1000,0.0,1000,0.545,0,10.42
6.6,0,0,nan,1000,1000,0.0,1000,0.5458,0,10.32
6.5,0,0,nan,1000,1000,0.0,1000,0.5531,0,10.22
6.4,0,0,nan,1000,1000,0.0,1000,0.5489,0,10.12
6.3,0,0,nan,1000,1000,0.0,1000,0.5458,0,10.02
6.2,0,0,nan,1000,1000,0.0,1000,0.549,0,9.92
6.1,0,0,nan,1000,1000,0.0,1000,0.5351,0,9.82
6.0,0,0,nan,1000,1000,0.0,1000,0.5403,0,9.72
5.9,0,0,nan,1000,1000,0.0,1000,0.5409,0,9.62
5.8,0,0,nan,1000,1000,0.0,1000,0.5387,0,9.52
5.7,0,0,nan,1000,1000,0.0,1000,0.5291,0,9.42
5.6,0,0,nan,1000,1000,0.0,1000,0.542,0,9.32
5.5,0,0,nan,1000,1000,0.0,1000,0.545,0,9.22
5.4,0,0,nan,1000,1000,0.0,1000,0.5411,0,9.12
5.3,0,0,nan,1000,1000,0.0,1000,0.5572,0,9.02
5.2,0,0,nan,1000,1000,0.0,1000,0.5413,0,8.92
5.1,0,0,nan,1000,1000,0.0,1000,0.5347,0,8.82
5.0,0,0,nan,1000,1000,0.0,1000,0.5404,0,8.72
4.9,0,0,nan,1000,1000,0.0,1000,0.543,0,8.62
4.8,0,0,nan,1000,1000,0.0,1000,0.5565,0,8.52
4.7,0,0,nan,1000,1000,0.0,1000,0.5488,0,8.42
4.6,0,0,nan,1000,1000,0.0,1000,0.5574,0,8.32
4.5,0,0,nan,1000,1000,0.0,1000,0.542,0,8.22
4.4,0,0,nan,1000,1000,0.0,1000,0.5547,0,8.12
4.3,0,0,nan,1000,1000,0.0,1000,0.5386,0,8.02
4.2,0,0,nan,1000,1000,0.0,1000,0.5447,0,7.92
4.1,0,0,nan,1000,1000,0.0,1000,0.5337,0,7.82
4.0,0,0,nan,1000,1000,0.0,1000,0.5345,0,7.72
3.9,0,0,nan,1000,1000,0.0,1000,0.5387,0,7.62
3.8,0,0,nan,1000,1000,0.0,1000,0.5299,0,7.53
3.7,0,0,nan,1000,1000,0.0,1000,0.5369,0,7.42
3.6,0,0,nan,1000,1000,0.0,1000,0.5456,0,7.32
3.5,0,0,nan,1000,1000,0.0,1000,0.5377,0,7.22
3.4,0,0,nan,1000,1000,0.0,1000,0.5366,0,7.12
3.3,0,0,nan,1000,1000,0.0,1000,0.5508,0,7.02
3.2,0,0,nan,1000,1000,0.0,1000,0.5163,0,6.92
3.1,0,0,nan,1000,1000,0.0,1000,0.5121,0,6.82
3.0,0,0,nan,1000,1000,0.0,1000,0.5057,0,6.72
2.9,0,0,nan,1000,1000,0.0,1000,0.5114,0,6.62
2.8,0,0,nan,1000,1000,0.0,1000,0.5565,0,6.52
2.7,0,0,nan,1000,1000,0.0,1000,0.549,0,6.42
2.6,0,0,nan,1000,1000,0.0,1000,0.59,0,6.32
