swap_idx,from,to,read_toml,disconnect,retune_radio,park_selectors,load_plugins,build_read_toml,build_create_blocks,build_connect,build_bridge_ports,start_runtime,reconnect,terminate_spawn,unpark_selectors,build_and_start,total,t_ms
0,Z,H,0.1773,0.0026,0.0007,0.0001,0.0017,0.1344,0.2390,0.0662,0.0405,0.1119,0.0007,0.0395,0.0003,0.5971,0.8215,255.351
1,H,Z,0.1293,0.0019,0.0006,0.0001,0.0014,0.0986,0.0305,0.0868,0.0457,0.0688,0.0050,0.0331,0.0015,0.3348,0.5088,305.883
2,Z,H,0.1714,0.0022,0.0006,0.0001,0.0017,0.1170,0.2323,0.0560,0.0365,0.0914,0.0013,0.0478,0.0002,0.5392,0.7656,356.689
3,H,Z,0.1481,0.0018,0.0005,0.0002,0.0010,0.1048,0.0311,0.0836,0.0399,0.0651,0.0007,0.0304,0.0001,0.3290,0.5130,407.243
4,Z,H,0.1674,0.0019,0.0005,0.0001,0.0015,0.1116,0.2682,0.0615,0.0388,0.0744,0.0072,0.0316,0.0001,0.5595,0.7712,458.047
5,H,Z,0.1242,0.0022,0.0005,0.0001,0.0014,0.0926,0.0344,0.0974,0.0392,0.0504,0.0006,0.0316,0.0001,0.3185,0.4803,508.552
6,Z,H,0.1345,0.0017,0.0004,0.0002,0.0013,0.1032,0.1356,0.0572,0.0417,0.0714,0.0029,0.0514,0.0002,0.4158,0.6095,559.203
7,H,Z,0.1221,0.0020,0.0004,0.0001,0.0011,0.0928,0.0337,0.0948,0.0424,0.0459,0.0013,0.0293,0.0001,0.3134,0.4709,609.706
8,Z,H,0.2720,0.0049,0.0010,0.0004,0.0033,0.1814,0.4112,0.1137,0.1088,0.0893,0.0174,0.0395,0.0003,0.9114,1.2518,660.990
9,H,Z,0.2742,0.0047,0.0011,0.0006,0.0030,0.1651,0.0544,0.1887,0.1110,0.0560,0.0011,0.0558,0.0003,0.5819,0.9247,711.945
10,Z,H,0.2719,0.0046,0.0011,0.0004,0.0034,0.1750,0.4446,0.1132,0.0918,0.0968,0.0222,0.0529,0.0002,0.9294,1.2880,763.266
11,H,Z,0.1519,0.0026,0.0009,0.0002,0.0019,0.1009,0.0414,0.1078,0.0499,0.0639,0.0220,0.0548,0.0002,0.3699,0.6057,813.903
12,Z,H,0.1548,0.0028,0.0007,0.0004,0.0023,0.1150,0.1456,0.0754,0.0405,0.0885,0.0173,0.0659,0.0002,0.4727,0.7185,864.676
13,H,Z,0.1490,0.0021,0.0009,0.0002,0.0015,0.0953,0.0403,0.1059,0.0462,0.0473,0.0009,0.0499,0.0002,0.3399,0.5460,915.250
