swap_idx,from,to,read_toml,disconnect,retune_radio,park_selectors,load_plugins,build_read_toml,build_create_blocks,build_connect,build_bridge_ports,start_runtime,reconnect,terminate_spawn,unpark_selectors,build_and_start,total,t_ms
0,Z,H,0.2346,0.0022,0.0005,0.0001,0.0023,0.1661,0.5609,0.2316,0.0371,0.1008,0.0007,0.0411,0.0002,1.1031,1.3857,257.618
1,H,Z,0.1667,0.0022,0.0009,0.0002,0.0015,0.1004,0.0337,0.0954,0.0406,0.0549,0.0156,0.0420,0.0002,0.3282,0.5589,308.200
2,Z,H,0.2313,0.0024,0.0007,0.0003,0.0025,0.1846,0.5699,0.2391,0.0398,0.0990,0.0007,0.0325,0.0002,1.1421,1.4140,359.654
3,H,Z,0.2451,0.0042,0.0009,0.0004,0.0026,0.1551,0.0488,0.1844,0.1061,0.0658,0.0007,0.0348,0.0002,0.5662,0.8571,410.556
4,Z,H,0.2355,0.0026,0.0009,0.0002,0.0026,0.1698,0.5539,0.2395,0.0365,0.1546,0.0008,0.0336,0.0001,1.1624,1.4404,462.031
5,H,Z,0.2542,0.0039,0.0009,0.0003,0.0026,0.1547,0.0459,0.1785,0.1041,0.0590,0.0009,0.0383,0.0002,0.5479,0.8509,512.917
6,Z,H,0.2340,0.0025,0.0009,0.0002,0.0024,0.1798,0.5687,0.2398,0.0415,0.1208,0.0007,0.0316,0.0002,1.1573,1.4307,564.388
7,H,Z,0.1339,0.0023,0.0008,0.0003,0.0014,0.0949,0.0428,0.1006,0.0450,0.0560,0.0008,0.0424,0.0002,0.3442,0.5278,614.949
8,Z,H,0.2116,0.0031,0.0011,0.0003,0.0032,0.1613,0.4470,0.2460,0.0384,0.1045,0.0087,0.0486,0.0004,1.0048,1.2833,666.261
9,H,Z,0.1882,0.0035,0.0010,0.0005,0.0020,0.1039,0.0399,0.1045,0.0499,0.0588,0.0293,0.0397,0.0002,0.3619,0.6279,716.955
10,Z,H,0.2473,0.0028,0.0006,0.0002,0.0021,0.1801,0.5722,0.2380,0.0371,0.1308,0.0007,0.0379,0.0002,1.1656,1.4587,768.444
11,H,Z,0.2724,0.0049,0.0009,0.0005,0.0030,0.1850,0.0535,0.2047,0.1079,0.0574,0.0065,0.0362,0.0003,0.6170,0.9437,819.430
