swap_idx,from,to,read_toml,disconnect,retune_radio,park_selectors,load_plugins,build_read_toml,build_create_blocks,build_connect,build_bridge_ports,start_runtime,reconnect,terminate_spawn,unpark_selectors,build_and_start,total,t_ms
0,Z,H,0.2221,0.0027,0.0012,0.0002,0.0030,0.1691,0.4489,0.2429,0.0370,0.1211,0.0025,0.0620,0.0004,1.0269,1.3226,257.964
1,H,Z,0.3332,0.0027,0.0009,0.0003,0.0030,0.1761,0.5825,0.2508,0.0359,0.1189,0.0009,0.0406,0.0002,1.1715,1.5548,309.555
2,Z,H,0.3440,0.0046,0.0009,0.0003,0.0044,0.2548,0.5508,0.2390,0.0371,0.0890,0.0008,0.0416,0.0003,1.1787,1.5773,361.170
3,H,Z,0.4009,0.0046,0.0013,0.0005,0.0052,0.2841,1.0673,0.2926,0.0450,0.1108,0.0009,0.0423,0.0002,1.8092,2.2671,413.476
4,Z,H,0.2450,0.0030,0.0009,0.0005,0.0029,0.1819,0.5637,0.2394,0.0392,0.1229,0.0014,0.0622,0.0002,1.1566,1.4747,464.998
5,H,Z,0.3292,0.0056,0.0011,0.0005,0.0066,0.2525,0.4917,0.3596,0.0544,0.1171,0.0038,0.0729,0.0002,1.2852,1.7075,516.763
6,Z,H,0.3084,0.0047,0.0011,0.0003,0.0049,0.2359,0.8395,0.5017,0.0857,0.0973,0.0008,0.0381,0.0002,1.7690,2.1295,568.973
7,H,Z,0.3152,0.0039,0.0012,0.0004,0.0045,0.2403,0.8578,0.5634,0.0858,0.1155,0.0043,0.0642,0.0004,1.8762,2.2723,621.301
8,Z,H,0.3782,0.0049,0.0010,0.0005,0.0044,0.2709,1.0023,0.5301,0.0900,0.1338,0.0197,0.0741,0.0002,2.0375,2.5227,673.904
9,H,Z,0.2215,0.0033,0.0011,0.0005,0.0034,0.1506,0.3662,0.2651,0.0355,0.1359,0.0017,0.0824,0.0004,0.9632,1.2796,725.238
10,Z,H,0.2827,0.0045,0.0010,0.0004,0.0055,0.2254,0.8259,0.5029,0.0852,0.0972,0.0010,0.0518,0.0003,1.7448,2.0937,777.418
11,H,Z,0.3406,0.0034,0.0015,0.0004,0.0044,0.1899,0.6850,0.3240,0.0410,0.1154,0.0008,0.0547,0.0002,1.3654,1.7732,829.224
12,Z,H,0.3842,0.0042,0.0010,0.0004,0.0048,0.2672,1.0288,0.5036,0.0865,0.1189,0.0049,0.0493,0.0002,2.0147,2.4651,881.734
13,H,Z,0.2441,0.0021,0.0006,0.0003,0.0026,0.1703,0.5632,0.3128,0.0396,0.0929,0.0088,0.0389,0.0002,1.1864,1.4854,933.245
14,Z,H,0.3092,0.0051,0.0012,0.0004,0.0047,0.2380,0.5626,0.2804,0.0398,0.1018,0.0010,0.0647,0.0003,1.2308,1.6189,984.901
15,H,Z,0.2725,0.0024,0.0009,0.0002,0.0028,0.1751,0.3748,0.2624,0.0364,0.0916,0.0067,0.0563,0.0001,0.9487,1.2924,1036.232
16,Z,H,0.2852,0.0034,0.0008,0.0003,0.0036,0.2270,0.5562,0.2450,0.0389,0.0816,0.0008,0.0497,0.0002,1.1571,1.5027,1087.820
17,H,Z,0.2114,0.0022,0.0009,0.0002,0.0022,0.1611,0.3755,0.2541,0.1730,0.1248,0.0304,0.0642,0.0002,1.1025,1.4156,1139.289
18,Z,H,0.2774,0.0033,0.0009,0.0005,0.0038,0.1740,0.5572,0.3011,0.0506,0.1066,0.0008,0.0558,0.0003,1.1984,1.5428,1190.874
19,H,Z,0.2125,0.0018,0.0006,0.0001,0.0027,0.1589,0.3689,0.2516,0.0362,0.0849,0.0160,0.0538,0.0001,0.9128,1.2020,1242.119
20,Z,H,0.2844,0.0035,0.0009,0.0003,0.0051,0.2312,0.7893,0.5250,0.0871,0.0967,0.0009,0.0527,0.0001,1.7399,2.0894,1294.259
21,H,Z,0.2106,0.0027,0.0008,0.0002,0.0025,0.1553,0.4515,0.2474,0.0360,0.1129,0.0047,0.0389,0.0002,1.0106,1.2726,1345.577
22,Z,H,0.3169,0.0044,0.0012,0.0003,0.0043,0.2387,0.7920,0.5378,0.1087,0.0960,0.0052,0.0565,0.0001,1.7823,2.1730,1397.808
23,H,Z,0.3314,0.0041,0.0011,0.0005,0.0041,0.2548,0.4692,0.2546,0.0375,0.1116,0.0009,0.0354,0.0002,1.1361,1.5161,1449.362
24,Z,H,0.2212,0.0038,0.0011,0.0004,0.0034,0.1542,0.4013,0.3267,0.0416,0.1365,0.0267,0.0611,0.0003,1.0711,1.3910,1500.812
25,H,Z,0.2555,0.0032,0.0010,0.0005,0.0034,0.1856,0.5748,0.2547,0.0393,0.1067,0.0010,0.0394,0.0003,1.1693,1.4755,1552.338
26,Z,H,0.2144,0.0031,0.0011,0.0003,0.0031,0.1594,0.3792,0.2478,0.0375,0.1339,0.0009,0.0453,0.0002,0.9667,1.2367,1603.608
27,H,Z,0.2069,0.0024,0.0007,0.0003,0.0030,0.1560,0.3589,0.2378,0.0362,0.1031,0.0198,0.0337,0.0002,0.8981,1.1666,1654.811
28,Z,H,0.2827,0.0038,0.0009,0.0003,0.0049,0.2242,0.8055,0.4944,0.0860,0.1319,0.0007,0.0556,0.0001,1.7512,2.1019,1706.991
29,H,Z,0.2878,0.0035,0.0009,0.0004,0.0044,0.2274,0.6402,0.2455,0.0347,0.1118,0.0005,0.0426,0.0001,1.2669,1.6086,1758.636
30,Z,H,0.4904,0.0042,0.0008,0.0003,0.0039,0.2707,0.6719,0.2229,0.0368,0.1000,0.0025,0.0406,0.0002,1.3093,1.8538,1810.547
31,H,Z,0.2327,0.0026,0.0008,0.0001,0.0021,0.1684,0.5613,0.2258,0.0352,0.1222,0.0008,0.0433,0.0001,1.1187,1.4025,1861.981
32,Z,H,0.2909,0.0041,0.0010,0.0005,0.0044,0.2322,0.7550,0.2395,0.0353,0.1127,0.0011,0.0420,0.0002,1.3836,1.7295,1913.766
33,H,Z,0.3060,0.0040,0.0010,0.0006,0.0038,0.2361,0.7063,0.5217,0.0873,0.1211,0.0010,0.0571,0.0003,1.6814,2.0570,1965.877
34,Z,H,0.2092,0.0022,0.0008,0.0002,0.0022,0.1656,0.3579,0.2699,0.0386,0.1085,0.0046,0.0738,0.0003,0.9490,1.2438,2017.168
35,H,Z,0.2315,0.0021,0.0006,0.0002,0.0021,0.1559,0.5674,0.2204,0.0358,0.1220,0.0008,0.0343,0.0001,1.1080,1.3810,2068.591
36,Z,H,0.1888,0.0022,0.0005,0.0001,0.0023,0.1482,0.3498,0.2279,0.0356,0.1055,0.0007,0.0338,0.0001,0.8744,1.1043,2119.738
37,H,Z,0.2111,0.0031,0.0008,0.0003,0.0032,0.1604,0.4271,0.2622,0.0535,0.1329,0.0008,0.0458,0.0002,1.0434,1.3107,2171.106
38,Z,H,0.2315,0.0023,0.0007,0.0001,0.0025,0.1667,0.3805,0.2463,0.0363,0.0916,0.0311,0.0627,0.0001,0.9312,1.2641,2222.431
39,H,Z,0.2067,0.0029,0.0007,0.0002,0.0027,0.1509,0.3662,0.2486,0.0358,0.1018,0.0005,0.0432,0.0002,0.9109,1.1696,2273.635
40,Z,H,0.3174,0.0046,0.0010,0.0005,0.0052,0.2484,0.3719,0.2921,0.0423,0.1197,0.0016,0.0767,0.0003,1.0855,1.4946,2325.177
41,H,Z,0.2121,0.0032,0.0009,0.0003,0.0032,0.1632,0.4526,0.2392,0.0364,0.1313,0.0015,0.0794,0.0003,1.0314,1.3340,2376.563
42,Z,H,0.2104,0.0041,0.0010,0.0003,0.0028,0.1529,0.3626,0.2406,0.0361,0.1204,0.0009,0.0447,0.0002,0.9237,1.1895,2427.794
43,H,Z,0.2060,0.0026,0.0006,0.0003,0.0027,0.1624,0.3623,0.2366,0.0357,0.1511,0.0014,0.0593,0.0002,0.9560,1.2305,2479.069
44,Z,H,0.2076,0.0028,0.0007,0.0004,0.0029,0.1574,0.3731,0.2605,0.0396,0.1296,0.0045,0.0425,0.0002,0.9671,1.2302,2530.341
45,H,Z,0.3132,0.0045,0.0009,0.0005,0.0051,0.2506,0.7782,0.5649,0.0948,0.1548,0.0012,0.0387,0.0002,1.8529,2.2193,2582.598
46,Z,H,0.3153,0.0044,0.0009,0.0004,0.0043,0.2354,0.7124,0.5281,0.0881,0.1188,0.0009,0.0442,0.0002,1.6925,2.0649,2634.709
47,H,Z,0.3158,0.0043,0.0010,0.0005,0.0046,0.2358,0.7952,0.2686,0.0394,0.1484,0.0008,0.0439,0.0001,1.4951,1.8677,2686.612
48,Z,H,0.2172,0.0030,0.0009,0.0002,0.0031,0.1660,0.3624,0.2551,0.0367,0.1021,0.0239,0.0713,0.0003,0.9361,1.2577,2737.925
49,H,Z,0.2074,0.0026,0.0007,0.0003,0.0032,0.1557,0.3595,0.2570,0.0373,0.0972,0.0011,0.0475,0.0002,0.9148,1.1794,2789.170
50,Z,H,0.1975,0.0023,0.0008,0.0001,0.0027,0.1621,0.4713,0.2472,0.0353,0.1141,0.0218,0.0408,0.0002,1.0362,1.3036,2840.510
51,H,Z,0.2017,0.0034,0.0007,0.0003,0.0033,0.1577,0.3658,0.2534,0.0366,0.1330,0.0006,0.0455,0.0001,0.9531,1.2102,2891.763
52,Z,H,0.3064,0.0042,0.0009,0.0004,0.0050,0.2279,0.7003,0.4955,0.0844,0.0961,0.0065,0.0424,0.0002,1.6115,1.9792,2943.811
53,H,Z,0.2008,0.0021,0.0008,0.0004,0.0024,0.1599,0.3649,0.2369,0.0351,0.1254,0.0174,0.0538,0.0001,0.9306,1.2104,2995.073
54,Z,H,0.2923,0.0036,0.0008,0.0003,0.0040,0.2316,0.7752,0.5218,0.1351,0.1677,0.0007,0.0389,0.0002,1.8421,2.1845,3047.295
55,H,Z,0.2759,0.0028,0.0009,0.0003,0.0027,0.1700,0.3829,0.2525,0.0378,0.1480,0.0034,0.0751,0.0001,0.9996,1.3625,3098.705
56,Z,H,0.3119,0.0051,0.0008,0.0004,0.0037,0.2397,0.7012,0.5131,0.0887,0.1392,0.0015,0.0574,0.0004,1.6942,2.0775,3150.846
57,H,Z,0.2704,0.0031,0.0011,0.0003,0.0033,0.2058,0.4069,0.3258,0.0536,0.1109,0.0013,0.0527,0.0002,1.1169,1.4506,3202.358
58,Z,H,0.2605,0.0027,0.0007,0.0003,0.0025,0.1568,0.4618,0.2370,0.0430,0.1126,0.0039,0.0574,0.0002,1.0193,1.3492,3253.776
59,H,Z,0.3071,0.0034,0.0010,0.0003,0.0042,0.2327,0.7157,0.4971,0.0858,0.1077,0.0204,0.0587,0.0002,1.6528,2.0498,3305.904
60,Z,H,0.2177,0.0024,0.0009,0.0004,0.0028,0.1478,0.4634,0.2624,0.0356,0.1151,0.0015,0.0681,0.0001,1.0327,1.3281,3357.290
61,H,Z,0.1989,0.0019,0.0005,0.0002,0.0026,0.1620,0.4453,0.2331,0.0344,0.0832,0.0006,0.0398,0.0001,0.9655,1.2114,3408.533
62,Z,H,0.2917,0.0036,0.0009,0.0003,0.0043,0.2376,0.3606,0.2490,0.0476,0.0982,0.0007,0.0413,0.0001,1.0032,1.3477,3459.910
63,H,Z,0.2056,0.0026,0.0006,0.0002,0.0030,0.1668,0.3564,0.2655,0.0349,0.0936,0.0050,0.0422,0.0001,0.9243,1.1849,3511.131
64,Z,H,0.1956,0.0028,0.0008,0.0002,0.0031,0.1553,0.3692,0.2394,0.0378,0.1193,0.0038,0.0682,0.0003,0.9311,1.2079,3562.388
65,H,Z,0.2593,0.0027,0.0009,0.0003,0.0032,0.3019,0.4369,0.2505,0.0373,0.1085,0.0007,0.0571,0.0001,1.1417,1.4677,3613.898
66,Z,H,0.2035,0.0023,0.0008,0.0002,0.0028,0.1491,0.3592,0.2526,0.0360,0.1031,0.0044,0.0623,0.0003,0.9089,1.1869,3665.193
67,H,Z,0.2040,0.0029,0.0008,0.0002,0.0026,0.1603,0.3606,0.2438,0.0353,0.1058,0.0015,0.0638,0.0002,0.9133,1.1907,3716.430
68,Z,H,0.2141,0.0021,0.0007,0.0002,0.0022,0.1444,0.3626,0.2315,0.0348,0.1082,0.0012,0.0510,0.0001,0.8902,1.1634,3767.638
69,H,Z,0.2668,0.0025,0.0009,0.0002,0.0037,0.1524,0.4480,0.2492,0.0352,0.1540,0.0161,0.0402,0.0002,1.0468,1.3790,3819.052
70,Z,H,0.1984,0.0024,0.0008,0.0002,0.0025,0.1498,0.3585,0.2470,0.0347,0.0864,0.0005,0.0515,0.0001,0.8832,1.1414,3870.222
71,H,Z,0.2935,0.0037,0.0007,0.0003,0.0043,0.2287,0.7038,0.5458,0.0868,0.0998,0.0015,0.0572,0.0001,1.6763,2.0391,3922.307
72,Z,H,0.2765,0.0026,0.0013,0.0002,0.0030,0.1814,0.3787,0.2437,0.0365,0.0895,0.0012,0.0586,0.0002,0.9382,1.2835,3973.653
73,H,Z,0.3063,0.0040,0.0012,0.0003,0.0039,0.2343,0.7291,0.5151,0.0901,0.1227,0.0008,0.0423,0.0002,1.7008,2.0614,4025.755
74,Z,H,0.2008,0.0022,0.0008,0.0002,0.0026,0.1446,0.3524,0.2334,0.0363,0.0961,0.0008,0.0477,0.0001,0.8708,1.1271,4076.923
75,H,Z,0.2970,0.0039,0.0012,0.0003,0.0043,0.2463,0.3786,0.3257,0.0502,0.1260,0.0006,0.0445,0.0001,1.1351,1.4888,4128.450
76,Z,H,0.2107,0.0030,0.0009,0.0003,0.0034,0.1651,0.3693,0.2539,0.0371,0.1271,0.0234,0.0624,0.0002,0.9608,1.2670,4179.783
77,H,Z,0.2665,0.0023,0.0008,0.0002,0.0041,0.1848,0.3687,0.2527,0.0375,0.0883,0.0006,0.0541,0.0002,0.9411,1.2711,4231.094
78,Z,H,0.1967,0.0024,0.0008,0.0002,0.0027,0.1585,0.4293,0.2299,0.0357,0.1242,0.0047,0.0543,0.0002,0.9867,1.2501,4282.394
79,H,Z,0.2053,0.0031,0.0009,0.0002,0.0031,0.1582,0.3726,0.2550,0.0370,0.0795,0.0034,0.0606,0.0002,0.9110,1.1891,4333.629
80,Z,H,0.2229,0.0033,0.0011,0.0003,0.0035,0.1752,0.3759,0.2649,0.0382,0.0981,0.0007,0.0615,0.0002,0.9606,1.2558,4384.922
81,H,Z,0.2167,0.0028,0.0009,0.0003,0.0034,0.2235,0.4992,0.2315,0.0355,0.1022,0.0071,0.0354,0.0002,1.0995,1.3678,4436.319
82,Z,H,0.2107,0.0032,0.0008,0.0004,0.0027,0.1618,0.3726,0.2638,0.0368,0.1314,0.0018,0.0645,0.0002,0.9736,1.2593,4487.622
83,H,Z,0.2118,0.0100,0.0009,0.0005,0.0038,0.1556,0.4351,0.2427,0.0358,0.1568,0.0011,0.0575,0.0003,1.0350,1.3226,4538.987
84,Z,H,0.2825,0.0042,0.0009,0.0003,0.0049,0.2307,0.5895,0.2603,0.0370,0.1311,0.0009,0.0340,0.0002,1.2571,1.5867,4590.612
85,H,Z,0.3154,0.0037,0.0009,0.0005,0.0044,0.2308,0.7094,0.5077,0.0858,0.1404,0.0015,0.0514,0.0001,1.6843,2.0641,4642.739
86,Z,H,0.2630,0.0033,0.0015,0.0005,0.0032,0.1634,0.4475,0.2685,0.0443,0.1180,0.0008,0.0444,0.0002,1.0497,1.3682,4694.147
87,H,Z,0.3106,0.0045,0.0013,0.0004,0.0048,0.2413,0.7128,0.2548,0.0386,0.0712,0.0083,0.0562,0.0003,1.3262,1.7147,4745.902
88,Z,H,0.2086,0.0024,0.0011,0.0002,0.0026,0.1711,0.3575,0.2395,0.0621,0.1030,0.0008,0.0291,0.0002,0.9402,1.1864,4797.133
89,H,Z,0.2002,0.0026,0.0006,0.0002,0.0028,0.1484,0.3739,0.2536,0.0410,0.1123,0.0261,0.0618,0.0001,0.9381,1.2343,4848.418
90,Z,H,0.1918,0.0021,0.0008,0.0003,0.0024,0.1620,0.3662,0.2280,0.0345,0.0920,0.0005,0.0427,0.0001,0.8889,1.1309,4899.584
91,H,Z,0.3864,0.0037,0.0008,0.0003,0.0045,0.2569,1.0238,0.5058,0.1045,0.1059,0.0060,0.0453,0.0002,2.0062,2.4549,4952.083
92,Z,H,0.2115,0.0026,0.0009,0.0004,0.0025,0.1623,0.3620,0.2505,0.0348,0.1269,0.0005,0.0428,0.0001,0.9425,1.2056,5003.321
93,H,Z,0.1977,0.0023,0.0007,0.0002,0.0027,0.1581,0.3583,0.2434,0.0345,0.1044,0.0008,0.0361,0.0000,0.9060,1.1479,5054.507
94,Z,H,0.2010,0.0022,0.0008,0.0001,0.0026,0.1666,0.4100,0.2344,0.0370,0.1244,0.0013,0.0553,0.0001,0.9798,1.2448,5105.807
95,H,Z,0.2053,0.0030,0.0009,0.0003,0.0026,0.1612,0.3744,0.2506,0.0424,0.1658,0.0006,0.0416,0.0001,1.0018,1.2574,5157.101
96,Z,H,0.1973,0.0021,0.0007,0.0001,0.0025,0.1573,0.4340,0.2311,0.0352,0.0948,0.0016,0.0628,0.0001,0.9649,1.2335,5208.382
97,H,Z,0.2682,0.0025,0.0009,0.0003,0.0037,0.2118,0.3765,0.2505,0.0380,0.1276,0.0013,0.0592,0.0001,1.0158,1.3540,5259.787
98,Z,H,0.2216,0.0025,0.0009,0.0002,0.0027,0.1459,0.3718,0.2335,0.0347,0.1351,0.0009,0.0487,0.0002,0.9278,1.2066,5311.030
99,H,Z,0.3137,0.0044,0.0009,0.0005,0.0051,0.2369,0.7134,0.5431,0.0914,0.1111,0.0010,0.0471,0.0002,1.7047,2.0795,5363.147
100,Z,H,0.2870,0.0025,0.0011,0.0005,0.0032,0.2089,0.4661,0.3247,0.0510,0.0965,0.0015,0.0744,0.0002,1.1604,1.5324,5414.730
101,H,Z,0.2285,0.0030,0.0007,0.0004,0.0028,0.1583,0.3637,0.2460,0.0387,0.1557,0.0088,0.0475,0.0001,0.9698,1.2632,5466.047
