swap_idx,from,to,read_toml,disconnect,retune_radio,park_selectors,load_plugins,build_read_toml,build_create_blocks,build_connect,build_bridge_ports,start_runtime,reconnect,terminate_spawn,unpark_selectors,build_and_start,total,t_ms
0,Z,H,0.2627,0.0047,0.0009,0.0005,0.0027,0.2162,0.0371,0.1044,0.0371,0.0597,0.0039,0.0349,0.0002,0.4595,0.7722,253.208
1,H,Z,0.1826,0.0023,0.0012,0.0002,0.0019,0.1266,0.0376,0.1162,0.0600,0.0523,0.0007,0.0402,0.0002,0.3988,0.6294,303.865
2,Z,H,0.2016,0.0024,0.0006,0.0004,0.0015,0.0978,0.0330,0.0981,0.0383,0.0618,0.0181,0.0511,0.0003,0.3346,0.6122,354.533
3,H,Z,0.1692,0.0029,0.0008,0.0002,0.0017,0.1018,0.0337,0.1005,0.0445,0.0640,0.0160,0.0501,0.0002,0.3513,0.5939,405.168
4,Z,H,0.1421,0.0023,0.0008,0.0002,0.0015,0.0956,0.0323,0.0913,0.0362,0.0539,0.0013,0.0647,0.0002,0.3135,0.5279,455.729
5,H,Z,0.1501,0.0027,0.0008,0.0002,0.0016,0.0924,0.0341,0.0974,0.0503,0.0478,0.0027,0.0357,0.0002,0.3261,0.5213,506.291
6,Z,H,0.1712,0.0028,0.0008,0.0002,0.0016,0.0970,0.0351,0.1011,0.0372,0.0551,0.0008,0.0496,0.0002,0.3306,0.5593,556.884
7,H,Z,0.2193,0.0044,0.0009,0.0005,0.0027,0.1620,0.0498,0.1906,0.1035,0.0543,0.0249,0.0485,0.0002,0.5663,0.8696,607.791
8,Z,H,0.1617,0.0029,0.0010,0.0003,0.0019,0.0984,0.0370,0.1049,0.0389,0.0531,0.0034,0.0399,0.0002,0.3384,0.5515,658.398
9,H,Z,0.1458,0.0028,0.0007,0.0003,0.0016,0.0946,0.0340,0.1070,0.0448,0.0542,0.0014,0.0568,0.0003,0.3387,0.5500,708.986
10,Z,H,0.2433,0.0050,0.0010,0.0004,0.0026,0.1595,0.0475,0.1838,0.0851,0.0549,0.0161,0.0401,0.0003,0.5373,0.8477,759.867
11,H,Z,0.1716,0.0025,0.0010,0.0002,0.0020,0.1300,0.0431,0.1275,0.0665,0.0478,0.0006,0.0445,0.0002,0.4207,0.6448,810.537
12,Z,H,0.1946,0.0043,0.0009,0.0005,0.0025,0.1512,0.0451,0.1882,0.0882,0.0546,0.0009,0.0404,0.0002,0.5329,0.7787,861.348
13,H,Z,0.1435,0.0027,0.0009,0.0003,0.0018,0.1045,0.0348,0.1094,0.0557,0.0528,0.0061,0.0398,0.0002,0.3627,0.5592,911.937
14,Z,H,0.1305,0.0024,0.0006,0.0003,0.0017,0.1108,0.0346,0.0906,0.0381,0.0508,0.0005,0.0391,0.0001,0.3294,0.5058,962.469
15,H,Z,0.1474,0.0023,0.0007,0.0002,0.0015,0.0943,0.0315,0.1013,0.0464,0.0468,0.0008,0.0377,0.0002,0.3253,0.5173,1013.012
16,Z,H,0.1534,0.0025,0.0007,0.0002,0.0017,0.0951,0.0320,0.0945,0.0394,0.0496,0.0028,0.0463,0.0001,0.3164,0.5252,1063.566
17,H,Z,0.1423,0.0021,0.0006,0.0002,0.0016,0.0994,0.0293,0.0912,0.0429,0.0482,0.0008,0.0393,0.0002,0.3161,0.5046,1114.099
18,Z,H,0.2566,0.0047,0.0011,0.0005,0.0024,0.1794,0.0482,0.2042,0.0923,0.0542,0.0046,0.0393,0.0002,0.5842,0.8951,1165.038
19,H,Z,0.2458,0.0046,0.0011,0.0004,0.0027,0.1591,0.0464,0.1953,0.1127,0.0624,0.0009,0.0494,0.0003,0.5820,0.8890,1215.965
20,Z,H,0.1523,0.0028,0.0011,0.0006,0.0016,0.0994,0.0347,0.1035,0.0382,0.0447,0.0077,0.0400,0.0002,0.3268,0.5349,1266.536
21,H,Z,0.2194,0.0037,0.0008,0.0005,0.0026,0.1981,0.0334,0.1174,0.0441,0.0511,0.0017,0.0587,0.0003,0.4941,0.7957,1317.365
22,Z,H,0.2018,0.0030,0.0009,0.0005,0.0019,0.1354,0.0401,0.1208,0.0497,0.0530,0.0007,0.0384,0.0002,0.4045,0.6534,1368.044
23,H,Z,0.2062,0.0030,0.0011,0.0004,0.0021,0.1309,0.0351,0.1221,0.0570,0.0502,0.0016,0.0634,0.0002,0.4020,0.6815,1418.761
24,Z,H,0.1853,0.0032,0.0012,0.0004,0.0021,0.1391,0.0428,0.1239,0.0494,0.0548,0.0008,0.0445,0.0004,0.4157,0.6551,1469.443
25,H,Z,0.1555,0.0028,0.0010,0.0003,0.0018,0.1032,0.0352,0.1034,0.0490,0.0535,0.0015,0.0619,0.0003,0.3505,0.5771,1520.064
26,Z,H,0.1412,0.0026,0.0007,0.0002,0.0017,0.1068,0.0402,0.1152,0.0434,0.0641,0.0059,0.0484,0.0002,0.3750,0.5772,1570.679
27,H,Z,0.2026,0.0031,0.0009,0.0004,0.0020,0.1292,0.0393,0.1185,0.0667,0.0657,0.0214,0.0625,0.0002,0.4259,0.7206,1621.437
28,Z,H,0.1895,0.0031,0.0010,0.0003,0.0022,0.1210,0.0350,0.1033,0.0373,0.0456,0.0174,0.0406,0.0003,0.3477,0.6035,1672.100
29,H,Z,0.1510,0.0030,0.0011,0.0003,0.0018,0.1078,0.0364,0.0986,0.0484,0.0570,0.0007,0.0462,0.0002,0.3529,0.5585,1722.688
30,Z,H,0.1538,0.0024,0.0007,0.0003,0.0014,0.0978,0.0358,0.0883,0.0373,0.0419,0.0007,0.0421,0.0002,0.3057,0.5087,1773.220
31,H,Z,0.1536,0.0026,0.0008,0.0003,0.0014,0.1013,0.0332,0.0976,0.0542,0.0547,0.0008,0.0475,0.0002,0.3459,0.5545,1823.804
32,Z,H,0.1357,0.0023,0.0008,0.0003,0.0015,0.0976,0.0335,0.0967,0.0387,0.0566,0.0046,0.0439,0.0002,0.3278,0.5187,1874.348
33,H,Z,0.1621,0.0028,0.0007,0.0002,0.0015,0.1009,0.0378,0.1032,0.0561,0.0455,0.0101,0.0449,0.0002,0.3487,0.5726,1924.947
34,Z,H,0.1383,0.0032,0.0008,0.0002,0.0016,0.1123,0.0340,0.0945,0.0388,0.0537,0.0014,0.0667,0.0002,0.3385,0.5524,1975.535
35,H,Z,0.1408,0.0023,0.0008,0.0001,0.0014,0.1004,0.0346,0.0932,0.0481,0.0441,0.0226,0.0600,0.0002,0.3257,0.5553,2026.124
36,Z,H,0.1751,0.0020,0.0005,0.0002,0.0014,0.0930,0.0284,0.0869,0.0380,0.0443,0.0006,0.0392,0.0001,0.2952,0.5157,2076.670
37,H,Z,0.1442,0.0022,0.0005,0.0001,0.0014,0.0935,0.0290,0.0899,0.0503,0.0510,0.0241,0.0377,0.0001,0.3174,0.5288,2127.224
38,Z,H,0.1368,0.0027,0.0008,0.0001,0.0016,0.0935,0.0314,0.1059,0.0383,0.0460,0.0159,0.0426,0.0002,0.3210,0.5230,2177.786
39,H,Z,0.2159,0.0037,0.0010,0.0004,0.0021,0.1551,0.0428,0.1870,0.1026,0.0575,0.0008,0.0395,0.0002,0.5501,0.8152,2228.629
40,Z,H,0.1506,0.0025,0.0007,0.0003,0.0013,0.0995,0.0347,0.0988,0.0357,0.0536,0.0008,0.0330,0.0002,0.3275,0.5182,2279.186
41,H,Z,0.1312,0.0018,0.0007,0.0002,0.0013,0.0973,0.0304,0.0907,0.0420,0.0478,0.0027,0.0408,0.0002,0.3130,0.4932,2329.707
42,Z,H,0.1880,0.0022,0.0008,0.0002,0.0017,0.1242,0.0365,0.1031,0.0370,0.0507,0.0067,0.0340,0.0002,0.3569,0.5918,2380.327
43,H,Z,0.1473,0.0022,0.0010,0.0002,0.0015,0.0947,0.0304,0.0937,0.0498,0.0722,0.0067,0.0431,0.0002,0.3456,0.5492,2430.908
44,Z,H,0.1582,0.0022,0.0007,0.0002,0.0015,0.1199,0.0289,0.0841,0.0372,0.0425,0.0008,0.0376,0.0002,0.3175,0.5203,2481.487
45,H,Z,0.1516,0.0031,0.0010,0.0001,0.0014,0.1002,0.0384,0.0952,0.0474,0.0695,0.0013,0.0649,0.0002,0.3567,0.5815,2532.114
46,Z,H,0.2127,0.0048,0.0010,0.0006,0.0027,0.1656,0.0493,0.1960,0.1683,0.0484,0.0011,0.0641,0.0003,0.6352,0.9244,2583.081
47,H,Z,0.1790,0.0032,0.0011,0.0003,0.0019,0.1048,0.0402,0.1037,0.0511,0.0666,0.0183,0.0467,0.0002,0.3722,0.6245,2633.739
48,Z,H,0.1282,0.0022,0.0008,0.0002,0.0012,0.0943,0.0316,0.0873,0.0344,0.0452,0.0043,0.0353,0.0002,0.2975,0.4709,2684.233
49,H,Z,0.1485,0.0018,0.0005,0.0002,0.0012,0.0963,0.0273,0.0863,0.0503,0.0400,0.0007,0.0389,0.0001,0.3051,0.4981,2734.760
50,Z,H,0.1646,0.0026,0.0007,0.0002,0.0017,0.0977,0.0360,0.1052,0.0421,0.0459,0.0314,0.0423,0.0002,0.3312,0.5762,2785.386
51,H,Z,0.1777,0.0024,0.0009,0.0002,0.0022,0.1302,0.0368,0.1229,0.0601,0.0472,0.0012,0.0411,0.0002,0.4030,0.6302,2836.047
52,Z,H,0.1438,0.0026,0.0010,0.0001,0.0017,0.1022,0.0337,0.1008,0.0399,0.0475,0.0190,0.0454,0.0002,0.3294,0.5448,2886.619
53,H,Z,0.1312,0.0023,0.0007,0.0003,0.0015,0.0992,0.0376,0.1066,0.0485,0.0526,0.0185,0.0375,0.0002,0.3500,0.5439,2937.192
54,Z,H,0.1577,0.0020,0.0006,0.0001,0.0013,0.0975,0.0295,0.0862,0.0349,0.0518,0.0087,0.0396,0.0001,0.3043,0.5155,2987.738
55,H,Z,0.1608,0.0021,0.0006,0.0001,0.0014,0.1039,0.0337,0.0910,0.0430,0.0561,0.0007,0.0336,0.0001,0.3326,0.5331,3038.297
56,Z,H,0.1608,0.0027,0.0007,0.0001,0.0016,0.0954,0.0343,0.1039,0.0478,0.0455,0.0049,0.0646,0.0002,0.3326,0.5694,3088.938
57,H,Z,0.1393,0.0020,0.0006,0.0002,0.0013,0.0918,0.0289,0.0903,0.0419,0.0488,0.0009,0.0414,0.0002,0.3068,0.4938,3139.466
58,Z,H,0.1598,0.0027,0.0006,0.0003,0.0017,0.1018,0.0450,0.1059,0.0400,0.0516,0.0011,0.0518,0.0003,0.3499,0.5699,3190.069
59,H,Z,0.1715,0.0024,0.0008,0.0003,0.0018,0.1009,0.0431,0.1067,0.0463,0.0402,0.0063,0.0493,0.0002,0.3426,0.5766,3240.676
60,Z,H,0.1365,0.0020,0.0006,0.0002,0.0013,0.0919,0.0335,0.0964,0.0384,0.0524,0.0007,0.0337,0.0002,0.3171,0.4932,3291.191
61,H,Z,0.1301,0.0021,0.0006,0.0002,0.0013,0.0939,0.0308,0.0917,0.0446,0.0378,0.0006,0.0406,0.0002,0.3040,0.4808,3341.703
62,Z,H,0.1412,0.0020,0.0006,0.0001,0.0013,0.0962,0.0335,0.0920,0.0348,0.0542,0.0086,0.0373,0.0002,0.3152,0.5076,3392.242
