swap_idx,from,to,read_toml,disconnect,retune_radio,park_selectors,load_plugins,build_read_toml,build_create_blocks,build_connect,build_bridge_ports,start_runtime,reconnect,terminate_spawn,unpark_selectors,build_and_start,total,t_ms
0,Z,H,0.3704,0.0040,0.0015,0.0004,0.0042,0.2294,0.7645,0.5179,0.0734,0.1653,0.0017,0.0780,0.0003,1.7649,2.2272,261.848
1,H,Z,0.3667,0.0049,0.0014,0.0004,0.0050,0.2419,0.8407,0.7128,0.0586,0.1721,0.0009,0.0599,0.0003,2.0356,2.4772,314.424
2,Z,H,0.6044,0.0041,0.0014,0.0005,0.0038,0.2855,0.8217,0.3158,0.0609,0.1784,0.0072,0.0784,0.0003,1.6739,2.3763,366.854
3,H,Z,0.3633,0.0035,0.0011,0.0003,0.0043,0.2445,0.7880,0.3462,0.0590,0.1858,0.0013,0.0621,0.0003,1.6442,2.0823,418.993
4,Z,H,0.3603,0.0038,0.0011,0.0004,0.0039,0.2301,0.8417,0.3432,0.0513,0.1821,0.0012,0.0538,0.0003,1.6582,2.0848,471.125
5,H,Z,0.3145,0.0050,0.0014,0.0005,0.0063,0.2355,0.9058,0.5754,0.0907,0.1592,0.0076,0.0629,0.0005,1.9785,2.3792,523.557
6,Z,H,0.4169,0.0042,0.0014,0.0004,0.0035,0.2930,0.6650,0.4093,0.0733,0.1506,0.0190,0.0768,0.0004,1.6063,2.1314,575.756
7,H,Z,0.3728,0.0049,0.0012,0.0006,0.0044,0.2285,0.6116,0.3322,0.0542,0.1477,0.0019,0.0805,0.0005,1.3863,1.8555,627.672
8,Z,H,0.3698,0.0043,0.0014,0.0006,0.0037,0.2495,0.8074,0.3476,0.0536,0.1287,0.0343,0.0655,0.0002,1.5968,2.0789,679.799
9,H,Z,0.3505,0.0054,0.0011,0.0005,0.0044,0.2633,0.7127,0.3678,0.0684,0.1692,0.0096,0.0713,0.0001,1.5925,2.0450,731.923
10,Z,H,0.4697,0.0045,0.0011,0.0007,0.0042,0.3371,0.8385,0.3392,0.0554,0.1637,0.0018,0.0735,0.0003,1.7476,2.3058,784.294
11,H,Z,0.3327,0.0051,0.0014,0.0009,0.0047,0.2399,0.8943,0.5224,0.0737,0.1886,0.0032,0.0896,0.0004,1.9351,2.3757,836.735
