swap_idx,from,to,read_toml,disconnect,retune_radio,park_selectors,load_plugins,build_read_toml,build_create_blocks,build_connect,build_bridge_ports,start_runtime,reconnect,terminate_spawn,unpark_selectors,build_and_start,total,t_ms
0,Z,H,0.2276,0.0056,0.0014,0.0004,0.0040,0.1672,0.2362,0.1150,0.0607,0.1315,0.0023,0.0973,0.0003,0.7195,1.0606,257.188
1,H,Z,0.2958,0.0041,0.0013,0.0003,0.0030,0.1771,0.0665,0.1621,0.0728,0.0748,0.0241,0.0741,0.0002,0.5617,0.9667,308.225
2,Z,H,0.3192,0.0046,0.0014,0.0003,0.0035,0.1668,0.3583,0.1053,0.0636,0.1406,0.0011,0.0503,0.0003,0.8456,1.2285,359.503
3,H,Z,0.2432,0.0063,0.0014,0.0009,0.0036,0.1585,0.0668,0.2345,0.0925,0.0769,0.0013,0.0624,0.0005,0.6404,0.9625,410.511
4,Z,H,0.2750,0.0058,0.0015,0.0004,0.0039,0.1802,0.1802,0.1398,0.1042,0.1483,0.0377,0.0710,0.0006,0.7624,1.1609,461.722
5,H,Z,0.2515,0.0043,0.0019,0.0006,0.0035,0.1547,0.0642,0.1770,0.0656,0.0830,0.0016,0.0742,0.0003,0.5523,0.8922,512.660
6,Z,H,0.2784,0.0044,0.0013,0.0003,0.0035,0.1776,0.4086,0.1155,0.0628,0.1248,0.0011,0.0546,0.0002,0.8969,1.2430,563.944
7,H,Z,0.1975,0.0062,0.0014,0.0007,0.0033,0.1494,0.0662,0.2398,0.1011,0.0880,0.0044,0.0689,0.0004,0.6517,0.9369,614.920
8,Z,H,0.3267,0.0069,0.0022,0.0009,0.0055,0.2055,0.5369,0.1350,0.1076,0.1529,0.0013,0.0830,0.0003,1.1490,1.5780,666.551
9,H,Z,0.3709,0.0072,0.0017,0.0011,0.0031,0.1996,0.0692,0.1810,0.0670,0.0871,0.1119,0.1064,0.0005,0.6127,1.2196,717.833
10,Z,H,0.2941,0.0049,0.0013,0.0007,0.0056,0.1806,0.3969,0.1193,0.0717,0.1481,0.0013,0.0725,0.0003,0.9309,1.3141,769.195
11,H,Z,0.2175,0.0046,0.0012,0.0006,0.0026,0.1435,0.0697,0.1656,0.0657,0.1351,0.0265,0.0630,0.0001,0.5872,0.9056,820.153
12,Z,H,0.2252,0.0047,0.0012,0.0003,0.0036,0.1830,0.2333,0.1081,0.0640,0.1276,0.0009,0.0693,0.0001,0.7238,1.0312,871.256
13,H,Z,0.2343,0.0042,0.0013,0.0003,0.0026,0.1460,0.0568,0.1454,0.0554,0.0660,0.0253,0.0799,0.0005,0.4777,0.8283,922.129
14,Z,H,0.2281,0.0041,0.0012,0.0004,0.0038,0.1525,0.2141,0.1002,0.0600,0.1271,0.1171,0.0730,0.0003,0.6629,1.0933,973.292
15,H,Z,0.2095,0.0039,0.0011,0.0001,0.0025,0.1411,0.0558,0.1427,0.0570,0.0738,0.0063,0.0710,0.0002,0.4797,0.7764,1024.113
16,Z,H,0.3030,0.0042,0.0013,0.0003,0.0035,0.1881,0.3922,0.1114,0.0602,0.1237,0.0290,0.0780,0.0003,0.8879,1.3098,1075.477
17,H,Z,0.2254,0.0036,0.0012,0.0003,0.0021,0.1394,0.0531,0.1383,0.0520,0.0791,0.0240,0.0584,0.0003,0.4693,0.7865,1126.306
18,Z,H,0.2492,0.0042,0.0013,0.0005,0.0033,0.1737,0.4587,0.1181,0.0610,0.0965,0.0227,0.0706,0.0002,0.9173,1.2712,1177.629
