swap_idx,from,to,read_toml,disconnect,retune_radio,park_selectors,load_plugins,build_read_toml,build_create_blocks,build_connect,build_bridge_ports,start_runtime,reconnect,terminate_spawn,unpark_selectors,build_and_start,total,t_ms
0,Z,H,0.4105,0.0054,0.0021,0.0009,0.0047,0.2458,0.7882,0.3660,0.0618,0.2044,0.0013,0.0839,0.0004,1.6769,2.1898,261.521
1,H,Z,0.2592,0.0043,0.0012,0.0006,0.0024,0.1554,0.0659,0.1604,0.0547,0.1021,0.0021,0.0776,0.0004,0.5475,0.8979,312.468
2,Z,H,0.4739,0.0050,0.0015,0.0006,0.0051,0.2512,0.8412,0.3706,0.0612,0.1778,0.0013,0.0858,0.0003,1.7128,2.2888,364.825
3,H,Z,0.2129,0.0041,0.0012,0.0005,0.0025,0.1419,0.0646,0.1750,0.0549,0.1031,0.0031,0.0686,0.0003,0.5482,0.8436,415.715
4,Z,H,0.3689,0.0041,0.0012,0.0003,0.0039,0.2185,0.8435,0.3459,0.0603,0.1649,0.0022,0.0806,0.0003,1.6464,2.1104,467.882
5,H,Z,0.2139,0.0035,0.0011,0.0007,0.0027,0.1273,0.0551,0.1608,0.0529,0.0786,0.0096,0.0714,0.0004,0.4833,0.7888,518.723
6,Z,H,0.4345,0.0055,0.0013,0.0007,0.0056,0.2558,1.0868,0.6451,0.0882,0.1699,0.0013,0.0547,0.0002,2.2596,2.7656,571.545
7,H,Z,0.2273,0.0048,0.0017,0.0004,0.0028,0.1474,0.0585,0.1691,0.0556,0.0949,0.0350,0.0833,0.0002,0.5341,0.8920,622.503
8,Z,H,0.4229,0.0053,0.0012,0.0008,0.0040,0.2547,0.6684,0.3749,0.0557,0.1793,0.0109,0.0630,0.0003,1.5437,2.0547,674.623
9,H,Z,0.2924,0.0053,0.0015,0.0006,0.0029,0.1537,0.0638,0.1727,0.0595,0.0967,0.0292,0.0648,0.0001,0.5535,0.9532,725.621
10,Z,H,0.3780,0.0048,0.0015,0.0006,0.0051,0.2434,0.8584,0.3595,0.0579,0.1825,0.0014,0.0662,0.0004,1.7128,2.1734,777.860
11,H,Z,0.2821,0.0065,0.0025,0.0008,0.0046,0.1620,0.0652,0.2339,0.0953,0.0989,0.0071,0.0649,0.0005,0.6630,1.0347,828.947
12,Z,H,0.3964,0.0044,0.0014,0.0006,0.0041,0.2268,0.8380,0.3565,0.0641,0.1526,0.0013,0.0633,0.0003,1.6508,2.1254,881.118
13,H,Z,0.2902,0.0046,0.0014,0.0005,0.0029,0.1565,0.0627,0.1727,0.0622,0.1093,0.0121,0.0740,0.0004,0.5724,0.9609,932.129
14,Z,H,0.3271,0.0043,0.0012,0.0003,0.0039,0.2079,0.6580,0.3505,0.0550,0.2113,0.0016,0.0600,0.0003,1.4921,1.8928,984.073
15,H,Z,0.2027,0.0045,0.0015,0.0006,0.0027,0.1493,0.0612,0.1583,0.0591,0.1068,0.0020,0.0963,0.0003,0.5440,0.8565,1034.970
16,Z,H,0.3686,0.0042,0.0011,0.0003,0.0042,0.2292,0.8094,0.3124,0.0496,0.1530,0.0014,0.0687,0.0001,1.5649,2.0156,1087.041
17,H,Z,0.2174,0.0043,0.0012,0.0004,0.0021,0.1317,0.0563,0.1719,0.0561,0.0751,0.0212,0.0568,0.0003,0.4975,0.8034,1137.898
18,Z,H,0.4104,0.0051,0.0014,0.0008,0.0051,0.3018,0.9448,0.3579,0.0588,0.1613,0.0007,0.0825,0.0001,1.8352,2.3439,1190.315
19,H,Z,0.2695,0.0072,0.0018,0.0008,0.0044,0.1709,0.0731,0.2572,0.1033,0.0959,0.0076,0.0841,0.0005,0.7117,1.0909,1241.458
20,Z,H,0.3190,0.0047,0.0015,0.0006,0.0044,0.2139,0.6370,0.3778,0.0549,0.1809,0.0021,0.0946,0.0003,1.4774,1.9067,1293.436
21,H,Z,0.2537,0.0058,0.0017,0.0008,0.0043,0.1650,0.0901,0.2455,0.0988,0.0848,0.1116,0.0841,0.0004,0.6923,1.1572,1344.653
22,Z,H,0.4346,0.0061,0.0022,0.0010,0.0058,0.2584,0.8704,0.3734,0.0589,0.1759,0.0024,0.0969,0.0003,1.7505,2.3030,1397.015
23,H,Z,0.3054,0.0051,0.0013,0.0006,0.0031,0.1643,0.0637,0.1735,0.0749,0.1570,0.0028,0.0888,0.0002,0.6434,1.0537,1448.123
24,Z,H,0.3297,0.0051,0.0014,0.0005,0.0058,0.2371,0.7106,0.3994,0.0594,0.1717,0.0219,0.0587,0.0003,1.5989,2.0246,1500.210
25,H,Z,0.3021,0.0044,0.0011,0.0003,0.0023,0.1488,0.0572,0.1673,0.0590,0.1224,0.0010,0.0479,0.0002,0.5634,0.9259,1551.189
26,Z,H,0.3688,0.0057,0.0022,0.0007,0.0052,0.2588,0.6423,0.4073,0.0715,0.1524,0.0012,0.0580,0.0003,1.5436,1.9877,1603.222
27,H,Z,0.2695,0.0049,0.0013,0.0008,0.0031,0.1673,0.0571,0.1811,0.0579,0.0820,0.0091,0.0543,0.0002,0.5532,0.8991,1654.168
28,Z,H,0.2940,0.0038,0.0012,0.0004,0.0035,0.2034,0.6494,0.3182,0.0507,0.1495,0.0011,0.0649,0.0002,1.3809,1.7518,1705.970
29,H,Z,0.2074,0.0043,0.0012,0.0005,0.0024,0.1567,0.0578,0.1779,0.0593,0.0803,0.0019,0.0693,0.0002,0.5386,0.8283,1756.888
30,Z,H,0.2951,0.0040,0.0011,0.0003,0.0036,0.2303,0.9761,0.4882,0.0951,0.1238,0.0047,0.0588,0.0002,1.9286,2.2984,1809.239
31,H,Z,0.2095,0.0045,0.0012,0.0005,0.0022,0.1989,0.0596,0.1841,0.0593,0.0564,0.0010,0.0512,0.0003,0.5653,0.8379,1860.138
