swap_idx,from,to,read_toml,disconnect,retune_radio,park_selectors,load_plugins,build_read_toml,build_create_blocks,build_connect,build_bridge_ports,start_runtime,reconnect,terminate_spawn,unpark_selectors,build_and_start,total,t_ms
0,Z,H,0.2051,0.0037,0.0012,0.0002,0.0017,0.1391,0.0541,0.1380,0.0701,0.0857,0.0016,0.0710,0.0004,0.4932,0.7800,254.510
1,H,Z,0.2184,0.0031,0.0011,0.0002,0.0021,0.1322,0.0432,0.1337,0.0568,0.0619,0.0078,0.0626,0.0002,0.4331,0.7306,305.280
2,Z,H,0.2323,0.0043,0.0013,0.0003,0.0021,0.1579,0.0521,0.1554,0.0631,0.0996,0.0008,0.0597,0.0001,0.5340,0.8368,356.157
3,H,Z,0.2406,0.0042,0.0013,0.0003,0.0019,0.1331,0.0490,0.1453,0.0692,0.0682,0.0251,0.0560,0.0003,0.4711,0.8032,406.999
4,Z,H,0.2710,0.0043,0.0012,0.0004,0.0029,0.1777,0.0487,0.2133,0.0926,0.0917,0.0014,0.0504,0.0003,0.6311,0.9647,458.003
5,H,Z,0.2421,0.0034,0.0011,0.0002,0.0016,0.1348,0.0428,0.1267,0.0705,0.0719,0.0017,0.0611,0.0001,0.4616,0.7751,508.818
6,Z,H,0.2248,0.0031,0.0009,0.0003,0.0017,0.1481,0.0499,0.1281,0.0907,0.0772,0.0287,0.0630,0.0003,0.5002,0.8248,559.695
7,H,Z,0.2461,0.0048,0.0013,0.0005,0.0024,0.1361,0.0534,0.1513,0.0588,0.0835,0.0271,0.0739,0.0003,0.4915,0.8498,610.590
8,Z,H,0.2408,0.0045,0.0013,0.0005,0.0022,0.1361,0.0540,0.1590,0.0656,0.1023,0.0265,0.0637,0.0004,0.5236,0.8656,661.507
9,H,Z,0.3255,0.0069,0.0019,0.0009,0.0047,0.2150,0.0699,0.2686,0.1382,0.1164,0.0387,0.1088,0.0003,0.8164,1.3069,712.875
10,Z,H,0.2551,0.0050,0.0014,0.0008,0.0029,0.1501,0.0575,0.1622,0.0576,0.0908,0.0077,0.0681,0.0003,0.5266,0.8700,763.803
11,H,Z,0.3464,0.0064,0.0014,0.0008,0.0037,0.1755,0.0618,0.2452,0.1186,0.0885,0.0422,0.0917,0.0007,0.6978,1.1939,815.089
12,Z,H,0.2480,0.0060,0.0013,0.0007,0.0032,0.1510,0.0539,0.1552,0.0696,0.0671,0.0008,0.0606,0.0001,0.5035,0.8272,865.959
13,H,Z,0.2218,0.0046,0.0013,0.0003,0.0025,0.1465,0.0523,0.1406,0.0598,0.0816,0.0260,0.0752,0.0005,0.4890,0.8230,916.843
14,Z,H,0.2032,0.0037,0.0012,0.0003,0.0018,0.1495,0.0556,0.1496,0.0653,0.0662,0.0024,0.0581,0.0003,0.4922,0.7650,967.674
15,H,Z,0.2649,0.0064,0.0014,0.0010,0.0035,0.1570,0.0567,0.2171,0.1002,0.0888,0.0187,0.0935,0.0004,0.6281,1.0201,1018.744
16,Z,H,0.2407,0.0047,0.0019,0.0006,0.0029,0.1578,0.0574,0.1622,0.0744,0.0870,0.0013,0.0597,0.0004,0.5475,0.8618,1069.664
17,H,Z,0.2595,0.0045,0.0013,0.0007,0.0028,0.1469,0.0579,0.1725,0.0726,0.0824,0.0008,0.0715,0.0001,0.5402,0.8837,1120.598
18,Z,H,0.2734,0.0047,0.0017,0.0005,0.0027,0.1563,0.0608,0.1669,0.0705,0.0997,0.0088,0.0677,0.0002,0.5619,0.9238,1171.579
19,H,Z,0.2634,0.0066,0.0015,0.0007,0.0042,0.2029,0.0651,0.2290,0.1171,0.0801,0.0015,0.0846,0.0006,0.7042,1.0703,1222.710
20,Z,H,0.2697,0.0063,0.0017,0.0006,0.0043,0.1657,0.0643,0.2122,0.0964,0.0941,0.0021,0.2001,0.0003,0.6421,1.1300,1273.906
