ifs_ms,sent_H,rx_H,per_H_pct
0.3,19011,12000,36.8786
0.4,4669,3200,31.4628
0.6,1208,800,33.7748
0.7,1805,1200,33.518
0.8,8136,6000,26.2537
1.1,2975,2400,19.3277
1.2,5550,4800,13.5135
1.3,15170,13600,10.3494
1.4,7756,7200,7.1686
1.5,4200,4000,4.7619
1.6,427,400,6.3232
1.8,2063,2000,3.0538
2.1,2844,2800,1.5471
2.2,6859,6800,0.8602
2.3,15666,15600,0.4213
2.4,8037,8000,0.4604
2.5,4418,4400,0.4074
2.6,2002,2000,0.0999
2.7,801,800,0.1248
2.8,401,400,0.2494
3.1,802,800,0.2494
3.2,7227,7200,0.3736
3.3,14046,14000,0.3275
3.4,10434,10400,0.3259
3.5,6011,6000,0.183
3.6,1206,1200,0.4975
3.9,402,400,0.4975
4.1,805,800,0.6211
4.2,8432,8400,0.3795
