ifs_ms,sent_H,rx_H,per_H_pct
0.3,9127,5600,38.6436
0.4,2357,1600,32.1171
0.6,611,400,34.5336
0.7,615,400,34.9593
0.8,4393,3200,27.1568
1.1,1504,1200,20.2128
1.2,2858,2400,16.0252
1.3,7586,6800,10.3612
1.4,3838,3600,6.2011
1.5,1694,1600,5.549
1.6,427,400,6.3232
1.8,1653,1600,3.2063
2.1,824,800,2.9126
2.2,3625,3600,0.6897
2.3,7637,7600,0.4845
2.4,4015,4000,0.3736
2.5,2409,2400,0.3736
2.6,400,400,0.0
2.7,801,800,0.1248
2.8,401,400,0.2494
3.1,401,400,0.2494
3.2,3622,3600,0.6074
3.3,7224,7200,0.3322
3.4,4817,4800,0.3529
3.5,2403,2400,0.1248
3.6,1206,1200,0.4975
3.9,402,400,0.4975
4.1,402,400,0.4975
4.2,4815,4800,0.3115
