ifs_ms,sent_H,rx_H,per_H_pct,sent_Z,rx_Z,per_Z_pct,swaps,avg_swap_ms,overruns,wall_s
4.0,500,492,1.6,500,492,1.6,984,0.5584,0,7.38
3.9,500,489,2.2,500,489,2.2,978,0.5446,0,7.28
3.8,500,494,1.2,500,494,1.2,988,0.5491,0,7.18
3.7,500,491,1.8,500,491,1.8,982,0.5379,0,7.08
3.6,500,489,2.2,500,489,2.2,978,0.5509,0,6.98
3.5,500,489,2.2,500,489,2.2,978,0.5586,0,6.88
3.4,500,495,1.0,500,495,1.0,990,0.5318,0,6.78
3.3,500,488,2.4,500,488,2.4,976,0.5296,0,6.68
3.2,500,492,1.6,500,492,1.6,984,0.5374,0,6.58
3.1,500,489,2.2,500,489,2.2,978,0.5583,0,6.48
3.0,500,489,2.2,500,489,2.2,978,0.5322,0,6.38
2.9,500,493,1.4,500,493,1.4,986,0.5328,0,6.28
2.8,500,490,2.0,500,490,2.0,980,0.5419,0,6.18
2.7,500,493,1.4,500,493,1.4,986,0.525,0,6.08
2.6,500,496,0.8,500,496,0.8,992,0.5558,0,5.98
2.5,500,490,2.0,500,490,2.0,980,0.536,0,5.88
2.4,500,491,1.8,500,491,1.8,982,0.5263,0,5.78
2.3,500,490,2.0,500,490,2.0,980,0.5252,0,5.68
2.2,500,493,1.4,500,493,1.4,986,0.5299,0,5.58
2.1,500,492,1.6,500,492,1.6,984,0.5396,0,5.48
2.0,500,490,2.0,500,490,2.0,980,0.5264,0,5.38
1.9,500,494,1.2,500,494,1.2,988,0.5174,0,5.28
1.8,500,496,0.8,500,496,0.8,992,0.5221,0,5.18
1.7,500,490,2.0,500,490,2.0,980,0.5131,0,5.08
1.6,500,490,2.0,500,490,2.0,980,0.5262,0,4.98
1.5,500,490,2.0,500,490,2.0,980,0.5313,0,4.88
1.4,500,491,1.8,500,491,1.8,982,0.5145,0,4.78
1.3,500,489,2.2,500,489,2.2,978,0.5127,0,4.68
1.2,500,491,1.8,500,491,1.8,982,0.5019,0,4.58
1.1,500,494,1.2,500,494,1.2,988,0.504,0,4.48
1.0,500,492,1.6,500,492,1.6,984,0.5029,0,4.38
0.9,500,480,4.0,500,480,4.0,960,0.5221,0,4.28
0.8,500,453,9.4,500,453,9.4,906,0.4983,0,4.18
0.7,500,397,20.6,500,397,20.6,794,0.4913,0,4.08
0.6,500,380,24.0,500,380,24.0,760,0.4897,0,3.98
0.5,500,299,40.2,500,299,40.2,598,0.5164,0,3.88
0.4,500,253,49.4,500,253,49.4,506,0.5194,0,3.78
0.3,500,248,50.4,500,248,50.4,496,0.4867,0,3.68
0.2,500,213,57.4,500,212,57.6,425,0.5106,0,3.58
0.1,500,170,66.0,500,170,66.0,340,0.5171,0,3.48
0.0,500,166,66.8,500,166,66.8,332,0.5,0,3.38
