ifs_ms,sent_H,rx_H,per_H_pct,sent_Z,rx_Z,per_Z_pct,swaps,avg_swap_ms,overruns,wall_s
4.0,1000,983,1.7,0,0,nan,983,0.7777,0,7.04
3.9,1000,976,2.4,0,0,nan,976,0.7763,0,6.94
3.8,1000,979,2.1,0,0,nan,979,0.7953,0,6.84
3.7,1000,985,1.5,0,0,nan,985,0.7962,0,6.74
3.6,1000,982,1.8,0,0,nan,982,0.7736,0,6.64
3.5,1000,990,1.0,0,0,nan,990,0.7717,0,6.54
3.4,1000,986,1.4,0,0,nan,986,0.7711,0,6.44
3.3,1000,981,1.9,0,0,nan,981,0.7906,0,6.34
3.2,1000,983,1.7,0,0,nan,983,0.7742,0,6.24
3.1,1000,987,1.3,0,0,nan,987,0.7522,0,6.14
3.0,1000,978,2.2,0,0,nan,978,0.7635,0,6.04
2.9,1000,979,2.1,0,0,nan,979,0.7602,0,5.94
2.8,1000,981,1.9,0,0,nan,981,0.7907,0,5.84
2.7,1000,989,1.1,0,0,nan,989,0.7527,0,5.74
2.6,1000,974,2.6,0,0,nan,974,0.7532,0,5.64
2.5,1000,989,1.1,0,0,nan,989,0.7432,0,5.54
2.4,1000,982,1.8,0,0,nan,982,0.7416,0,5.44
2.3,1000,978,2.2,0,0,nan,978,0.7709,0,5.34
2.2,1000,984,1.6,0,0,nan,984,0.7763,0,5.24
2.1,1000,985,1.5,0,0,nan,985,0.7424,0,5.14
2.0,1000,976,2.4,0,0,nan,976,0.7375,0,5.04
1.9,1000,977,2.3,0,0,nan,977,0.7414,0,4.94
1.8,1000,980,2.0,0,0,nan,980,0.7241,0,4.84
1.7,1000,980,2.0,0,0,nan,980,0.7469,0,4.74
1.6,1000,980,2.0,0,0,nan,980,0.7479,0,4.64
1.5,1000,985,1.5,0,0,nan,985,0.7151,0,4.54
1.4,1000,983,1.7,0,0,nan,983,0.7084,0,4.44
1.3,1000,975,2.5,0,0,nan,975,0.7003,0,4.34
1.2,1000,979,2.1,0,0,nan,979,0.7033,0,4.24
1.1,1000,975,2.5,0,0,nan,975,0.6999,0,4.14
1.0,1000,946,5.4,0,0,nan,946,0.7318,0,4.04
0.9,1000,898,10.2,0,0,nan,898,0.6961,0,3.94
0.8,1000,779,22.1,0,0,nan,779,0.6776,0,3.84
0.7,1000,718,28.2,0,0,nan,718,0.6948,0,3.74
0.6,1000,677,32.3,0,0,nan,677,0.6747,0,3.64
0.5,1000,503,49.7,0,0,nan,503,0.6879,0,3.54
0.4,1000,495,50.5,0,0,nan,495,0.6883,0,3.44
0.3,1000,497,50.3,0,0,nan,497,0.6973,0,3.34
0.2,1000,493,50.7,0,0,nan,493,0.6774,0,3.24
0.1,1000,490,51.0,0,0,nan,490,0.6865,0,3.14
0.0,1000,420,58.0,0,0,nan,420,0.6936,0,3.04
