ifs_ms,sent_H,rx_H,per_H_pct,sent_Z,rx_Z,per_Z_pct,swaps,avg_swap_ms,overruns,wall_s
4.0,0,0,nan,1000,1000,0.0,1000,0.2919,0,7.71
3.9,0,0,nan,1000,1000,0.0,1000,0.2963,0,7.62
3.8,0,0,nan,1000,1000,0.0,1000,0.2967,0,7.51
3.7,0,0,nan,1000,1000,0.0,1000,0.2875,0,7.41
3.6,0,0,nan,1000,1000,0.0,1000,0.2813,0,7.31
3.5,0,0,nan,1000,1000,0.0,1000,0.2941,0,7.21
3.4,0,0,nan,1000,1000,0.0,1000,0.294,0,7.11
3.3,0,0,nan,1000,1000,0.0,1000,0.2892,0,7.02
3.2,0,0,nan,1000,1000,0.0,1000,0.2859,0,6.92
3.1,0,0,nan,1000,1000,0.0,1000,0.2835,0,6.81
3.0,0,0,nan,1000,1000,0.0,1000,0.2824,0,6.71
2.9,0,0,nan,1000,1000,0.0,1000,0.2937,0,6.62
2.8,0,0,nan,1000,1000,0.0,1000,0.2783,0,6.52
2.7,0,0,nan,1000,1000,0.0,1000,0.2795,0,6.41
2.6,0,0,nan,1000,1000,0.0,1000,0.2802,0,6.32
2.5,0,0,nan,1000,1000,0.0,1000,0.2937,0,6.22
2.4,0,0,nan,1000,1000,0.0,1000,0.2834,0,6.12
2.3,0,0,nan,1000,1000,0.0,1000,0.2815,0,6.02
2.2,0,0,nan,1000,1000,0.0,1000,0.2786,0,5.92
2.1,0,0,nan,1000,1000,0.0,1000,0.2765,0,5.82
2.0,0,0,nan,1000,1000,0.0,1000,0.2915,0,5.72
1.9,0,0,nan,1000,1000,0.0,1000,0.2777,0,5.62
1.8,0,0,nan,1000,1000,0.0,1000,0.2757,0,5.52
1.7,0,0,nan,1000,1000,0.0,1000,0.2683,0,5.42
1.6,0,0,nan,1000,1000,0.0,1000,0.2739,0,5.32
1.5,0,0,nan,1000,1000,0.0,1000,0.2721,0,5.22
1.4,0,0,nan,1000,1000,0.0,1000,0.284,0,5.12
1.3,0,0,nan,1000,1000,0.0,1000,0.2687,0,5.02
1.2,0,0,nan,1000,1000,0.0,1000,0.2686,0,4.92
1.1,0,0,nan,1000,1000,0.0,1000,0.2727,0,4.82
1.0,0,0,nan,1000,1000,0.0,1000,0.2622,0,4.72
0.9,0,0,nan,1000,1000,0.0,1000,0.263,0,4.62
0.8,0,0,nan,1000,1000,0.0,1000,0.2786,0,4.52
0.7,0,0,nan,1000,1000,0.0,1000,0.2642,0,4.42
0.6,0,0,nan,1000,1000,0.0,1000,0.2657,0,4.32
0.5,0,0,nan,1000,998,0.2,998,0.2573,0,4.22
0.4,0,0,nan,1000,999,0.1,999,0.261,0,4.12
0.3,0,0,nan,1000,998,0.2,998,0.254,0,4.02
0.2,0,0,nan,1000,994,0.6,994,0.2567,0,3.92
0.1,0,0,nan,1000,907,9.3,907,0.262,0,3.82
0.0,0,0,nan,1000,702,29.8,702,0.2524,0,3.72
