ifs_ms,sent_Z,rx_Z,per_Z_pct
0.0,1000,848,15.2
0.1,999,851,14.8148
0.2,1000,924,7.6
0.3,1000,932,6.8
0.4,1000,926,7.4
0.5,1000,927,7.3
0.6,1000,961,3.9
0.7,1000,967,3.3
0.8,1000,988,1.2
0.9,1000,995,0.5
1.0,1000,990,1.0
1.1,1000,992,0.8
1.2,1000,987,1.3
1.3,1000,990,1.0
1.4,1000,991,0.9
1.5,1000,994,0.6
1.6,1000,997,0.3
1.7,1000,999,0.1
1.8,1000,999,0.1
1.9,1000,999,0.1
2.0,1000,1000,0.0
2.1,1000,1000,0.0
2.2,1000,1000,0.0
2.3,1000,1000,0.0
2.4,1000,999,0.1
2.5,1000,999,0.1
2.6,1000,1000,0.0
2.7,1000,1000,0.0
2.8,1000,1000,0.0
2.9,1000,1000,0.0
3.0,1000,1000,0.0
3.1,1000,1000,0.0
3.2,1000,1000,0.0
3.3,1000,1000,0.0
3.4,1000,1000,0.0
3.5,1000,1000,0.0
3.6,1000,1000,0.0
3.7,1000,1000,0.0
3.8,1000,1000,0.0
3.9,1000,1000,0.0
4.0,1000,1000,0.0
