swap_idx,from,to,read_toml,disconnect,retune_radio,park_selectors,load_plugins,build_read_toml,build_create_blocks,build_connect,build_bridge_ports,start_runtime,reconnect,terminate_spawn,unpark_selectors,build_and_start,total,t_ms
0,Z,H,0.1183,0.0015,0.0005,0.0003,0.0012,0.0835,0.3159,0.1342,0.0203,0.0519,0.0095,0.0242,0.0001,0.6092,0.7656,253.925
1,H,Z,0.1313,0.0027,0.0007,0.0003,0.0015,0.0758,0.0289,0.0940,0.0513,0.0357,0.0005,0.0275,0.0001,0.2889,0.4546,304.397
2,Z,H,0.1357,0.0015,0.0008,0.0003,0.0018,0.0894,0.3083,0.1494,0.0312,0.0592,0.0020,0.0396,0.0001,0.6433,0.8264,355.247
3,H,Z,0.1410,0.0030,0.0008,0.0004,0.0020,0.0811,0.0323,0.1034,0.0510,0.0340,0.0177,0.0402,0.0002,0.3051,0.5119,405.783
4,Z,H,0.1641,0.0021,0.0007,0.0003,0.0018,0.0892,0.3271,0.1546,0.0220,0.0759,0.0082,0.0329,0.0001,0.6740,0.8856,456.697
5,H,Z,0.1342,0.0022,0.0008,0.0003,0.0012,0.0724,0.0328,0.0775,0.0285,0.0436,0.0010,0.0425,0.0001,0.2582,0.4421,507.167
6,Z,H,0.1244,0.0018,0.0005,0.0003,0.0016,0.0872,0.2658,0.1594,0.0233,0.0760,0.0004,0.0337,0.0000,0.6161,0.7799,557.972
7,H,Z,0.1286,0.0033,0.0008,0.0003,0.0019,0.0760,0.0344,0.1054,0.0947,0.0357,0.0043,0.0268,0.0001,0.3505,0.5179,608.509
8,Z,H,0.1597,0.0019,0.0010,0.0004,0.0017,0.1217,0.3338,0.1613,0.0319,0.0710,0.0005,0.0270,0.0003,0.7252,0.9186,659.464
9,H,Z,0.1410,0.0027,0.0009,0.0006,0.0017,0.1101,0.0441,0.1288,0.0577,0.0468,0.0015,0.0519,0.0003,0.3937,0.5962,710.082
10,Z,H,0.1851,0.0025,0.0006,0.0002,0.0021,0.0955,0.3251,0.1552,0.0232,0.0802,0.0005,0.0260,0.0001,0.6834,0.9016,761.006
11,H,Z,0.1416,0.0027,0.0008,0.0003,0.0018,0.0897,0.0321,0.0992,0.0533,0.0380,0.0094,0.0443,0.0002,0.3158,0.5180,811.546
12,Z,H,0.1422,0.0018,0.0008,0.0003,0.0018,0.0923,0.3391,0.1390,0.0251,0.0698,0.0003,0.0288,0.0001,0.6696,0.8465,862.415
13,H,Z,0.0866,0.0014,0.0005,0.0001,0.0011,0.0527,0.0256,0.0588,0.0301,0.0276,0.0006,0.0224,0.0001,0.1977,0.3114,912.747
14,Z,H,0.1571,0.0017,0.0008,0.0003,0.0017,0.0907,0.3557,0.1468,0.0256,0.0739,0.0006,0.0273,0.0002,0.6971,0.8881,963.655
15,H,Z,0.1273,0.0028,0.0008,0.0003,0.0018,0.0753,0.0307,0.1051,0.0500,0.0562,0.0109,0.0294,0.0002,0.3212,0.4961,1014.170
16,Z,H,0.1641,0.0018,0.0006,0.0002,0.0018,0.0821,0.3315,0.1453,0.0259,0.0814,0.0006,0.0367,0.0001,0.6709,0.8778,1065.068
17,H,Z,0.1011,0.0016,0.0008,0.0003,0.0013,0.0549,0.0248,0.0650,0.0241,0.0425,0.0081,0.0255,0.0002,0.2140,0.3538,1115.466
18,Z,H,0.1178,0.0018,0.0005,0.0003,0.0021,0.0902,0.2694,0.1594,0.0226,0.0795,0.0004,0.0259,0.0000,0.6248,0.7745,1166.257
19,H,Z,0.0861,0.0017,0.0009,0.0002,0.0012,0.0515,0.0259,0.0630,0.0274,0.0372,0.0104,0.0374,0.0002,0.2082,0.3474,1216.625
20,Z,H,0.1256,0.0013,0.0006,0.0001,0.0018,0.0998,0.3106,0.1525,0.0220,0.0676,0.0086,0.0296,0.0001,0.6567,0.8255,1267.472
21,H,Z,0.1376,0.0024,0.0008,0.0002,0.0018,0.0746,0.0297,0.0989,0.0489,0.0361,0.0005,0.0282,0.0001,0.2915,0.4641,1317.954
22,Z,H,0.1380,0.0017,0.0008,0.0003,0.0018,0.0963,0.3231,0.1533,0.0270,0.0718,0.0017,0.0318,0.0001,0.6768,0.8540,1368.831
23,H,Z,0.0947,0.0014,0.0005,0.0002,0.0010,0.0559,0.0241,0.0569,0.0293,0.0360,0.0005,0.0227,0.0001,0.2046,0.3265,1419.172
24,Z,H,0.1102,0.0012,0.0005,0.0002,0.0016,0.0806,0.2650,0.1459,0.0209,0.0749,0.0006,0.0263,0.0001,0.5917,0.7332,1469.929
25,H,Z,0.1032,0.0018,0.0006,0.0002,0.0010,0.0569,0.0223,0.0563,0.0300,0.0394,0.0003,0.0265,0.0000,0.2072,0.3417,1520.292
26,Z,H,0.1440,0.0018,0.0005,0.0003,0.0020,0.0961,0.3094,0.1507,0.0208,0.0711,0.0038,0.0392,0.0001,0.6539,0.8464,1571.163
27,H,Z,0.0841,0.0013,0.0005,0.0002,0.0012,0.0505,0.0252,0.0680,0.0283,0.0330,0.0107,0.0308,0.0002,0.2076,0.3376,1621.531
28,Z,H,0.1329,0.0023,0.0008,0.0005,0.0019,0.0875,0.2506,0.1922,0.0263,0.0671,0.0102,0.0493,0.0001,0.6294,0.8284,1672.388
29,H,Z,0.1064,0.0018,0.0007,0.0003,0.0012,0.0549,0.0285,0.0738,0.0286,0.0376,0.0004,0.0287,0.0000,0.2264,0.3671,1722.787
30,Z,H,0.1233,0.0014,0.0007,0.0002,0.0022,0.0862,0.2822,0.1490,0.0213,0.0590,0.0004,0.0327,0.0001,0.6015,0.7636,1773.568
31,H,Z,0.0937,0.0018,0.0007,0.0002,0.0013,0.0510,0.0269,0.0637,0.0265,0.0292,0.0027,0.0267,0.0001,0.1996,0.3277,1823.917
32,Z,H,0.1102,0.0015,0.0006,0.0001,0.0017,0.0831,0.2227,0.1433,0.0209,0.0792,0.0005,0.0286,0.0001,0.5534,0.6976,1874.634
33,H,Z,0.0820,0.0017,0.0006,0.0001,0.0010,0.0508,0.0250,0.0711,0.0252,0.0349,0.0097,0.0375,0.0001,0.2105,0.3442,1924.998
34,Z,H,0.1302,0.0017,0.0007,0.0002,0.0019,0.0860,0.2256,0.1440,0.0234,0.0631,0.0004,0.0286,0.0001,0.5463,0.7110,1975.731
35,H,Z,0.1097,0.0026,0.0006,0.0002,0.0016,0.0705,0.0303,0.1036,0.0483,0.0412,0.0079,0.0336,0.0001,0.2984,0.4559,2026.212
36,Z,H,0.1250,0.0018,0.0006,0.0003,0.0018,0.0827,0.3131,0.1564,0.0267,0.1214,0.0018,0.0423,0.0001,0.7105,0.8857,2077.122
37,H,Z,0.0789,0.0017,0.0005,0.0002,0.0012,0.0511,0.0235,0.0601,0.0211,0.0370,0.0127,0.0259,0.0001,0.1957,0.3178,2127.460
38,Z,H,0.1171,0.0020,0.0006,0.0003,0.0018,0.0897,0.2586,0.1480,0.0221,0.0679,0.0005,0.0279,0.0001,0.5916,0.7431,2178.229
39,H,Z,0.0835,0.0014,0.0008,0.0003,0.0012,0.0524,0.0226,0.0605,0.0215,0.0327,0.0008,0.0395,0.0001,0.1925,0.3210,2228.570
40,Z,H,0.1497,0.0017,0.0007,0.0003,0.0018,0.0933,0.2513,0.1825,0.0277,0.0572,0.0024,0.0237,0.0001,0.6173,0.7988,2279.387
