swap_idx,from,to,read_toml,disconnect,retune_radio,park_selectors,load_plugins,build_read_toml,build_create_blocks,build_connect,build_bridge_ports,start_runtime,reconnect,terminate_spawn,unpark_selectors,build_and_start,total,t_ms
0,Z,H,0.1850,0.0019,0.0006,0.0005,0.0023,0.1169,0.3893,0.1528,0.0239,0.0736,0.0011,0.0389,0.0001,0.7611,0.9928,254.629
1,H,Z,0.2084,0.0031,0.0006,0.0004,0.0031,0.1211,0.5028,0.1575,0.0303,0.0640,0.0005,0.0345,0.0002,0.8807,1.1324,305.786
2,Z,H,0.1535,0.0023,0.0007,0.0003,0.0025,0.1001,0.3479,0.1602,0.0232,0.0788,0.0011,0.0433,0.0001,0.7166,0.9216,356.740
3,H,Z,0.1448,0.0021,0.0006,0.0003,0.0023,0.1007,0.3520,0.1556,0.0253,0.0534,0.0008,0.0327,0.0000,0.6920,0.8768,407.637
4,Z,H,0.1717,0.0019,0.0005,0.0004,0.0022,0.0964,0.2681,0.1590,0.0262,0.0667,0.0006,0.0379,0.0002,0.6212,0.8379,458.514
5,H,Z,0.1552,0.0021,0.0007,0.0002,0.0022,0.0927,0.3349,0.1730,0.0298,0.0818,0.0041,0.0311,0.0002,0.7170,0.9139,509.453
6,Z,H,0.1387,0.0022,0.0008,0.0003,0.0027,0.0868,0.2810,0.1644,0.0243,0.0909,0.0007,0.0335,0.0001,0.6544,0.8348,560.320
7,H,Z,0.1973,0.0027,0.0006,0.0003,0.0036,0.1205,0.5080,0.2688,0.0493,0.0747,0.0101,0.0269,0.0001,1.0257,1.2687,611.615
8,Z,H,0.1241,0.0021,0.0007,0.0003,0.0023,0.0871,0.2557,0.1494,0.0210,0.0695,0.0084,0.0309,0.0001,0.5888,0.7589,662.398
9,H,Z,0.1464,0.0019,0.0006,0.0002,0.0023,0.0936,0.3387,0.1504,0.0261,0.0797,0.0114,0.0350,0.0002,0.6938,0.8928,713.316
10,Z,H,0.1696,0.0023,0.0006,0.0003,0.0021,0.0961,0.3270,0.1487,0.0236,0.0878,0.0011,0.0443,0.0001,0.6899,0.9112,764.266
11,H,Z,0.1279,0.0021,0.0007,0.0004,0.0024,0.0894,0.2866,0.1624,0.0278,0.0879,0.0006,0.0305,0.0001,0.6599,0.8257,815.115
12,Z,H,0.1403,0.0023,0.0007,0.0003,0.0023,0.0909,0.2569,0.1670,0.0242,0.0703,0.0006,0.0294,0.0000,0.6136,0.7908,865.933
13,H,Z,0.2047,0.0026,0.0008,0.0004,0.0029,0.1066,0.3185,0.1563,0.0258,0.0996,0.0007,0.0283,0.0002,0.7108,0.9527,916.909
14,Z,H,0.1566,0.0019,0.0006,0.0005,0.0021,0.0940,0.3501,0.1583,0.0227,0.0843,0.0006,0.0283,0.0000,0.7140,0.9056,967.844
15,H,Z,0.1288,0.0023,0.0008,0.0005,0.0023,0.0880,0.2242,0.1640,0.0285,0.0752,0.0010,0.0407,0.0001,0.5858,0.7634,1018.631
16,Z,H,0.1256,0.0023,0.0007,0.0003,0.0021,0.0942,0.2664,0.2443,0.0235,0.0587,0.0006,0.0301,0.0002,0.6973,0.8601,1069.516
17,H,Z,0.1420,0.0023,0.0006,0.0003,0.0023,0.1028,0.3474,0.1508,0.0233,0.0809,0.0030,0.0415,0.0001,0.7101,0.9033,1120.458
18,Z,H,0.1253,0.0021,0.0006,0.0002,0.0020,0.0873,0.2825,0.1625,0.0321,0.0774,0.0199,0.0286,0.0002,0.6463,0.8262,1171.306
19,H,Z,0.1702,0.0025,0.0007,0.0004,0.0025,0.1135,0.3297,0.1879,0.0283,0.0682,0.0095,0.0405,0.0002,0.7339,0.9614,1222.296
20,Z,H,0.2003,0.0033,0.0007,0.0004,0.0030,0.1263,0.5324,0.2868,0.0470,0.0959,0.0012,0.0436,0.0001,1.0947,1.3486,1273.673
21,H,Z,0.1324,0.0021,0.0008,0.0003,0.0025,0.1023,0.2568,0.1639,0.0236,0.0828,0.0147,0.0288,0.0002,0.6339,0.8169,1324.517
22,Z,H,0.1222,0.0021,0.0006,0.0003,0.0021,0.0874,0.2410,0.1552,0.0254,0.0804,0.0006,0.0351,0.0001,0.5937,0.7578,1375.294
23,H,Z,0.2189,0.0022,0.0009,0.0004,0.0024,0.1045,0.2662,0.1785,0.0286,0.0866,0.0005,0.0448,0.0003,0.6695,0.9410,1426.258
24,Z,H,0.1275,0.0019,0.0007,0.0003,0.0022,0.0978,0.2119,0.1557,0.0230,0.0864,0.0009,0.0415,0.0001,0.5803,0.7564,1477.043
25,H,Z,0.1232,0.0020,0.0006,0.0004,0.0020,0.0902,0.2938,0.1506,0.0217,0.0720,0.0005,0.0300,0.0001,0.6330,0.7929,1527.864
26,Z,H,0.1258,0.0020,0.0008,0.0002,0.0023,0.0944,0.2759,0.1543,0.0222,0.0824,0.0008,0.0401,0.0001,0.6358,0.8092,1578.702
27,H,Z,0.1652,0.0033,0.0009,0.0004,0.0030,0.1164,0.4263,0.2845,0.0442,0.0843,0.0014,0.0451,0.0001,0.9631,1.1840,1629.939
28,Z,H,0.1256,0.0022,0.0010,0.0003,0.0022,0.0963,0.2249,0.1645,0.0240,0.0687,0.0005,0.0386,0.0001,0.5830,0.7547,1681.430
29,H,Z,0.1765,0.0031,0.0008,0.0004,0.0037,0.1187,0.4599,0.2678,0.0447,0.0730,0.0006,0.0295,0.0003,0.9694,1.1854,1732.636
30,Z,H,0.1510,0.0023,0.0011,0.0004,0.0029,0.0914,0.3627,0.1894,0.0241,0.0794,0.0012,0.0528,0.0002,0.7524,0.9658,1783.643
31,H,Z,0.1288,0.0024,0.0006,0.0003,0.0024,0.0956,0.2743,0.1561,0.0221,0.0754,0.0010,0.0392,0.0001,0.6294,0.8052,1834.481
32,Z,H,0.1738,0.0035,0.0007,0.0004,0.0033,0.1156,0.4124,0.2751,0.0553,0.0808,0.0025,0.0488,0.0002,0.9467,1.1814,1885.696
33,H,Z,0.2178,0.0024,0.0009,0.0005,0.0031,0.1029,0.3618,0.1644,0.0257,0.0899,0.0007,0.0393,0.0003,0.7508,1.0171,1936.736
34,Z,H,0.1678,0.0031,0.0009,0.0004,0.0031,0.1166,0.3785,0.2788,0.0420,0.0819,0.0010,0.0419,0.0002,0.9041,1.1236,1987.887
35,H,Z,0.1257,0.0018,0.0006,0.0004,0.0021,0.0945,0.2150,0.1582,0.0274,0.0684,0.0005,0.0346,0.0002,0.5684,0.7350,2038.647
36,Z,H,0.1818,0.0039,0.0010,0.0005,0.0041,0.1183,0.4642,0.2851,0.0486,0.1095,0.0006,0.0358,0.0003,1.0309,1.2602,2089.950
37,H,Z,0.1279,0.0020,0.0007,0.0003,0.0021,0.0888,0.2781,0.1551,0.0244,0.0775,0.0090,0.0383,0.0001,0.6284,0.8097,2140.782
38,Z,H,0.1491,0.0018,0.0008,0.0003,0.0022,0.0876,0.2781,0.1457,0.0211,0.0657,0.0014,0.0492,0.0002,0.6071,0.8137,2191.619
39,H,Z,0.1593,0.0025,0.0006,0.0004,0.0026,0.1101,0.2769,0.1947,0.0334,0.0665,0.0146,0.0422,0.0002,0.6874,0.9112,2242.557
40,Z,H,0.1995,0.0021,0.0008,0.0005,0.0025,0.1061,0.2987,0.1617,0.0240,0.0830,0.0005,0.0416,0.0002,0.6785,0.9276,2293.511
41,H,Z,0.1678,0.0035,0.0007,0.0004,0.0029,0.1168,0.2669,0.1970,0.0241,0.0649,0.0048,0.0285,0.0001,0.6760,0.8858,2344.420
42,Z,H,0.1777,0.0032,0.0008,0.0004,0.0033,0.1164,0.3725,0.2942,0.0439,0.0934,0.0015,0.0430,0.0002,0.9283,1.1596,2395.608
43,H,Z,0.1524,0.0032,0.0011,0.0005,0.0032,0.1034,0.3013,0.1873,0.0312,0.0890,0.0010,0.0520,0.0001,0.7197,0.9346,2446.578
44,Z,H,0.1660,0.0034,0.0007,0.0004,0.0031,0.1127,0.4393,0.2677,0.0404,0.0777,0.0007,0.0371,0.0003,0.9432,1.1559,2497.773
45,H,Z,0.1566,0.0034,0.0014,0.0006,0.0035,0.0997,0.2533,0.1975,0.0269,0.0926,0.0008,0.0546,0.0003,0.6766,0.8990,2548.705
46,Z,H,0.1285,0.0020,0.0006,0.0003,0.0021,0.0958,0.2164,0.1803,0.0253,0.0826,0.0009,0.0419,0.0001,0.6073,0.7848,2599.518
47,H,Z,0.1240,0.0021,0.0007,0.0003,0.0022,0.0984,0.2634,0.1653,0.0247,0.0685,0.0007,0.0388,0.0002,0.6265,0.7966,2650.358
48,Z,H,0.1623,0.0023,0.0007,0.0004,0.0027,0.1160,0.2689,0.2036,0.0284,0.0763,0.0009,0.0534,0.0001,0.7002,0.9242,2701.311
49,H,Z,0.1650,0.0032,0.0012,0.0004,0.0031,0.1087,0.2728,0.2255,0.0363,0.0875,0.0004,0.0411,0.0002,0.7370,0.9529,2752.292
50,Z,H,0.1889,0.0032,0.0012,0.0003,0.0046,0.1214,0.4403,0.4066,0.0317,0.0957,0.0005,0.0465,0.0000,1.1021,1.3491,2803.668
