swap_idx,from,to,read_toml,disconnect,retune_radio,park_selectors,load_plugins,build_read_toml,build_create_blocks,build_connect,build_bridge_ports,start_runtime,reconnect,terminate_spawn,unpark_selectors,build_and_start,total,t_ms
0,Z,H,0.1222,0.0026,0.0008,0.0004,0.0015,0.0774,0.0277,0.0962,0.0475,0.0347,0.0009,0.0583,0.0002,0.2870,0.4749,252.255
1,H,Z,0.1153,0.0018,0.0007,0.0006,0.0010,0.0587,0.0228,0.0677,0.0268,0.0290,0.0004,0.0252,0.0001,0.2072,0.3534,302.632
2,Z,H,0.0922,0.0015,0.0006,0.0004,0.0008,0.0500,0.0207,0.0524,0.0233,0.0349,0.0005,0.0300,0.0001,0.1840,0.3109,352.958
3,H,Z,0.0749,0.0014,0.0005,0.0003,0.0011,0.0520,0.0209,0.0654,0.0275,0.0214,0.0005,0.0281,0.0001,0.1895,0.2971,403.270
4,Z,H,0.1039,0.0015,0.0005,0.0002,0.0010,0.0556,0.0209,0.0612,0.0228,0.0322,0.0093,0.0220,0.0000,0.1949,0.3342,453.623
5,H,Z,0.0856,0.0013,0.0005,0.0003,0.0010,0.0535,0.0194,0.0623,0.0234,0.0288,0.0069,0.0353,0.0000,0.1900,0.3216,503.968
6,Z,H,0.0961,0.0024,0.0006,0.0003,0.0014,0.0733,0.0249,0.1037,0.0511,0.0267,0.0127,0.0332,0.0001,0.2834,0.4313,554.416
7,H,Z,0.0851,0.0018,0.0007,0.0002,0.0012,0.0498,0.0203,0.0672,0.0231,0.0246,0.0004,0.0302,0.0001,0.1877,0.3081,604.739
8,Z,H,0.0966,0.0017,0.0005,0.0002,0.0009,0.0507,0.0197,0.0568,0.0221,0.0241,0.0004,0.0375,0.0001,0.1759,0.3145,655.069
9,H,Z,0.1053,0.0024,0.0005,0.0004,0.0017,0.0843,0.0248,0.0957,0.0563,0.0277,0.0093,0.0418,0.0002,0.2917,0.4540,705.540
10,Z,H,0.1150,0.0026,0.0006,0.0003,0.0016,0.0673,0.0250,0.0926,0.0497,0.0244,0.0004,0.0309,0.0001,0.2615,0.4139,755.972
11,H,Z,0.0762,0.0014,0.0005,0.0002,0.0011,0.0472,0.0192,0.0531,0.0261,0.0257,0.0135,0.0360,0.0001,0.1739,0.3039,806.298
12,Z,H,0.1116,0.0023,0.0007,0.0002,0.0015,0.0677,0.0224,0.0975,0.0472,0.0268,0.0005,0.0212,0.0003,0.2646,0.4038,856.717
13,H,Z,0.0998,0.0022,0.0007,0.0002,0.0014,0.0653,0.0242,0.0925,0.0450,0.0247,0.0003,0.0310,0.0002,0.2560,0.3929,907.130
14,Z,H,0.1165,0.0026,0.0006,0.0003,0.0016,0.0774,0.0246,0.0960,0.0492,0.0227,0.0086,0.0268,0.0001,0.2730,0.4311,957.574
15,H,Z,0.0909,0.0014,0.0005,0.0005,0.0007,0.0559,0.0203,0.0630,0.0237,0.0253,0.0004,0.0308,0.0001,0.1907,0.3169,1007.908
16,Z,H,0.1086,0.0015,0.0005,0.0002,0.0011,0.0534,0.0206,0.0610,0.0272,0.0278,0.0133,0.0249,0.0001,0.1926,0.3436,1058.266
17,H,Z,0.1018,0.0016,0.0006,0.0002,0.0009,0.0488,0.0241,0.0586,0.0247,0.0293,0.0031,0.0262,0.0001,0.1881,0.3234,1108.613
18,Z,H,0.1024,0.0021,0.0006,0.0003,0.0016,0.0713,0.0249,0.0975,0.0480,0.0327,0.0048,0.0287,0.0001,0.2773,0.4189,1159.049
19,H,Z,0.0894,0.0014,0.0006,0.0005,0.0009,0.0485,0.0244,0.0585,0.0243,0.0249,0.0030,0.0304,0.0001,0.1828,0.3100,1209.373
20,Z,H,0.0786,0.0016,0.0006,0.0003,0.0009,0.0513,0.0212,0.0621,0.0289,0.0305,0.0004,0.0280,0.0001,0.1973,0.3087,1259.696
21,H,Z,0.0736,0.0011,0.0006,0.0002,0.0008,0.0476,0.0183,0.0544,0.0275,0.0305,0.0101,0.0226,0.0001,0.1814,0.2914,1310.003
22,Z,H,0.1148,0.0020,0.0005,0.0001,0.0012,0.0726,0.0223,0.0906,0.0472,0.0264,0.0031,0.0370,0.0001,0.2620,0.4215,1360.444
23,H,Z,0.0696,0.0009,0.0005,0.0001,0.0006,0.0488,0.0172,0.0515,0.0218,0.0226,0.0003,0.0248,0.0001,0.1642,0.2619,1410.719
24,Z,H,0.0728,0.0011,0.0004,0.0001,0.0008,0.0444,0.0176,0.0463,0.0222,0.0206,0.0022,0.0304,0.0001,0.1534,0.2619,1461.001
25,H,Z,0.0744,0.0015,0.0006,0.0003,0.0010,0.0474,0.0205,0.0667,0.0294,0.0335,0.0126,0.0352,0.0092,0.2006,0.3364,1511.359
26,Z,H,0.0811,0.0015,0.0007,0.0003,0.0010,0.0518,0.0207,0.0509,0.0251,0.0265,0.0007,0.0368,0.0001,0.1778,0.3008,1561.680
27,H,Z,0.1084,0.0022,0.0008,0.0003,0.0013,0.0699,0.0234,0.1036,0.0438,0.0286,0.0106,0.0334,0.0001,0.2720,0.4300,1612.132
28,Z,H,0.0783,0.0014,0.0008,0.0003,0.0006,0.0577,0.0281,0.0541,0.0234,0.0197,0.0078,0.0201,0.0001,0.1855,0.2957,1662.443
29,H,Z,0.0758,0.0014,0.0004,0.0002,0.0009,0.0492,0.0186,0.0493,0.0227,0.0214,0.0073,0.0205,0.0001,0.1639,0.2713,1712.739
30,Z,H,0.1215,0.0020,0.0004,0.0002,0.0012,0.0697,0.0226,0.0980,0.0481,0.0286,0.0045,0.0302,0.0001,0.2699,0.4309,1763.185
31,H,Z,0.0752,0.0013,0.0006,0.0002,0.0007,0.0493,0.0185,0.0518,0.0254,0.0255,0.0036,0.0250,0.0000,0.1727,0.2801,1813.478
32,Z,H,0.0696,0.0014,0.0004,0.0002,0.0008,0.0515,0.0235,0.0512,0.0196,0.0193,0.0072,0.0284,0.0001,0.1674,0.2764,1863.768
33,H,Z,0.0831,0.0014,0.0005,0.0001,0.0007,0.0471,0.0178,0.0515,0.0216,0.0236,0.0004,0.0328,0.0001,0.1641,0.2840,1914.067
34,Z,H,0.0745,0.0015,0.0007,0.0003,0.0008,0.0451,0.0205,0.0632,0.0257,0.0311,0.0004,0.0220,0.0001,0.1878,0.2889,1964.370
35,H,Z,0.1798,0.0014,0.0004,0.0002,0.0008,0.0495,0.0178,0.0485,0.0284,0.0185,0.0003,0.0281,0.0001,0.1647,0.3765,2014.770
36,Z,H,0.0700,0.0014,0.0004,0.0003,0.0009,0.0424,0.0188,0.0555,0.0216,0.0439,0.0003,0.0224,0.0001,0.1841,0.2805,2065.064
37,H,Z,0.0910,0.0018,0.0006,0.0004,0.0013,0.0601,0.0246,0.0815,0.0364,0.0251,0.0118,0.0321,0.0003,0.2307,0.3709,2115.450
38,Z,H,0.1014,0.0024,0.0007,0.0002,0.0015,0.0707,0.0256,0.1026,0.0435,0.0325,0.0093,0.0367,0.0001,0.2778,0.4312,2165.898
39,H,Z,0.1229,0.0023,0.0008,0.0003,0.0013,0.0720,0.0357,0.0986,0.0504,0.0309,0.0071,0.0533,0.0002,0.2908,0.4798,2216.398
40,Z,H,0.1060,0.0021,0.0006,0.0002,0.0013,0.0689,0.0231,0.0968,0.0461,0.0298,0.0006,0.0271,0.0001,0.2678,0.4066,2266.822
41,H,Z,0.0686,0.0011,0.0005,0.0002,0.0008,0.0595,0.0189,0.0492,0.0222,0.0251,0.0068,0.0206,0.0001,0.1776,0.2770,2317.112
42,Z,H,0.0860,0.0018,0.0007,0.0003,0.0009,0.0516,0.0216,0.0562,0.0240,0.0293,0.0007,0.0390,0.0001,0.1862,0.3169,2367.447
43,H,Z,0.0792,0.0013,0.0010,0.0002,0.0008,0.0468,0.0191,0.0572,0.0263,0.0251,0.0006,0.0395,0.0001,0.1777,0.3011,2417.768
44,Z,H,0.1072,0.0024,0.0008,0.0004,0.0013,0.0664,0.0285,0.0820,0.0427,0.0232,0.0112,0.0297,0.0002,0.2459,0.3999,2468.191
45,H,Z,0.0855,0.0015,0.0007,0.0001,0.0008,0.0536,0.0206,0.0634,0.0221,0.0259,0.0024,0.0305,0.0001,0.1884,0.3109,2518.515
46,Z,H,0.0878,0.0018,0.0005,0.0003,0.0013,0.0802,0.0211,0.0832,0.0474,0.0295,0.0074,0.0238,0.0001,0.2639,0.3876,2568.922
47,H,Z,0.0655,0.0012,0.0003,0.0002,0.0006,0.0432,0.0168,0.0514,0.0258,0.0201,0.0002,0.0237,0.0000,0.1592,0.2518,2619.187
48,Z,H,0.0911,0.0010,0.0004,0.0002,0.0006,0.0455,0.0161,0.0480,0.0203,0.0176,0.0031,0.0302,0.0001,0.1500,0.2775,2669.476
49,H,Z,0.1113,0.0021,0.0006,0.0003,0.0011,0.1590,0.0275,0.1018,0.0461,0.0268,0.0023,0.0312,0.0001,0.3647,0.5145,2720.004
50,Z,H,0.1030,0.0020,0.0003,0.0004,0.0013,0.0730,0.0288,0.0991,0.0557,0.0433,0.0004,0.0198,0.0001,0.3025,0.4306,2770.450
51,H,Z,0.0948,0.0016,0.0004,0.0002,0.0010,0.0656,0.0335,0.0712,0.0323,0.0309,0.0007,0.0309,0.0000,0.2368,0.3674,2820.836
52,Z,H,0.0788,0.0016,0.0005,0.0002,0.0009,0.0450,0.0184,0.0541,0.0253,0.0233,0.0098,0.0315,0.0001,0.1687,0.2928,2871.147
53,H,Z,0.1282,0.0020,0.0005,0.0004,0.0011,0.0733,0.0262,0.0828,0.0435,0.0272,0.0064,0.0265,0.0002,0.2559,0.4219,2921.585
54,Z,H,0.1021,0.0017,0.0005,0.0003,0.0010,0.0699,0.0218,0.0830,0.0432,0.0233,0.0092,0.0372,0.0001,0.2437,0.3966,2971.997
55,H,Z,0.0864,0.0015,0.0004,0.0002,0.0009,0.0456,0.0176,0.0564,0.0324,0.0234,0.0003,0.0295,0.0000,0.1772,0.2972,3022.305
56,Z,H,0.1045,0.0016,0.0005,0.0003,0.0012,0.0746,0.0296,0.0715,0.0331,0.0305,0.0015,0.0492,0.0001,0.2451,0.4052,3072.725
57,H,Z,0.0773,0.0015,0.0007,0.0002,0.0009,0.0587,0.0195,0.0549,0.0251,0.0232,0.0034,0.0318,0.0001,0.1839,0.3008,3123.042
58,Z,H,0.0872,0.0017,0.0005,0.0002,0.0012,0.0490,0.0227,0.0552,0.0232,0.0222,0.0004,0.0320,0.0002,0.1753,0.2992,3173.357
59,H,Z,0.1046,0.0020,0.0007,0.0002,0.0013,0.0671,0.0437,0.0593,0.0263,0.0261,0.0006,0.0300,0.0000,0.2261,0.3664,3223.740
60,Z,H,0.0925,0.0017,0.0006,0.0003,0.0010,0.0490,0.0185,0.0535,0.0238,0.0241,0.0069,0.0319,0.0001,0.1714,0.3071,3274.061
61,H,Z,0.0984,0.0017,0.0005,0.0003,0.0010,0.0604,0.0219,0.0716,0.0295,0.0299,0.0110,0.0278,0.0001,0.2160,0.3575,3324.434
62,Z,H,0.0791,0.0014,0.0006,0.0002,0.0009,0.0447,0.0223,0.0494,0.0295,0.0244,0.0002,0.0362,0.0000,0.1723,0.2918,3374.739
63,H,Z,0.0817,0.0012,0.0004,0.0002,0.0009,0.0444,0.0182,0.0524,0.0222,0.0382,0.0079,0.0283,0.0001,0.1779,0.2991,3425.051
64,Z,H,0.0749,0.0017,0.0006,0.0003,0.0008,0.0525,0.0215,0.0576,0.0219,0.0316,0.0088,0.0275,0.0001,0.1879,0.3034,3475.367
65,H,Z,0.0668,0.0013,0.0006,0.0002,0.0009,0.0473,0.0180,0.0531,0.0230,0.0279,0.0022,0.0328,0.0001,0.1719,0.2776,3525.663
66,Z,H,0.1012,0.0018,0.0005,0.0004,0.0011,0.0732,0.0231,0.1021,0.0328,0.0268,0.0005,0.0306,0.0002,0.2608,0.3981,3576.109
67,H,Z,0.0699,0.0015,0.0007,0.0002,0.0008,0.0568,0.0176,0.0595,0.0225,0.0234,0.0015,0.0309,0.0000,0.1828,0.2889,3626.414
68,Z,H,0.0785,0.0013,0.0005,0.0002,0.0009,0.0495,0.0184,0.0493,0.0212,0.0221,0.0017,0.0216,0.0001,0.1627,0.2683,3676.699
