ifs_ms,sent_H,rx_H,per_H_pct,sent_Z,rx_Z,per_Z_pct,swaps,avg_swap_ms,overruns,wall_s
4.0,500,487,2.6,500,487,2.6,974,0.469,0,7.38
3.9,500,487,2.6,500,487,2.6,974,0.4789,0,7.28
3.8,500,487,2.6,500,487,2.6,974,0.4974,0,7.18
3.7,500,485,3.0,500,485,3.0,970,0.4819,0,7.08
3.6,500,483,3.4,500,483,3.4,966,0.4806,0,6.98
3.5,500,495,1.0,500,495,1.0,990,0.4885,0,6.88
3.4,500,489,2.2,500,489,2.2,978,0.4982,0,6.78
3.3,500,486,2.8,500,486,2.8,972,0.4823,0,6.68
3.2,500,488,2.4,500,488,2.4,976,0.4741,0,6.58
3.1,500,488,2.4,500,488,2.4,976,0.4756,0,6.48
3.0,500,488,2.4,500,488,2.4,976,0.4762,0,6.38
2.9,500,491,1.8,500,491,1.8,982,0.4726,0,6.28
2.8,500,488,2.4,500,488,2.4,976,0.475,0,6.18
2.7,500,486,2.8,500,486,2.8,972,0.4999,0,6.08
2.6,500,493,1.4,500,493,1.4,986,0.5106,0,5.98
2.5,500,491,1.8,500,491,1.8,982,0.5132,0,5.88
2.4,500,487,2.6,500,487,2.6,974,0.505,0,5.78
2.3,500,493,1.4,500,493,1.4,986,0.507,0,5.68
2.2,500,487,2.6,500,487,2.6,974,0.5174,0,5.58
2.1,500,496,0.8,500,496,0.8,992,0.515,0,5.48
2.0,500,484,3.2,500,484,3.2,968,0.5019,0,5.38
1.9,500,492,1.6,500,492,1.6,984,0.5194,0,5.28
1.8,500,494,1.2,500,494,1.2,988,0.5106,0,5.18
1.7,500,486,2.8,500,486,2.8,972,0.4875,0,5.08
1.6,500,492,1.6,500,492,1.6,984,0.489,0,4.98
1.5,500,489,2.2,500,489,2.2,978,0.5018,0,4.88
1.4,500,492,1.6,500,492,1.6,984,0.5156,0,4.78
1.3,500,484,3.2,500,484,3.2,968,0.4947,0,4.68
1.2,500,489,2.2,500,489,2.2,978,0.4742,0,4.58
1.1,500,493,1.4,500,493,1.4,986,0.4739,0,4.48
1.0,500,490,2.0,500,490,2.0,980,0.4724,0,4.38
0.9,500,487,2.6,500,487,2.6,974,0.4892,0,4.28
0.8,500,475,5.0,500,475,5.0,950,0.4625,0,4.18
0.7,500,409,18.2,500,409,18.2,818,0.4731,0,4.08
0.6,500,366,26.8,500,366,26.8,732,0.4706,0,3.98
0.5,500,345,31.0,500,345,31.0,690,0.4722,0,3.88
0.4,500,277,44.6,500,277,44.6,554,0.4692,0,3.78
0.3,500,250,50.0,500,250,50.0,500,0.4802,0,3.68
0.2,500,238,52.4,500,238,52.4,476,0.4653,0,3.58
0.1,500,178,64.4,500,177,64.6,355,0.4947,0,3.48
0.0,500,167,66.6,500,167,66.6,334,0.476,0,3.38
