ifs_ms,sent_H,rx_H,per_H_pct,sent_Z,rx_Z,per_Z_pct,swaps,avg_swap_ms,overruns,wall_s
4.0,1000,981,1.9,0,0,nan,981,0.8862,0,7.04
3.9,1000,977,2.3,0,0,nan,977,0.7818,0,6.94
3.8,1000,984,1.6,0,0,nan,984,0.755,0,6.84
3.7,1000,978,2.2,0,0,nan,978,0.7413,0,6.74
3.6,1000,978,2.2,0,0,nan,978,0.7989,0,6.64
3.5,1000,984,1.6,0,0,nan,984,0.8859,0,6.54
3.4,1000,989,1.1,0,0,nan,989,0.9113,0,6.44
3.3,1000,976,2.4,0,0,nan,976,0.7867,0,6.34
3.2,1000,972,2.8,0,0,nan,972,0.7385,0,6.24
3.1,1000,983,1.7,0,0,nan,983,0.7388,0,6.14
3.0,1000,984,1.6,0,0,nan,984,0.73,0,6.04
2.9,1000,969,3.1,0,0,nan,969,0.73,0,5.94
2.8,1000,983,1.7,0,0,nan,983,0.7211,0,5.84
2.7,1000,977,2.3,0,0,nan,977,0.7385,0,5.74
2.6,1000,976,2.4,0,0,nan,976,0.7504,0,5.64
2.5,1000,975,2.5,0,0,nan,975,0.7503,0,5.54
2.4,1000,978,2.2,0,0,nan,978,0.7139,0,5.44
2.3,1000,988,1.2,0,0,nan,988,0.7077,0,5.34
2.2,1000,981,1.9,0,0,nan,981,0.7206,0,5.24
2.1,1000,981,1.9,0,0,nan,981,0.7236,0,5.14
2.0,1000,978,2.2,0,0,nan,978,0.7455,0,5.04
1.9,1000,981,1.9,0,0,nan,981,0.7347,0,4.94
1.8,1000,985,1.5,0,0,nan,985,0.7179,0,4.84
1.7,1000,976,2.4,0,0,nan,976,0.7392,0,4.74
1.6,1000,979,2.1,0,0,nan,979,0.6857,0,4.64
1.5,1000,980,2.0,0,0,nan,980,0.69,0,4.54
1.4,1000,988,1.2,0,0,nan,988,0.6777,0,4.44
1.3,1000,985,1.5,0,0,nan,985,0.6676,0,4.34
1.2,1000,975,2.5,0,0,nan,975,0.6801,0,4.24
1.1,1000,978,2.2,0,0,nan,978,0.6548,0,4.14
1.0,1000,969,3.1,0,0,nan,969,0.6633,0,4.04
0.9,1000,952,4.8,0,0,nan,952,0.6629,0,3.94
0.8,1000,815,18.5,0,0,nan,815,0.656,0,3.84
0.7,1000,719,28.1,0,0,nan,719,0.6762,0,3.74
0.6,1000,648,35.2,0,0,nan,648,0.6918,0,3.64
0.5,1000,533,46.7,0,0,nan,533,0.6525,0,3.54
0.4,1000,494,50.6,0,0,nan,494,0.6918,0,3.44
0.3,1000,496,50.4,0,0,nan,496,0.6892,0,3.34
0.2,1000,496,50.4,0,0,nan,496,0.692,0,3.24
0.1,1000,489,51.1,0,0,nan,489,0.68,0,3.14
0.0,1000,425,57.5,0,0,nan,425,0.6877,0,3.04
